ContextType,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
indirect,4758,0.49810844892812106,1663,0.3495166036149643,0.6963986599664992,2388,-0.012623208807781339
direct,2860,0.5332167832167832,887,0.3101398601398601,0.6644194756554307,1335,0.10108225920703262
