TargetDiff,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
concept swap,4746,0.5206489675516224,1310,0.27602191319005476,0.5758241758241758,2275,0.14553069323301315
variable swap,2872,0.5,1184,0.41225626740947074,0.8245125348189415,1436,-0.033739861100912094
