pattern,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
0000000,1075,0.0,858,0.7981395348837209,0.7981395348837209,1075,-3.638266829191707
1000000,170,0.0,125,0.7352941176470589,0.7352941176470589,170,-2.0604572892189026
0001000,125,0.0,85,0.68,0.68,125,-0.6232565641403198
0000010,103,0.0,76,0.7378640776699029,0.7378640776699029,103,-1.3799718022346497
0100000,111,0.0,76,0.6846846846846847,0.6846846846846847,111,-0.9688183329999447
0010000,113,0.0,71,0.6283185840707964,0.6283185840707964,113,-0.6094528436660767
0000001,105,0.0,66,0.6285714285714286,0.6285714285714286,105,-0.6312244259752333
0011000,81,0.0,55,0.6790123456790124,0.6790123456790124,81,-0.5632723496528342
1111011,83,0.0,53,0.6385542168674698,0.6385542168674698,83,-0.4542425274848938
0110000,57,0.0,39,0.6842105263157895,0.6842105263157895,57,-0.6089608129113913
1001000,60,0.0,39,0.65,0.65,60,-0.626263759098947
1000001,55,0.0,36,0.6545454545454545,0.6545454545454545,55,-0.6197495758533478
1100000,51,0.0,34,0.6666666666666666,0.6666666666666666,51,-0.8663558959960938
1010000,43,0.0,33,0.7674418604651163,0.7674418604651163,43,-0.9786742925643921
1111000,38,0.0,31,0.8157894736842105,0.8157894736842105,38,-1.4870173390954733
1111001,45,0.0,30,0.6666666666666666,0.6666666666666666,45,-0.8020528554916382
0010001,41,0.0,28,0.6829268292682927,0.6829268292682927,41,-0.4236386604607105
0011010,42,0.0,28,0.6666666666666666,0.6666666666666666,42,-1.0423854291439056
0001010,39,0.0,27,0.6923076923076923,0.6923076923076923,39,-0.8686728556640446
1101000,40,0.0,27,0.675,0.675,40,-0.510444100946188
0101011,39,0.0,26,0.6666666666666666,0.6666666666666666,39,-0.31147353537380695
1111010,50,0.0,26,0.52,0.52,50,-0.2371390984626487
0011011,29,0.0,25,0.8620689655172413,0.8620689655172413,29,-1.4844536781311035
0100001,47,0.0,25,0.5319148936170213,0.5319148936170213,47,-0.14757255464792252
0111000,46,0.0,25,0.5434782608695652,0.5434782608695652,46,-0.4400928629329428
0111001,33,0.0,24,0.7272727272727273,0.7272727272727273,33,-0.3202708140015602
1001001,38,0.0,23,0.6052631578947368,0.6052631578947368,38,-0.32326394075062126
1100010,31,0.0,23,0.7419354838709677,0.7419354838709677,31,-2.0703065656125546
1101001,35,0.0,23,0.6571428571428571,0.6571428571428571,35,-0.47095751762390137
1110000,35,0.0,22,0.6285714285714286,0.6285714285714286,35,-0.10287082195281982
0100010,31,0.0,20,0.6451612903225806,0.6451612903225806,31,-0.36744855297729373
0101010,36,0.0,20,0.5555555555555556,0.5555555555555556,36,-0.11120739253237844
1011011,31,0.0,20,0.6451612903225806,0.6451612903225806,31,-0.32306335493922234
0000011,34,0.0,19,0.5588235294117647,0.5588235294117647,34,-0.5423555755405687
0101000,33,0.0,19,0.5757575757575758,0.5757575757575758,33,-0.2167341411113739
1100011,28,0.0,19,0.6785714285714286,0.6785714285714286,28,-0.5637302873656154
0001011,27,0.0,18,0.6666666666666666,0.6666666666666666,27,-0.5061052581295371
0010010,30,0.0,17,0.5666666666666667,0.5666666666666667,30,-0.17507724231109023
0110010,21,0.0,17,0.8095238095238095,0.8095238095238095,21,-0.44174347911030054
1100001,26,0.0,17,0.6538461538461539,0.6538461538461539,26,-0.6903175506740808
