domain,n,lost_correct,gained_correct,net_correct_gain_b_minus_a,added_stable_failure,removed_stable_failure,net_stable_failure_b_minus_a,lost_frac,gain_frac
material-dynamics,770,172,132,-40,176,97,79,0.22337662337662337,0.17142857142857143
physical-interactions,556,87,94,7,67,93,-26,0.1564748201438849,0.16906474820143885
spatial-relations,490,70,53,-17,65,42,23,0.14285714285714285,0.10816326530612246
physical-relations,818,103,84,-19,108,86,22,0.12591687041564792,0.10268948655256724
physical-dynamics,120,14,28,14,7,29,-22,0.11666666666666667,0.23333333333333334
agent-properties,2210,281,269,-12,265,245,20,0.12714932126696832,0.12171945701357466
material-properties,170,38,23,-15,34,20,14,0.2235294117647059,0.13529411764705881
social-relations,1548,221,196,-25,197,184,13,0.14276485788113696,0.12661498708010335
social-properties,328,52,60,8,59,68,-9,0.15853658536585366,0.18292682926829268
quantitative-properties,314,48,39,-9,35,43,-8,0.15286624203821655,0.12420382165605096
social-interactions,294,52,48,-4,41,34,7,0.17687074829931973,0.16326530612244897
