ContextDiff,n,lost_correct,gained_correct,net_correct_gain_b_minus_a,added_stable_failure,removed_stable_failure,net_stable_failure_b_minus_a,lost_frac,gain_frac
material,840,182,147,-35,188,113,75,0.21666666666666667,0.175
variable swap,2564,207,206,-1,227,191,36,0.08073322932917316,0.08034321372854915
other,490,85,66,-19,92,63,29,0.17346938775510204,0.1346938775510204
antonym,3374,589,539,-50,498,522,-24,0.17457024303497332,0.15975103734439833
negation,190,47,41,-6,21,25,-4,0.24736842105263157,0.21578947368421053
variable_swap,30,8,7,-1,8,5,3,0.26666666666666666,0.23333333333333334
game,20,4,5,1,3,5,-2,0.2,0.25
number,80,13,11,-2,14,13,1,0.1625,0.1375
active-passive,30,3,4,1,3,4,-1,0.1,0.13333333333333333
