target_label,target_selected_dir,target_prev,target_mid,target_next,target_window_string,target_window_role,target_mid_selected_cheap7,target_mid_selected_BLiMP,target_mid_selected_Supplement,target_mid_selected_EWoK,target_mid_selected_Entity,target_mid_selected_COMPS,target_mid_selected_GlobalPIQA,target_mid_selected_Reading,group_level,window,n_groups,pearson_net_pct,weighted_pearson_net_pct,cosine_net_pct,ref_nonzero_groups,sign_agreement_ref_nonzero,ref_mover_threshold_abs_net_pct,ref_mover_groups,sign_agreement_ref_movers,ref_pattern_mover_groups,same_signed_pattern_on_ref_movers,same_signed_pattern_fraction
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,43.581428571428575,68.29,64.06,49.12,26.37,51.95,37.12,8.16,column_official_subtask_mean,fall,6,0.07965354099147855,0.2881370927087853,0.012094696750794125,6,0.5,0.25,2,0.5,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,43.581428571428575,68.29,64.06,49.12,26.37,51.95,37.12,8.16,column_official_subtask_mean,rise+fall_pattern,6,0.15923282730347935,0.23648760352379858,0.1374858773273356,,,0.25,,,3,1,0.3333333333333333
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,43.581428571428575,68.29,64.06,49.12,26.37,51.95,37.12,8.16,column,rise,6,-0.298762755147609,-0.5787723457222111,-0.2295375636088098,6,0.3333333333333333,0.25,1,1.0,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,43.581428571428575,68.29,64.06,49.12,26.37,51.95,37.12,8.16,column,fall,6,-0.3202314951596856,-0.3290278474189574,-0.3333831605551803,6,0.16666666666666666,0.25,3,0.0,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,43.581428571428575,68.29,64.06,49.12,26.37,51.95,37.12,8.16,column,rise+fall_pattern,6,-0.25061461371260774,-0.4075435108336717,-0.26183674784128946,,,0.25,,,3,0,0.0
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,43.581428571428575,68.29,64.06,49.12,26.37,51.95,37.12,8.16,column_subtask,rise,107,0.08995632536901967,0.06068921985886803,0.08831526776729912,102,0.45098039215686275,0.25,87,0.4367816091954023,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,43.581428571428575,68.29,64.06,49.12,26.37,51.95,37.12,8.16,column_subtask,fall,107,-0.038201286924686405,-0.147047079533229,-0.037568532927249314,101,0.48514851485148514,0.25,87,0.4942528735632184,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,43.581428571428575,68.29,64.06,49.12,26.37,51.95,37.12,8.16,column_subtask,rise+fall_pattern,107,0.04029387147539024,-0.022167104139785905,0.040342725481811295,,,0.25,,,103,31,0.30097087378640774
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,43.581428571428575,68.29,64.06,49.12,26.37,51.95,37.12,8.16,column_subtask_subgroup,rise,127,0.03822245135157376,0.053729333653261956,0.030022138272450788,115,0.4608695652173913,0.25,93,0.41935483870967744,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,43.581428571428575,68.29,64.06,49.12,26.37,51.95,37.12,8.16,column_subtask_subgroup,fall,127,-0.002281192089687095,-0.09398919966180637,-0.004560987078621839,113,0.4690265486725664,0.25,94,0.46808510638297873,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_74M,chck_76M,chck_78M,chck_74M->chck_76M->chck_78M,background,43.581428571428575,68.29,64.06,49.12,26.37,51.95,37.12,8.16,column_subtask_subgroup,rise+fall_pattern,127,0.013532179823741232,-0.018323848870736632,0.009130322179286414,,,0.25,,,115,33,0.28695652173913044
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999,column_official_subtask_mean,rise,6,-0.09126013905573954,-0.012668679330043437,-0.005378434724663287,6,0.6666666666666666,0.25,3,0.6666666666666666,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999,column_official_subtask_mean,fall,6,-0.3871934285606038,-0.06671572825269133,-0.5158602153454497,6,0.6666666666666666,0.25,2,0.5,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999,column_official_subtask_mean,rise+fall_pattern,6,-0.14612734959398774,-0.022666891772267446,-0.172987785428068,,,0.25,,,3,1,0.3333333333333333
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999,column,rise,6,0.6683702426201789,0.7446023542598291,0.6733757448539098,6,1.0,0.25,1,1.0,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999,column,fall,6,-0.8323147377596496,-0.11615977808730815,-0.8269810025248562,6,0.6666666666666666,0.25,3,0.6666666666666666,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999,column,rise+fall_pattern,6,-0.02272346276015361,0.29089868856704637,-0.035317209882852335,,,0.25,,,3,2,0.6666666666666666
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999,column_subtask,rise,107,0.27953095613851964,0.35044612828277516,0.2788914364385368,102,0.5,0.25,87,0.5172413793103449,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999,column_subtask,fall,107,-0.08739943713719206,-0.08366994731828782,-0.08156553599436209,101,0.4752475247524752,0.25,87,0.4827586206896552,,,
