domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5176470588235295,740,0.334841628959276,0.6941838649155723,1066,0.01738531654700637
social-relations,1548,0.5116279069767442,498,0.32170542635658916,0.6587301587301587,756,0.1528508299961686
physical-relations,818,0.5488997555012225,253,0.3092909535452323,0.6856368563685636,369,0.3372582052834332
physical-interactions,556,0.49640287769784175,194,0.3489208633093525,0.6928571428571428,280,-0.07609917223453522
spatial-relations,490,0.4816326530612245,189,0.38571428571428573,0.7440944881889764,254,0.09504856169223785
material-dynamics,770,0.5,187,0.24285714285714285,0.4857142857142857,385,0.19326019287109375
social-properties,328,0.4969512195121951,115,0.35060975609756095,0.696969696969697,165,-0.40734537690877914
social-interactions,294,0.5102040816326531,92,0.3129251700680272,0.6388888888888888,144,-0.08496616035699844
quantitative-properties,314,0.5573248407643312,79,0.2515923566878981,0.5683453237410072,139,0.3428918123245239
material-properties,170,0.5176470588235295,47,0.27647058823529413,0.573170731707317,82,0.2757166367955506
physical-dynamics,120,0.5666666666666667,23,0.19166666666666668,0.4423076923076923,52,1.2343388432636857
