word,n_rows,n_finite_rows,n_unique_steps,in_cdi_human,mean_context_words,min_context_words,max_context_words,child_status,child_aoa,model_random_chance,model_min_surprisal,model_threshold,model_neg_threshold,model_first_step,model_last_step,model_first_surprisal,model_last_surprisal,model_mean_improvement_first_minus_last,model_best_step,model_best_surprisal,model_range_neg,model_status,subword_len,curve_first_1M,curve_last_100M,curve_best,curve_first_minus_last,model_log_aoa_step,model_aoa_step,model_aoa,model_exception
airplane,247,247,19,1,14.846153846153847,6,27,ok,20.857213364310372,9.704060527839234,7.408197219555195,8.556128873697215,-8.556128873697215,1000000.0,100000000.0,10.317903738755446,9.073930446918194,1.2439732918372517,30000000.0,7.408197219555195,4.491327615884634,threshold_above_upper_asymptote,1,10.317903738755446,9.073930446918194,7.408197219555195,1.2439732918372517,,,,
animal,380,380,19,1,13.75,5,32,ok,24.330089945071023,9.704060527839234,7.941916394233703,8.822988461036468,-8.822988461036468,1000000.0,100000000.0,9.120062589645386,9.33715579509735,-0.21709320545196498,10000000.0,7.941916394233703,2.112429451942444,threshold_above_upper_asymptote,1,9.120062589645386,9.33715579509735,7.941916394233703,-0.21709320545196498,,,,
ankle,228,228,19,1,14.166666666666666,7,27,child_never_reaches_50pct,,,,,,,,,,,,,,not_attempted_no_child_aoa,,,,,,,,,
ant,57,57,19,1,18.0,15,22,ok,25.413634821019915,9.704060527839234,8.617858727773031,9.160959627806132,-9.160959627806132,1000000.0,100000000.0,9.323887825012207,10.622126579284668,-1.298238754272461,20000000.0,8.617858727773031,3.2628703117370605,flat_or_zero_amplitude,1,9.323887825012207,10.622126579284668,8.617858727773031,-1.298238754272461,,,,
apple,380,380,19,1,11.15,5,28,ok,18.28091715859917,9.704060527839234,9.139371490478515,9.421716009158875,-9.421716009158875,1000000.0,100000000.0,9.139371490478515,10.839221429824828,-1.6998499393463131,1000000.0,9.139371490478515,2.2295068264007565,flat_or_zero_amplitude,1,9.139371490478515,10.839221429824828,9.139371490478515,-1.6998499393463131,,,,
arm,380,380,19,1,15.0,5,88,ok,21.99539913263884,9.704060527839234,8.081459975242614,8.892760251540924,-8.892760251540924,1000000.0,100000000.0,9.278849506378174,8.933908677101135,0.3449408292770393,10000000.0,8.081459975242614,2.3317250967025753,ok,1,9.278849506378174,8.933908677101135,8.081459975242614,0.3449408292770393,6.725838454412328,5319102.664551572,6.725838454412328,
asleep,209,209,19,1,17.363636363636363,5,58,ok,24.723574946808974,9.704060527839234,4.328955498608676,7.016508013223955,-7.016508013223955,1000000.0,100000000.0,9.118596857244318,4.739749778400768,4.378847078843551,60000000.0,4.328955498608676,6.634828892621127,ok,1,9.118596857244318,4.739749778400768,4.328955498608676,4.378847078843551,7.243230436993157,17507753.050188612,7.243230436993157,
aunt,190,190,19,1,11.5,5,21,ok,25.525525066233225,9.704060527839234,7.909752321243286,8.80690642454126,-8.80690642454126,1000000.0,100000000.0,10.326776027679443,8.002354717254638,2.324421310424805,10000000.0,7.909752321243286,3.3580884456634523,ok,1,10.326776027679443,8.002354717254638,7.909752321243286,2.324421310424805,6.923067207370445,8376588.003896213,6.923067207370445,
awake,228,228,19,1,13.333333333333334,5,20,ok,25.8884576271836,9.704060527839234,7.875975827376048,8.79001817760764,-8.79001817760764,1000000.0,100000000.0,9.714759588241577,8.919148127237955,0.795611461003622,70000000.0,7.875975827376048,3.743129352728526,threshold_above_upper_asymptote,1,9.714759588241577,8.919148127237955,7.875975827376048,0.795611461003622,,,,
baby,380,380,19,1,14.55,7,35,child_above_50pct_from_first_age,,,,,,,,,,,,,,not_attempted_no_child_aoa,,,,,,,,,
backyard,380,380,19,1,16.0,5,40,ok,27.587137860896238,19.408121055678468,14.499751853942872,16.95393645481067,-16.95393645481067,1000000.0,100000000.0,18.76076488494873,16.768058824539185,1.992706060409546,40000000.0,14.499751853942872,7.8765458106994615,ok,2,18.76076488494873,16.768058824539185,14.499751853942872,1.992706060409546,7.175732232914403,14987603.800575199,7.175732232914403,
bad,380,380,19,1,19.15,5,82,ok,25.24613058723793,9.704060527839234,6.347581779956817,8.025821153898026,-8.025821153898026,1000000.0,100000000.0,8.492024660110474,7.7964235663414,0.6956010937690733,20000000.0,6.347581779956817,2.7672708392143246,ok,1,8.492024660110474,7.7964235663414,6.347581779956817,0.6956010937690733,6.703423777826876,5051538.785750822,6.703423777826876,
ball,380,380,19,1,16.2,6,31,child_above_50pct_from_first_age,,,,,,,,,,,,,,not_attempted_no_child_aoa,,,,,,,,,
balloon,380,380,19,1,15.8,5,44,ok,18.890724143191804,9.704060527839234,9.703926992416381,9.703993760127808,-9.703993760127808,1000000.0,100000000.0,10.327736473083496,11.222486352920532,-0.8947498798370361,30000000.0,9.703926992416381,2.1830727577209483,flat_or_zero_amplitude,1,10.327736473083496,11.222486352920532,9.703926992416381,-0.8947498798370361,,,,
