profile,group,window,n,family,mean,median,min,max,stdev,positive_rows,negative_rows,excluded_family,cheap6_lfo_mean,cheap5_lfo_mean,metric
cleanfree_growth_Vd_minus_V1,dose1p82,available,10,BLiMP,0.43899999999999934,0.5799999999999983,-1.4299999999999997,1.7600000000000051,1.135541476320634,7,3,,,,
cleanfree_growth_Vd_minus_V1,dose1p82,available,10,Supplement,-0.23599999999999993,0.09500000000000242,-2.9200000000000017,1.990000000000002,1.5964905957199433,5,5,,,,
cleanfree_growth_Vd_minus_V1,dose1p82,available,10,EWoK,-0.7379999999999995,-0.5899999999999999,-2.6599999999999966,1.009999999999998,1.1931545489909403,3,7,,,,
cleanfree_growth_Vd_minus_V1,dose1p82,available,10,Entity,0.752,0.6599999999999984,-0.5899999999999999,2.4499999999999993,0.9076685640817486,8,2,,,,
cleanfree_growth_Vd_minus_V1,dose1p82,available,10,COMPS,-0.6009999999999998,-0.75,-1.009999999999998,0.10000000000000142,0.3873972982180771,1,9,,,,
cleanfree_growth_Vd_minus_V1,dose1p82,available,10,Reading,-0.21800000000000025,-0.11250000000000071,-0.8600000000000012,0.5399999999999991,0.4284481039493321,3,7,,,,
cleanfree_growth_Vd_minus_V1,dose1p82,common_10M_80M,8,BLiMP,0.17749999999999932,0.3399999999999963,-1.4299999999999997,1.7600000000000051,1.1236769998536058,5,3,,,,
cleanfree_growth_Vd_minus_V1,dose1p82,common_10M_80M,8,Supplement,0.3150000000000004,0.4599999999999973,-1.8199999999999932,1.990000000000002,1.2150367425367352,5,3,,,,
cleanfree_growth_Vd_minus_V1,dose1p82,common_10M_80M,8,EWoK,-0.5949999999999998,-0.125,-2.6599999999999966,1.009999999999998,1.3074402472006112,3,5,,,,
cleanfree_growth_Vd_minus_V1,dose1p82,common_10M_80M,8,Entity,0.73,0.5199999999999996,-0.5899999999999999,2.4499999999999993,1.0176724143147164,6,2,,,,
cleanfree_growth_Vd_minus_V1,dose1p82,common_10M_80M,8,COMPS,-0.5450000000000008,-0.5900000000000034,-1.009999999999998,0.10000000000000142,0.4182958624842326,1,7,,,,
cleanfree_growth_Vd_minus_V1,dose1p82,common_10M_80M,8,Reading,-0.2468750000000003,-0.2549999999999999,-0.8600000000000012,0.5399999999999991,0.48079500755073795,3,5,,,,
cleanfree_growth_Vd_minus_V1,dose2p64,available,10,BLiMP,0.2250000000000007,0.46499999999999986,-2.780000000000001,1.1899999999999977,1.1337376729698596,8,2,,,,
cleanfree_growth_Vd_minus_V1,dose2p64,available,10,Supplement,0.4,0.7199999999999989,-2.769999999999996,2.720000000000006,2.0443472199104424,5,5,,,,
cleanfree_growth_Vd_minus_V1,dose2p64,available,10,EWoK,0.21500000000000058,0.46000000000000085,-2.0,1.9200000000000017,1.2300248416642285,6,4,,,,
cleanfree_growth_Vd_minus_V1,dose2p64,available,10,Entity,0.9010000000000001,0.8450000000000006,-0.6600000000000001,2.210000000000001,0.7694507420520461,9,1,,,,
cleanfree_growth_Vd_minus_V1,dose2p64,available,10,COMPS,-0.6569999999999994,-0.7550000000000026,-1.3299999999999983,0.17999999999999972,0.4998677602904373,2,8,,,,
cleanfree_growth_Vd_minus_V1,dose2p64,available,10,Reading,-0.22100000000000025,-0.43500000000000005,-1.2850000000000001,1.075000000000001,0.7694940617776796,3,7,,,,
cleanfree_growth_Vd_minus_V1,dose2p64,common_10M_80M,8,BLiMP,0.06875000000000053,0.245000000000001,-2.780000000000001,1.1899999999999977,1.2284070695707634,6,2,,,,
cleanfree_growth_Vd_minus_V1,dose2p64,common_10M_80M,8,Supplement,0.9350000000000005,1.884999999999998,-2.769999999999996,2.720000000000006,1.9322969307462623,5,3,,,,
cleanfree_growth_Vd_minus_V1,dose2p64,common_10M_80M,8,EWoK,0.27000000000000046,0.6899999999999977,-2.0,1.9200000000000017,1.3828128682404672,5,3,,,,
cleanfree_growth_Vd_minus_V1,dose2p64,common_10M_80M,8,Entity,0.9862500000000001,0.9200000000000017,-0.6600000000000001,2.210000000000001,0.8454911928239448,7,1,,,,
cleanfree_growth_Vd_minus_V1,dose2p64,common_10M_80M,8,COMPS,-0.5599999999999996,-0.6099999999999994,-1.3299999999999983,0.17999999999999972,0.5151976042535255,2,6,,,,
cleanfree_growth_Vd_minus_V1,dose2p64,common_10M_80M,8,Reading,-0.16750000000000032,-0.4475000000000007,-1.2850000000000001,1.075000000000001,0.8630634805323255,3,5,,,,
