profile,group,window,n,family,mean,median,min,max,stdev,positive_rows,negative_rows,excluded_family,cheap6_lfo_mean,cheap5_lfo_mean,metric
cleanfree_growth_Vd_minus_V1,dose1p82,available,10,,,,,,,3,7,BLiMP,-0.2081999999999999,,
cleanfree_growth_Vd_minus_V1,dose1p82,available,10,,,,,,,4,6,Supplement,-0.07320000000000006,,
cleanfree_growth_Vd_minus_V1,dose1p82,available,10,,,,,,,4,6,EWoK,0.02719999999999986,,
cleanfree_growth_Vd_minus_V1,dose1p82,available,10,,,,,,,2,8,Entity,-0.27080000000000004,,
cleanfree_growth_Vd_minus_V1,dose1p82,available,10,,,,,,,5,5,COMPS,-0.00020000000000008482,,
cleanfree_growth_Vd_minus_V1,dose1p82,available,10,,,,,,,5,5,Reading,-0.07679999999999998,,
cleanfree_growth_Vd_minus_V1,dose1p82,common_10M_80M,8,,,,,,,3,5,BLiMP,-0.0683750000000001,,
cleanfree_growth_Vd_minus_V1,dose1p82,common_10M_80M,8,,,,,,,3,5,Supplement,-0.09587500000000031,,
cleanfree_growth_Vd_minus_V1,dose1p82,common_10M_80M,8,,,,,,,4,4,EWoK,0.08612499999999972,,
cleanfree_growth_Vd_minus_V1,dose1p82,common_10M_80M,8,,,,,,,2,6,Entity,-0.17887500000000023,,
cleanfree_growth_Vd_minus_V1,dose1p82,common_10M_80M,8,,,,,,,5,3,COMPS,0.07612499999999993,,
cleanfree_growth_Vd_minus_V1,dose1p82,common_10M_80M,8,,,,,,,5,3,Reading,0.016499999999999834,,
cleanfree_growth_Vd_minus_V1,dose2p64,available,10,,,,,,,6,4,BLiMP,0.1276000000000002,,
cleanfree_growth_Vd_minus_V1,dose2p64,available,10,,,,,,,5,5,Supplement,0.09260000000000038,,
cleanfree_growth_Vd_minus_V1,dose2p64,available,10,,,,,,,5,5,EWoK,0.12960000000000027,,
cleanfree_growth_Vd_minus_V1,dose2p64,available,10,,,,,,,5,5,Entity,-0.007599999999999668,,
cleanfree_growth_Vd_minus_V1,dose2p64,available,10,,,,,,,5,5,COMPS,0.3040000000000002,,
cleanfree_growth_Vd_minus_V1,dose2p64,available,10,,,,,,,5,5,Reading,0.2168000000000004,,
cleanfree_growth_Vd_minus_V1,dose2p64,common_10M_80M,8,,,,,,,6,2,BLiMP,0.2927500000000002,,
cleanfree_growth_Vd_minus_V1,dose2p64,common_10M_80M,8,,,,,,,4,4,Supplement,0.11950000000000023,,
cleanfree_growth_Vd_minus_V1,dose2p64,common_10M_80M,8,,,,,,,5,3,EWoK,0.2525000000000002,,
cleanfree_growth_Vd_minus_V1,dose2p64,common_10M_80M,8,,,,,,,5,3,Entity,0.1092500000000003,,
cleanfree_growth_Vd_minus_V1,dose2p64,common_10M_80M,8,,,,,,,5,3,COMPS,0.4185000000000002,,
cleanfree_growth_Vd_minus_V1,dose2p64,common_10M_80M,8,,,,,,,5,3,Reading,0.3400000000000004,,
