profile,group,window,n,family,mean,median,min,max,stdev,positive_rows,negative_rows,excluded_family,cheap6_lfo_mean,cheap5_lfo_mean,metric
repeat_clean_RC,dose1,available,8,,,,,,,6,2,BLiMP,0.6113750000000007,,
repeat_clean_RC,dose1,available,8,,,,,,,8,0,Supplement,0.6861250000000004,,
repeat_clean_RC,dose1,available,8,,,,,,,7,1,EWoK,0.6681250000000003,,
repeat_clean_RC,dose1,available,8,,,,,,,7,1,Entity,0.6756250000000006,,
repeat_clean_RC,dose1,available,8,,,,,,,8,0,COMPS,0.8286250000000006,,
repeat_clean_RC,dose1,available,8,,,,,,,8,0,Reading,0.8045000000000007,,
repeat_clean_RC,dose1,common_10M_80M,8,,,,,,,6,2,BLiMP,0.6113750000000007,,
repeat_clean_RC,dose1,common_10M_80M,8,,,,,,,8,0,Supplement,0.6861250000000004,,
repeat_clean_RC,dose1,common_10M_80M,8,,,,,,,7,1,EWoK,0.6681250000000003,,
repeat_clean_RC,dose1,common_10M_80M,8,,,,,,,7,1,Entity,0.6756250000000006,,
repeat_clean_RC,dose1,common_10M_80M,8,,,,,,,8,0,COMPS,0.8286250000000006,,
repeat_clean_RC,dose1,common_10M_80M,8,,,,,,,8,0,Reading,0.8045000000000007,,
repeat_clean_RC,dose1p82,available,8,,,,,,,6,2,BLiMP,0.45337500000000047,,
repeat_clean_RC,dose1p82,available,8,,,,,,,7,1,Supplement,0.5041250000000004,,
repeat_clean_RC,dose1p82,available,8,,,,,,,7,1,EWoK,0.45312500000000033,,
repeat_clean_RC,dose1p82,available,8,,,,,,,7,1,Entity,0.3536250000000004,,
repeat_clean_RC,dose1p82,available,8,,,,,,,7,1,COMPS,0.6056250000000004,,
repeat_clean_RC,dose1p82,available,8,,,,,,,7,1,Reading,0.5170000000000006,,
repeat_clean_RC,dose1p82,common_10M_80M,8,,,,,,,6,2,BLiMP,0.45337500000000047,,
repeat_clean_RC,dose1p82,common_10M_80M,8,,,,,,,7,1,Supplement,0.5041250000000004,,
repeat_clean_RC,dose1p82,common_10M_80M,8,,,,,,,7,1,EWoK,0.45312500000000033,,
repeat_clean_RC,dose1p82,common_10M_80M,8,,,,,,,7,1,Entity,0.3536250000000004,,
repeat_clean_RC,dose1p82,common_10M_80M,8,,,,,,,7,1,COMPS,0.6056250000000004,,
repeat_clean_RC,dose1p82,common_10M_80M,8,,,,,,,7,1,Reading,0.5170000000000006,,
repeat_clean_RC,dose2p64,available,8,,,,,,,6,2,BLiMP,0.3527500000000002,,
repeat_clean_RC,dose2p64,available,8,,,,,,,7,1,Supplement,0.5885000000000005,,
repeat_clean_RC,dose2p64,available,8,,,,,,,6,2,EWoK,0.4247500000000004,,
repeat_clean_RC,dose2p64,available,8,,,,,,,8,0,Entity,0.5345000000000003,,
repeat_clean_RC,dose2p64,available,8,,,,,,,8,0,COMPS,0.6565000000000005,,
repeat_clean_RC,dose2p64,available,8,,,,,,,8,0,Reading,0.49425000000000047,,
repeat_clean_RC,dose2p64,common_10M_80M,8,,,,,,,6,2,BLiMP,0.3527500000000002,,
repeat_clean_RC,dose2p64,common_10M_80M,8,,,,,,,7,1,Supplement,0.5885000000000005,,
repeat_clean_RC,dose2p64,common_10M_80M,8,,,,,,,6,2,EWoK,0.4247500000000004,,
repeat_clean_RC,dose2p64,common_10M_80M,8,,,,,,,8,0,Entity,0.5345000000000003,,
repeat_clean_RC,dose2p64,common_10M_80M,8,,,,,,,8,0,COMPS,0.6565000000000005,,
repeat_clean_RC,dose2p64,common_10M_80M,8,,,,,,,8,0,Reading,0.49425000000000047,,
