profile,group,window,n,family,mean,median,min,max,stdev,positive_rows,negative_rows,excluded_family,cheap6_lfo_mean,cheap5_lfo_mean,metric
total_VC,dose1,available,8,,,,,,,6,2,BLiMP,0.5771250000000002,,
total_VC,dose1,available,8,,,,,,,7,1,Supplement,0.7243750000000001,,
total_VC,dose1,available,8,,,,,,,6,2,EWoK,0.7696250000000001,,
total_VC,dose1,available,8,,,,,,,7,1,Entity,0.48887500000000017,,
total_VC,dose1,available,8,,,,,,,6,2,COMPS,0.6956250000000003,,
total_VC,dose1,available,8,,,,,,,6,2,Reading,0.6437500000000002,,
total_VC,dose1,common_10M_80M,8,,,,,,,6,2,BLiMP,0.5771250000000002,,
total_VC,dose1,common_10M_80M,8,,,,,,,7,1,Supplement,0.7243750000000001,,
total_VC,dose1,common_10M_80M,8,,,,,,,6,2,EWoK,0.7696250000000001,,
total_VC,dose1,common_10M_80M,8,,,,,,,7,1,Entity,0.48887500000000017,,
total_VC,dose1,common_10M_80M,8,,,,,,,6,2,COMPS,0.6956250000000003,,
total_VC,dose1,common_10M_80M,8,,,,,,,6,2,Reading,0.6437500000000002,,
total_VC,dose1p82,available,8,,,,,,,6,2,BLiMP,0.5087500000000001,,
total_VC,dose1p82,available,8,,,,,,,8,0,Supplement,0.6284999999999997,,
total_VC,dose1p82,available,8,,,,,,,6,2,EWoK,0.8557499999999998,,
total_VC,dose1p82,available,8,,,,,,,7,1,Entity,0.30999999999999994,,
total_VC,dose1p82,available,8,,,,,,,7,1,COMPS,0.7717500000000002,,
total_VC,dose1p82,available,8,,,,,,,7,1,Reading,0.66025,,
total_VC,dose1p82,common_10M_80M,8,,,,,,,6,2,BLiMP,0.5087500000000001,,
total_VC,dose1p82,common_10M_80M,8,,,,,,,8,0,Supplement,0.6284999999999997,,
total_VC,dose1p82,common_10M_80M,8,,,,,,,6,2,EWoK,0.8557499999999998,,
total_VC,dose1p82,common_10M_80M,8,,,,,,,7,1,Entity,0.30999999999999994,,
total_VC,dose1p82,common_10M_80M,8,,,,,,,7,1,COMPS,0.7717500000000002,,
total_VC,dose1p82,common_10M_80M,8,,,,,,,7,1,Reading,0.66025,,
total_VC,dose2p64,available,8,,,,,,,6,2,BLiMP,0.8698750000000004,,
total_VC,dose2p64,available,8,,,,,,,7,1,Supplement,0.8438750000000003,,
total_VC,dose2p64,available,8,,,,,,,7,1,EWoK,1.0221250000000004,,
total_VC,dose2p64,available,8,,,,,,,6,2,Entity,0.5981250000000005,,
total_VC,dose2p64,available,8,,,,,,,8,0,COMPS,1.1141250000000005,,
total_VC,dose2p64,available,8,,,,,,,6,2,Reading,0.9837500000000006,,
total_VC,dose2p64,common_10M_80M,8,,,,,,,6,2,BLiMP,0.8698750000000004,,
total_VC,dose2p64,common_10M_80M,8,,,,,,,7,1,Supplement,0.8438750000000003,,
total_VC,dose2p64,common_10M_80M,8,,,,,,,7,1,EWoK,1.0221250000000004,,
total_VC,dose2p64,common_10M_80M,8,,,,,,,6,2,Entity,0.5981250000000005,,
total_VC,dose2p64,common_10M_80M,8,,,,,,,8,0,COMPS,1.1141250000000005,,
total_VC,dose2p64,common_10M_80M,8,,,,,,,6,2,Reading,0.9837500000000006,,
