profile,group,window,n,family,mean,median,min,max,stdev,positive_rows,negative_rows,excluded_family,cheap6_lfo_mean,cheap5_lfo_mean,metric
total_VC,dose1,available,8,BLiMP,1.01375,0.9649999999999999,0.3499999999999943,2.220000000000006,0.6444696047359987,8,0,,,,
total_VC,dose1,available,8,Supplement,0.27750000000000075,1.240000000000002,-4.309999999999995,2.059999999999995,2.221947344110564,6,2,,,,
total_VC,dose1,available,8,EWoK,0.05125000000000046,0.0799999999999983,-1.9799999999999969,2.030000000000001,1.5668935372713912,4,4,,,,
total_VC,dose1,available,8,Entity,1.455,1.9350000000000005,-0.9400000000000013,2.960000000000001,1.3718288106444938,6,2,,,,
total_VC,dose1,available,8,COMPS,0.4212499999999997,0.6549999999999976,-0.740000000000002,1.2899999999999991,0.6185798828191641,6,2,,,,
total_VC,dose1,available,8,Reading,0.6806250000000001,0.6849999999999996,-0.5199999999999996,1.5,0.6983830176097601,7,1,,,,
total_VC,dose1,common_10M_80M,8,BLiMP,1.01375,0.9649999999999999,0.3499999999999943,2.220000000000006,0.6444696047359987,8,0,,,,
total_VC,dose1,common_10M_80M,8,Supplement,0.27750000000000075,1.240000000000002,-4.309999999999995,2.059999999999995,2.221947344110564,6,2,,,,
total_VC,dose1,common_10M_80M,8,EWoK,0.05125000000000046,0.0799999999999983,-1.9799999999999969,2.030000000000001,1.5668935372713912,4,4,,,,
total_VC,dose1,common_10M_80M,8,Entity,1.455,1.9350000000000005,-0.9400000000000013,2.960000000000001,1.3718288106444938,6,2,,,,
total_VC,dose1,common_10M_80M,8,COMPS,0.4212499999999997,0.6549999999999976,-0.740000000000002,1.2899999999999991,0.6185798828191641,6,2,,,,
total_VC,dose1,common_10M_80M,8,Reading,0.6806250000000001,0.6849999999999996,-0.5199999999999996,1.5,0.6983830176097601,7,1,,,,
total_VC,dose1p82,available,8,BLiMP,1.1912499999999993,0.8100000000000023,-0.1600000000000037,2.740000000000009,1.061029654897276,7,1,,,,
total_VC,dose1p82,available,8,Supplement,0.5925000000000011,1.245000000000001,-3.6400000000000006,3.3800000000000026,2.0536013662414074,6,2,,,,
total_VC,dose1p82,available,8,EWoK,-0.5437499999999993,-0.7349999999999959,-2.4399999999999977,1.8699999999999974,1.466871671278709,2,6,,,,
total_VC,dose1p82,available,8,Entity,2.185,1.8499999999999996,-0.05999999999999872,4.84,1.7218013822738087,7,1,,,,
total_VC,dose1p82,available,8,COMPS,-0.12375000000000114,-0.07000000000000028,-0.7700000000000031,0.30000000000000426,0.39125941339657155,4,4,,,,
total_VC,dose1p82,available,8,Reading,0.43374999999999986,0.5424999999999995,-0.71,1.1750000000000007,0.5769733219878667,7,1,,,,
total_VC,dose1p82,common_10M_80M,8,BLiMP,1.1912499999999993,0.8100000000000023,-0.1600000000000037,2.740000000000009,1.061029654897276,7,1,,,,
total_VC,dose1p82,common_10M_80M,8,Supplement,0.5925000000000011,1.245000000000001,-3.6400000000000006,3.3800000000000026,2.0536013662414074,6,2,,,,
total_VC,dose1p82,common_10M_80M,8,EWoK,-0.5437499999999993,-0.7349999999999959,-2.4399999999999977,1.8699999999999974,1.466871671278709,2,6,,,,
total_VC,dose1p82,common_10M_80M,8,Entity,2.185,1.8499999999999996,-0.05999999999999872,4.84,1.7218013822738087,7,1,,,,
total_VC,dose1p82,common_10M_80M,8,COMPS,-0.12375000000000114,-0.07000000000000028,-0.7700000000000031,0.30000000000000426,0.39125941339657155,4,4,,,,
total_VC,dose1p82,common_10M_80M,8,Reading,0.43374999999999986,0.5424999999999995,-0.71,1.1750000000000007,0.5769733219878667,7,1,,,,
total_VC,dose2p64,available,8,BLiMP,1.0825000000000005,1.4950000000000045,-1.5500000000000043,2.180000000000007,1.1725887112343747,7,1,,,,
total_VC,dose2p64,available,8,Supplement,1.2125000000000012,1.2299999999999969,-2.5799999999999983,4.190000000000005,2.699215494493591,6,2,,,,
total_VC,dose2p64,available,8,EWoK,0.3212500000000009,0.4049999999999976,-0.75,1.1600000000000037,0.7142916071185493,5,3,,,,
total_VC,dose2p64,available,8,Entity,2.44125,2.960000000000001,-1.6000000000000014,4.739999999999998,1.9447250081034226,7,1,,,,
total_VC,dose2p64,available,8,COMPS,-0.13874999999999993,0.004999999999999005,-0.7299999999999969,0.46000000000000085,0.4106593130912428,4,4,,,,
total_VC,dose2p64,available,8,Reading,0.5131249999999998,0.5324999999999998,-0.3200000000000003,1.535000000000001,0.5473960273095575,7,1,,,,
total_VC,dose2p64,common_10M_80M,8,BLiMP,1.0825000000000005,1.4950000000000045,-1.5500000000000043,2.180000000000007,1.1725887112343747,7,1,,,,
total_VC,dose2p64,common_10M_80M,8,Supplement,1.2125000000000012,1.2299999999999969,-2.5799999999999983,4.190000000000005,2.699215494493591,6,2,,,,
total_VC,dose2p64,common_10M_80M,8,EWoK,0.3212500000000009,0.4049999999999976,-0.75,1.1600000000000037,0.7142916071185493,5,3,,,,
total_VC,dose2p64,common_10M_80M,8,Entity,2.44125,2.960000000000001,-1.6000000000000014,4.739999999999998,1.9447250081034226,7,1,,,,
total_VC,dose2p64,common_10M_80M,8,COMPS,-0.13874999999999993,0.004999999999999005,-0.7299999999999969,0.46000000000000085,0.4106593130912428,4,4,,,,
total_VC,dose2p64,common_10M_80M,8,Reading,0.5131249999999998,0.5324999999999998,-0.3200000000000003,1.535000000000001,0.5473960273095575,7,1,,,,
