target_word,n_contexts,coherent86,dense_seed62064,dense_seed62065,d64_minus_coherent,d65_minus_coherent,d65_minus_d64,cdi_final_30m,cdi_mean_16_30m,cdi_first_month_ge_0p5
airplane,13,8.987359395393959,9.213395283772396,9.236982088822584,0.22603588837843674,0.24962269342862642,0.023586805050189678,0.85,0.6053333333333334,21.0
animal,20,9.35048258304596,9.439377999305725,9.464200520515442,0.08889541625976563,0.11371793746948242,0.024822521209716796,0.71,0.4013333333333334,25.0
ankle,12,14.800391236941019,15.584772109985352,15.585001309712728,0.7843808730443319,0.7846100727717081,0.0002291997273763021,0.34,0.16066666666666668,
ant,3,10.582356770833334,10.807178179423014,10.806512514750162,0.224821408589681,0.22415574391682944,-0.0006656646728515625,0.64,0.354,26.0
apple,20,10.818591141700745,11.188689422607421,11.192616081237793,0.37009828090667723,0.37402493953704835,0.003926658630371093,0.92,0.7286666666666667,19.0
arm,20,8.867034643888474,9.118423467874527,9.14503746032715,0.25138882398605344,0.2780028164386749,0.02661399245262146,0.81,0.5266666666666667,23.0
asleep,11,4.619155851277438,4.662314284931529,4.673880306157199,0.043158433654091576,0.05472445487976074,0.011566021225669167,0.68,0.372,25.0
aunt,10,7.995575571060181,8.232872819900512,8.252977991104126,0.23729724884033204,0.2574024200439453,0.02010517120361328,0.59,0.34933333333333333,27.0
awake,12,8.79811175664266,8.842806021372477,8.840017159779867,0.04469426472981771,0.04190540313720703,-0.0027888615926106772,0.67,0.318,27.0
baby,20,7.401008636923507,7.875760178919881,7.88103113071993,0.4747515419963747,0.4800224937964231,0.005270951800048352,0.92,0.8033333333333333,16.0
backyard,20,16.78168919086456,17.3764018535614,17.40426986217499,0.5947126626968384,0.6225806713104248,0.027868008613586424,0.53,0.26266666666666666,28.0
bad,20,7.816826617717743,7.9637951254844666,7.967684626579285,0.14696850776672363,0.15085800886154174,0.0038895010948181152,0.68,0.3626666666666667,26.0
ball,20,7.572568465210497,7.781327189691365,7.796895385347307,0.20875872448086738,0.22432692013680935,0.015568195655941964,0.95,0.9026666666666666,16.0
balloon,20,11.043463850021363,11.403835201263428,11.426098823547363,0.36037135124206543,0.38263497352600095,0.022263622283935545,0.89,0.7033333333333334,19.0
