grad_decile_low_to_high,mean_log1p_norm_delta2,mean_log1p_norm_delta2_within_tensor_shuffle_null,mean_log1p_norm_grad2,n,route
1,0.4896757642562193,0.5092094682591369,0.0021800238523134352,279638,scale1p75_100M_stock_minus_step35_100M
2,0.5254144399173937,0.5174185603892375,0.009329825398757778,279638,scale1p75_100M_stock_minus_step35_100M
3,0.5226828764087441,0.51887603034162,0.021180118917671933,279639,scale1p75_100M_stock_minus_step35_100M
4,0.52605687642579,0.5192580841707564,0.04035693802719108,279638,scale1p75_100M_stock_minus_step35_100M
5,0.524449495241352,0.5165734521969797,0.07174811922659999,279639,scale1p75_100M_stock_minus_step35_100M
6,0.5215987934965101,0.516753026870113,0.12434142909165583,279638,scale1p75_100M_stock_minus_step35_100M
7,0.5237968812831715,0.5166091642507137,0.21453356340299784,279638,scale1p75_100M_stock_minus_step35_100M
8,0.5215390753081098,0.5152626797676602,0.37578672174539657,279639,scale1p75_100M_stock_minus_step35_100M
9,0.5128315086303176,0.5143955260103933,0.695083881763674,279638,scale1p75_100M_stock_minus_step35_100M
10,0.4930465820708157,0.515516722114016,1.6763329348126546,279639,scale1p75_100M_stock_minus_step35_100M
1,0.4770527642004794,0.49918348795718376,0.0021869340780683913,279638,u256_100M_minus_step35_100M
2,0.5207075814243156,0.5180219281563231,0.00934700529927045,279638,u256_100M_minus_step35_100M
3,0.5238487030747583,0.5194425851195852,0.021211170771997415,279639,u256_100M_minus_step35_100M
4,0.5243011712929403,0.5200318970103837,0.04035942843387899,279638,u256_100M_minus_step35_100M
5,0.5250868624608489,0.52135306883089,0.07172700842696739,279639,u256_100M_minus_step35_100M
6,0.5273426753911813,0.5201313035504791,0.12426566190623888,279638,u256_100M_minus_step35_100M
7,0.5258183604068457,0.5194594983420266,0.21433976384488176,279638,u256_100M_minus_step35_100M
8,0.5251447098103855,0.5190590014498452,0.3755115910127388,279639,u256_100M_minus_step35_100M
9,0.5223767708873487,0.5178562282389987,0.6960276445316649,279638,u256_100M_minus_step35_100M
10,0.504144007120211,0.5195337910560264,1.6765678830513047,279639,u256_100M_minus_step35_100M
1,0.5018093341515604,0.5155112897149913,0.002191031958913359,279638,reference_100M_minus_step35_80M_normal_late_movement
2,0.5404622094865792,0.5288869087253314,0.009362917960879387,279638,reference_100M_minus_step35_80M_normal_late_movement
3,0.5421865295073764,0.5292850814801608,0.021226298030768927,279639,reference_100M_minus_step35_80M_normal_late_movement
4,0.5398686999736594,0.5298594060050309,0.040431906033229326,279638,reference_100M_minus_step35_80M_normal_late_movement
5,0.5375777838956044,0.5286551285989602,0.07181053230780868,279639,reference_100M_minus_step35_80M_normal_late_movement
6,0.5327114077692571,0.5292700837590442,0.12446144591545849,279638,reference_100M_minus_step35_80M_normal_late_movement
7,0.5308872915944377,0.5290579236591267,0.214884570551842,279638,reference_100M_minus_step35_80M_normal_late_movement
8,0.5293172560209841,0.528033364549896,0.3762168740566203,279639,reference_100M_minus_step35_80M_normal_late_movement
9,0.5210129460379187,0.5277251469135911,0.6966790080190712,279638,reference_100M_minus_step35_80M_normal_late_movement
10,0.4930945161707782,0.5283802301500414,1.6767545037287002,279639,reference_100M_minus_step35_80M_normal_late_movement
