arm,seed,mid_epoch,strong_epoch,std_cnll,std_bag_mass,std_top4,std_query_margin,bswap,bswap_frac,qswap_margin,qswap_frac,qswap_both,corrupt_select,held_cnll,held_bag_mass,held_top4,held_query_margin
orig_ans_only_500,42,,,1.495821,0.980117,0.271484,0.010145,0.000225,0.5,0.000339,0.496094,0.003906,-0.003388,1.469455,0.979223,0.265625,0.043913
orig_ans_only_500,43,,,1.440024,0.981188,0.289062,0.04139,-0.002757,0.478516,0.000542,0.519531,0.003906,0.000849,1.575478,0.973083,0.238281,-0.067747
orig_ans_only_500,100,,,1.524688,0.981925,0.240234,-0.013187,-0.006708,0.458984,-0.000361,0.464844,0.0,0.00526,1.503863,0.980899,0.242188,0.015185
qfirst_full_500,42,,,1.523366,0.972904,0.246094,0.013118,-0.000392,0.486328,-0.002809,0.480469,0.0,0.000526,1.581249,0.971884,0.179688,-0.089069
qfirst_full_500,43,400,400,0.002328,0.999908,1.0,9.728006,9.720924,1.0,9.76645,1.0,1.0,0.997579,4.26522,0.999633,0.414062,2.110298
qfirst_full_500,100,,,1.525292,0.973138,0.306641,0.09559,0.13003,0.630859,0.121144,0.710938,0.035156,0.033671,1.600219,0.966928,0.253906,-0.002503
qfirst_ans_only_500,42,225,250,0.000323,0.999987,1.0,15.530499,15.412947,1.0,15.620443,1.0,1.0,0.999767,8.202474,0.999981,0.503906,5.24521
qfirst_ans_only_500,43,475,500,0.024154,0.999459,0.994141,7.607906,7.577715,1.0,7.666529,1.0,0.996094,0.978364,0.550281,0.998791,0.808594,5.465834
qfirst_ans_only_500,100,375,375,0.000262,0.999972,1.0,11.016905,11.121898,1.0,11.089888,1.0,1.0,0.999665,0.094032,0.999663,0.964844,8.728075
qfirst_w16_500,42,,,1.523845,0.978328,0.253906,0.029846,0.000271,0.498047,0.001747,0.515625,0.0,0.003686,1.561154,0.977816,0.226562,-0.038548
qfirst_w16_500,43,,,1.4842,0.97852,0.220703,-0.017195,-0.004137,0.503906,0.000198,0.488281,0.0,-0.006103,1.504008,0.978661,0.195312,-0.034833
qfirst_w16_500,100,,,1.533426,0.979566,0.289062,0.009492,0.017813,0.488281,0.014215,0.617188,0.003906,0.002729,1.578833,0.976536,0.253906,-0.019963
qfirst_bag_ans_500,42,,,1.465759,0.979797,0.255859,0.008657,-0.025014,0.460938,-0.00496,0.453125,0.007812,0.001014,1.491638,0.978943,0.261719,-0.007116
qfirst_bag_ans_500,43,,,1.455937,0.981525,0.253906,0.004558,-5e-06,0.511719,-0.003539,0.460938,0.0,0.001177,1.441308,0.98131,0.277344,0.027237
qfirst_bag_ans_500,100,,,1.467568,0.981556,0.251953,0.019242,0.004796,0.539062,-0.005056,0.410156,0.003906,-0.000246,1.438014,0.98015,0.292969,0.057607
