group_field,group_value,n,true_nll_advantage_vs_decoy_mean,true_nll_advantage_vs_decoy_p05,true_nll_advantage_vs_decoy_p95,true_reduction_vs_base_mean,true_reduction_vs_base_p05,true_reduction_vs_base_p95
target_kind,content,2651,-0.2895412582557006,-4.630852222442627,3.496074676513672,-0.25678932126955756,-4.568131446838379,3.474703073501587
target_kind,function,227,-0.15255415387090607,-3.7662618160247803,3.3317123889923086,-1.1079321233186428,-4.744466018676757,2.319697999954223
target_kind,pronoun,117,1.971377546970661,-2.5220878601074217,6.642383193969725,0.06318851108224983,-4.466537094116211,4.827336883544921
target_kind,connective,77,0.41740107845950436,-2.379361152648926,2.9515211105346686,-0.07213365257560432,-3.1029178619384763,2.990085124969483
overlap_bin,0p4_0p6,1871,-0.2489333137847933,-4.574997901916504,3.5152089595794678,-0.3370279501337122,-4.5462305545806885,3.476634979248047
overlap_bin,0p6_0p8,809,-0.004613489050726661,-4.444754600524902,4.082577133178708,-0.20876338988846474,-4.423703384399413,3.4178875923156706
overlap_bin,lt0p4,282,-0.3589596944326099,-4.07053496837616,3.6919887542724608,-0.43681219171283514,-4.688222479820252,2.988087201118469
overlap_bin,ge0p8,110,0.2845505821433934,-3.848600697517395,4.663506722450254,-0.07054911770603874,-4.002265310287475,4.085116004943847
changed_frac_bin,0p2_0p4,1724,-0.24034195239147876,-4.636735939979554,3.4830697536468502,-0.34983490183063526,-4.677566242218018,3.4559956431388854
changed_frac_bin,0p4_0p6,899,-0.07882635470881677,-4.207225322723389,4.252375507354732,-0.264360018153245,-4.106854009628296,3.454799771308889
changed_frac_bin,ge0p6,232,0.407297037863012,-3.84867205619812,5.308184242248535,0.21517582006495575,-4.07451982498169,4.641113424301144
changed_frac_bin,lt0p2,217,-0.6852124723764609,-4.667722225189209,2.5788766860961907,-0.6431155820733391,-4.820459938049316,2.771749877929687
