i,item_id,split_key,source,target_kind,target_text,target_id,nll_base,top1_base,rank_base,nll_true,top1_true,rank_true,nll_decoy,top1_decoy,rank_decoy,changed_frac_bin,changed_target_frac_proxy,content_overlap,decoy_pair_id,decoy_row_index,doc_id,example_id,overlap_bin,pair_id,rewrite_words,row_index,source_words,target_char_end,target_char_start,target_id_in_decoy_source,target_id_in_source
0,edit:frontier_consolidation_fwcompact_medium_027780:0:58-63,row:264,compact_edit,content,aging,6189,6.494869232177734,0,107,9.439046859741211,0,411,6.286765098571777,0,103,0p2_0p4,0.3,0.6666666666666666,frontier_consolidation_fwcompact_medium_029445,170,15333,750264,0p6_0p8,frontier_consolidation_fwcompact_medium_027780,20,264,29,63,58,False,False
1,edit:frontier_consolidation_fwcompact_medium_044135:0:70-74,row:1763,compact_edit,content,acks,3160,5.381835460662842,0,26,8.669023513793945,0,60,3.610891342163086,1,1,0p2_0p4,0.3,0.4375,frontier_consolidation_fwcompact_medium_030316,2191,6703,751763,0p4_0p6,frontier_consolidation_fwcompact_medium_044135,20,1763,31,74,70,False,False
2,edit:frontier_consolidation_fwcompact_medium_026603:0:0-4,row:2924,compact_edit,content,Many,3483,9.078193664550781,0,1009,10.219533920288086,0,1575,8.231634140014648,0,475,0p4_0p6,0.46153846153846156,0.46153846153846156,frontier_consolidation_fwcompact_medium_026079,2246,1294,752924,0p4_0p6,frontier_consolidation_fwcompact_medium_026603,13,2924,27,4,0,False,False
3,edit:frontier_consolidation_fwcompact_medium_056650:0:0-4,row:693,compact_edit,content,Cont,4898,10.520737648010254,0,2262,10.71046257019043,0,2319,9.81998062133789,0,1723,0p4_0p6,0.4375,0.5833333333333334,frontier_consolidation_fwcompact_medium_022332,31,7903,750693,0p4_0p6,frontier_consolidation_fwcompact_medium_056650,16,693,24,4,0,False,False
4,edit:frontier_consolidation_fwcompact_medium_044681:0:0-5,row:2940,compact_edit,connective,After,1482,3.7713875770568848,0,8,2.6156816482543945,0,3,6.341730117797852,0,30,0p2_0p4,0.36363636363636365,0.4,frontier_consolidation_fwcompact_medium_030115,2255,9086,752940,0p4_0p6,frontier_consolidation_fwcompact_medium_044681,11,2940,18,5,0,False,False
5,edit:frontier_consolidation_fwcompact_medium_013981:0:0-6,row:2006,compact_edit,content,Almost,11394,12.885404586791992,0,3385,11.384403228759766,0,1299,13.854619026184082,0,3690,0p4_0p6,0.4,0.5238095238095238,frontier_consolidation_fwcompact_medium_058158,2979,2039,752006,0p4_0p6,frontier_consolidation_fwcompact_medium_013981,20,2006,32,6,0,False,False
6,edit:frontier_consolidation_fwcompact_medium_013987:0:18-20,row:2931,compact_edit,content,'s,249,0.2860315442085266,1,1,0.1192818284034729,1,1,0.18619346618652344,1,1,0p2_0p4,0.3,0.6666666666666666,frontier_consolidation_fwcompact_medium_012861,1832,2039,752931,0p6_0p8,frontier_consolidation_fwcompact_medium_013987,10,2931,13,20,18,False,False
7,edit:frontier_consolidation_fwcompact_medium_021435:0:81-85,row:1374,compact_edit,content,oked,8535,7.192552089691162,0,203,8.220816612243652,0,536,7.072613716125488,0,206,0p2_0p4,0.3076923076923077,0.3333333333333333,frontier_consolidation_fwcompact_medium_001236,1038,4586,751374,lt0p4,frontier_consolidation_fwcompact_medium_021435,13,1374,21,85,81,False,False
8,edit:frontier_consolidation_fwcompact_medium_025061:0:91-94,row:1352,compact_edit,content,les,698,4.419220447540283,0,9,8.135533332824707,0,38,4.731655597686768,0,11,0p4_0p6,0.4166666666666667,0.47619047619047616,frontier_consolidation_fwcompact_medium_045360,913,2722,751352,0p4_0p6,frontier_consolidation_fwcompact_medium_025061,24,1352,40,94,91,False,False
9,edit:frontier_consolidation_fwcompact_medium_054180:0:75-78,row:2740,compact_edit,content,see,6166,5.5253705978393555,0,30,10.17744255065918,0,134,6.067944526672363,0,36,0p4_0p6,0.45454545454545453,0.4,frontier_consolidation_fwcompact_medium_006402,2098,13513,752740,0p4_0p6,frontier_consolidation_fwcompact_medium_054180,11,2740,25,78,75,False,False
