tokenizer,role,vocab,tok_per_word,mass_lt50,frac_seg,frac_supp,BLiMP,Supplement,EWoK,Entity,COMPS,SuperGLUE,GlobalPIQA,Reading,AoA,Overall
legal_a01_16k,anchor-self-check-16k,16384,1.4669,0.002,0.0,0.0,66.407,57.5241,49.6319,27.3912,52.0289,69.3929,37.3568,8.043,0.0,40.864
legal_byte_bpe_40k,anchor-self-check-40k,40000,1.3943,0.0413,1.0,1.0,67.7947,60.1366,50.7381,25.977,52.1565,68.9116,33.415,7.8936,0.0,40.7804
legal_byte_bpe_40k_minfreq25,PRIMARY-candidate-support-floor-29.5k,29529,1.4139,0.0286,0.7304,0.6775,67.4206,59.4324,50.4399,26.4331,52.1187,69.0541,34.6862,7.9378,0.0,40.8359
legal_byte_bpe_40k_minfreq50,A02-line-support-floor-19.6k,19609,1.4484,0.0031,0.2555,0.0263,66.7616,58.1917,49.9146,27.3541,52.0469,69.3251,37.2531,8.022,0.0,40.9854
legal_byte_bpe_24k,reference-24k,24576,1.4281,0.0183,0.5349,0.4151,67.1492,58.9215,50.2236,26.8042,52.0895,69.1643,35.7204,7.972,0.0,40.8939
legal_byte_bpe_32k,reference-32k,32768,1.4066,0.0336,0.8299,0.8036,67.5586,59.6921,50.5499,26.2548,52.1331,68.9998,34.1891,7.921,0.0,40.8109
