label,baseline,checkpoint,group,n,baseline_accuracy_pct,label_accuracy_pct,delta_accuracy_pct,mean_relevant_updates,mean_total_ops
binding_alpha1p00,chck82,eval,ALL,6780,27.89085545722714,22.47787610619469,-5.412979351032451,1.9960176991150442,7.359587020648967
binding_alpha1p00,chck82,eval,rel1_postrel_ops0,345,19.71014492753623,20.869565217391305,1.159420289855074,1.0,4.573913043478261
binding_alpha1p00,chck82,eval,rel1_postrel_ops_gt0,978,15.74642126789366,16.56441717791411,0.8179959100204481,1.0,6.931492842535787
binding_alpha1p00,chck82,eval,rel1_stale_available_not_gold,16,31.25,50.0,18.75,1.0,8.5
binding_alpha1p00,chck82,eval,rel2_postrel_ops0,391,27.877237851662404,27.62148337595908,-0.25575447570332344,2.0,7.040920716112532
binding_alpha1p00,chck82,eval,rel2_postrel_ops_gt0,875,21.02857142857143,16.457142857142856,-4.571428571428573,2.0,8.676571428571428
binding_alpha1p00,chck82,eval,rel2_stale_available_not_gold,489,21.676891615541923,22.085889570552148,0.40899795501022496,2.0,8.366053169734151
binding_alpha1p00,chck82,eval,rel3_postrel_ops0,469,32.6226012793177,30.063965884861407,-2.5586353944562923,3.0,8.867803837953092
binding_alpha1p00,chck82,eval,rel3_postrel_ops_gt0,761,24.83574244415243,21.681997371879106,-3.153745072273324,3.0,9.797634691195794
binding_alpha1p00,chck82,eval,rel3_stale_available_not_gold,296,29.054054054054053,21.62162162162162,-7.432432432432432,3.0,9.54054054054054
binding_alpha1p00,chck82,eval,rel4_postrel_ops0,501,34.3313373253493,33.13373253493014,-1.1976047904191631,4.0,9.684630738522953
binding_alpha1p00,chck82,eval,rel4_postrel_ops_gt0,611,30.114566284779052,25.368248772504092,-4.74631751227496,4.0,10.297872340425531
binding_alpha1p00,chck82,eval,rel4_stale_available_not_gold,326,31.595092024539877,31.288343558282207,-0.3067484662576696,4.0,10.13803680981595
binding_alpha1p00,chck82,eval,rel5_postrel_ops0,144,41.666666666666664,31.944444444444443,-9.722222222222221,5.0,10.083333333333334
binding_alpha1p00,chck82,eval,rel5_postrel_ops_gt0,164,25.0,23.170731707317074,-1.8292682926829258,5.0,10.75609756097561
binding_alpha1p00,chck82,eval,rel5_stale_available_not_gold,94,37.234042553191486,30.851063829787233,-6.382978723404253,5.0,10.106382978723405
binding_alpha1p00,chck82,eval,rel_eq0,1541,37.44321868916288,21.219987021414667,-16.223231667748216,0.0,3.388059701492537
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_1,257,38.91050583657587,26.459143968871594,-12.451361867704279,0.0,1.0
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_10,36,25.0,11.11111111111111,-13.88888888888889,0.0,10.0
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_11,32,28.125,21.875,-6.25,0.0,11.0
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_12,30,23.333333333333332,6.666666666666667,-16.666666666666664,0.0,12.0
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_1to3,641,39.0015600624025,26.053042121684868,-12.948517940717629,0.0,1.8673946957878316
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_2,212,39.15094339622642,25.0,-14.150943396226417,0.0,2.0
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_3,172,38.95348837209303,26.74418604651163,-12.209302325581397,0.0,3.0
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_4,131,39.69465648854962,16.793893129770993,-22.900763358778626,0.0,4.0
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_4to6,323,43.03405572755418,14.551083591331269,-28.482972136222912,0.0,4.86687306501548
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_5,104,44.23076923076923,12.5,-31.730769230769234,0.0,5.0
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_6,88,46.59090909090909,13.636363636363637,-32.95454545454545,0.0,6.0
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_7,66,28.78787878787879,18.181818181818183,-10.606060606060606,0.0,7.0
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_8,63,28.571428571428573,11.11111111111111,-17.460317460317462,0.0,8.0
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_9,46,41.30434782608695,19.565217391304348,-21.739130434782606,0.0,9.0
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_ge7,273,29.67032967032967,15.018315018315018,-14.652014652014653,0.0,8.981684981684982
binding_alpha1p00,chck82,eval,rel_eq0_irrelevant_ops_gt0,1237,37.99514955537591,20.6143896523848,-17.38075990299111,0.0,4.22069523039612
binding_alpha1p00,chck82,eval,rel_eq0_total_ops0,304,35.19736842105263,23.68421052631579,-11.513157894736839,0.0,0.0
binding_alpha1p00,chck82,eval,rel_ge1,5239,25.081122351593816,22.84787173124642,-2.2332506203473947,2.5831265508684864,8.527772475663294
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops0,1850,30.37837837837838,28.81081081081081,-1.5675675675675684,2.842162162162162,7.996756756756756
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops_0,1850,30.37837837837838,28.81081081081081,-1.5675675675675684,2.842162162162162,7.996756756756756
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops_1,1200,27.166666666666668,24.333333333333332,-2.8333333333333357,2.7025,8.214166666666667
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops_10,15,6.666666666666667,13.333333333333334,6.666666666666667,1.1333333333333333,11.466666666666667
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops_11,6,0.0,0.0,0.0,1.0,12.0
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops_2,817,24.23500611995104,21.175030599755203,-3.059975520195838,2.5813953488372094,8.664626682986537
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops_3,513,23.391812865497077,16.95906432748538,-6.4327485380116975,2.415204678362573,9.015594541910332
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops_4,343,14.868804664723031,13.411078717201166,-1.4577259475218654,2.250728862973761,9.177842565597668
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops_5,214,11.214953271028037,12.149532710280374,0.934579439252337,2.0186915887850465,9.686915887850468
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops_6,143,12.587412587412587,15.384615384615385,2.7972027972027984,1.8391608391608392,9.937062937062937
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops_7,75,8.0,13.333333333333334,5.333333333333334,1.48,10.24
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops_8,40,17.5,7.5,-10.0,1.325,10.3
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops_9,23,4.3478260869565215,13.043478260869565,8.695652173913043,1.3043478260869565,11.130434782608695
binding_alpha1p00,chck82,eval,rel_ge1_postrel_ops_gt0,3389,22.18943641192092,19.592800236057833,-2.596636175863086,2.4417232221894363,8.817645323104161
binding_alpha1p00,chck82,eval,rel_ge3,2650,30.150943396226417,26.830188679245282,-3.320754716981135,3.6520754716981134,9.80188679245283
binding_alpha1p00,chck82,eval,rel_ge3_postrel_ops0,1114,34.56014362657091,31.68761220825853,-2.8725314183123842,3.708258527827648,9.392280071813286
binding_alpha1p00,chck82,eval,rel_ge3_postrel_ops_gt0,1536,26.953125,23.307291666666668,-3.645833333333332,3.611328125,10.098958333333334
binding_alpha1p00,chck82,eval,rel_updates_0,1541,37.44321868916288,21.219987021414667,-16.223231667748216,0.0,3.388059701492537
binding_alpha1p00,chck82,eval,rel_updates_1,1323,16.780045351473923,17.687074829931973,0.9070294784580497,1.0,6.316704459561603
binding_alpha1p00,chck82,eval,rel_updates_2,1266,23.143759873617693,19.90521327014218,-3.2385466034755126,2.0,8.171406003159557
binding_alpha1p00,chck82,eval,rel_updates_3,1230,27.804878048780488,24.878048780487806,-2.926829268292682,3.0,9.44308943089431
binding_alpha1p00,chck82,eval,rel_updates_4,1112,32.014388489208635,28.866906474820144,-3.1474820143884905,4.0,10.02158273381295
binding_alpha1p00,chck82,eval,rel_updates_5,308,32.79220779220779,27.272727272727273,-5.519480519480517,5.0,10.441558441558442
binding_alpha1p00,chck82,eval,reported_numops_0,1541,37.44321868916288,21.219987021414667,-16.223231667748216,0.0,3.388059701492537
binding_alpha1p00,chck82,eval,reported_numops_1,1274,15.85557299843014,16.483516483516482,0.627943485086341,1.0,6.229199372056515
binding_alpha1p00,chck82,eval,reported_numops_2,1217,22.67871815940838,20.37797863599014,-2.3007395234182404,1.9597370583401807,8.054231717337716
binding_alpha1p00,chck82,eval,reported_numops_3,1240,28.548387096774192,24.516129032258064,-4.032258064516128,2.9290322580645163,9.390322580645162
binding_alpha1p00,chck82,eval,reported_numops_4,1175,31.148936170212767,29.27659574468085,-1.8723404255319167,3.9191489361702128,10.04595744680851
binding_alpha1p00,chck82,eval,reported_numops_5,333,34.83483483483484,27.32732732732733,-7.507507507507508,4.915915915915916,10.483483483483484
binding_alpha1p00,chck82,eval,stale_available_not_gold,1221,27.436527436527438,25.470925470925472,-1.9656019656019659,2.994266994266994,9.25962325962326
binding_alpha1p00,chck82,eval,total_ops_0,304,35.19736842105263,23.68421052631579,-11.513157894736839,0.0,0.0
