seed,family,subtask,legal40k,legal16k,inherited16k_non_submission,delta_40_minus_16,delta_40_minus_inherited
43022,Entity,ambiref_0_ops,21.062992125984252,27.559055118110237,24.803149606299215,-6.496062992125985,-3.740157480314963
43022,Entity,ambiref_1_ops,17.757009345794394,12.383177570093459,14.018691588785046,5.3738317757009355,3.738317757009348
43022,Entity,ambiref_2_ops,25.66585956416465,22.033898305084747,23.97094430992736,3.631961259079901,1.6949152542372872
43022,Entity,ambiref_3_ops,28.361858190709047,23.96088019559902,26.894865525672373,4.400977995110026,1.466992665036674
43022,Entity,ambiref_4_ops,34.7926267281106,25.57603686635945,32.02764976958525,9.21658986175115,2.764976958525345
43022,Entity,ambiref_5_ops,30.89430894308943,27.642276422764226,34.146341463414636,3.252032520325205,-3.252032520325205
43022,Entity,move_contents_0_ops,33.72093023255814,45.736434108527135,40.116279069767444,-12.015503875968996,-6.395348837209305
43022,Entity,move_contents_1_ops,17.848970251716246,14.645308924485127,16.933638443935926,3.203661327231119,0.9153318077803192
43022,Entity,move_contents_2_ops,23.55889724310777,20.050125313283207,20.551378446115287,3.5087719298245617,3.007518796992482
43022,Entity,move_contents_3_ops,27.832512315270936,27.586206896551722,29.55665024630542,0.24630541871921352,-1.724137931034484
43022,Entity,move_contents_4_ops,28.611898016997166,24.362606232294617,30.02832861189802,4.2492917847025495,-1.4164305949008522
43022,Entity,move_contents_5_ops,40.51724137931034,36.206896551724135,37.93103448275862,4.310344827586206,2.5862068965517224
43022,Entity,regular_0_ops,28.239845261121857,39.845261121856865,36.55705996131528,-11.605415860735008,-8.317214700193425
43022,Entity,regular_1_ops,16.381418092909534,15.89242053789731,19.315403422982886,0.4889975550122241,-2.9339853300733516
43022,Entity,regular_2_ops,21.97530864197531,20.246913580246915,22.22222222222222,1.7283950617283956,-0.24691358024691112
43022,Entity,regular_3_ops,27.764705882352942,28.235294117647058,27.764705882352942,-0.470588235294116,0.0
43022,Entity,regular_4_ops,31.701030927835053,25.515463917525775,30.670103092783506,6.185567010309278,1.0309278350515463
43022,Entity,regular_5_ops,32.97872340425532,34.04255319148936,31.914893617021278,-1.0638297872340416,1.0638297872340416
43022,GlobalPIQA,GlobalPIQA_nonparallel,,,46.0,,
43022,GlobalPIQA,GlobalPIQA_parallel,,,25.24271844660194,,
43022,GlobalPIQA,global_piqa_nonparallel,47.0,46.0,,1.0,
43022,GlobalPIQA,global_piqa_parallel,22.330097087378643,26.21359223300971,,-3.8834951456310662,
43022,SuperGLUE,boolq,68.13455657492355,68.13455657492355,67.3394495412844,0.0,0.7951070336391552
43022,SuperGLUE,mnli,58.475957620211894,60.22819885900571,60.57457212713936,-1.7522412387938147,-2.0986145069274684
43022,SuperGLUE,mrpc,86.37873754152824,87.24832214765101,88.50174216027874,-0.8695846061227712,-2.1230046187504996
43022,SuperGLUE,multirc,66.66666666666666,67.07920792079209,68.64686468646865,-0.4125412541254292,-1.980198019801989
43022,SuperGLUE,qqp,70.26715356525082,71.39703972994027,71.48689582510207,-1.1298861646894522,-1.2197422598512446
43022,SuperGLUE,rte,66.18705035971223,64.74820143884892,67.62589928057554,1.4388489208633075,-1.4388489208633075
43022,SuperGLUE,wsc,63.46153846153846,65.38461538461539,73.07692307692307,-1.923076923076927,-9.615384615384606
43122,Entity,ambiref_0_ops,22.637795275590552,22.834645669291337,32.08661417322835,-0.19685039370078528,-9.448818897637796
43122,Entity,ambiref_1_ops,14.719626168224298,15.186915887850468,14.485981308411215,-0.4672897196261694,0.23364485981308292
43122,Entity,ambiref_2_ops,23.24455205811138,23.002421307506054,19.854721549636803,0.24213075060532674,3.389830508474578
43122,Entity,ambiref_3_ops,25.91687041564792,29.339853300733495,22.493887530562347,-3.422982885085574,3.422982885085574
43122,Entity,ambiref_4_ops,29.032258064516128,36.866359447004605,29.723502304147466,-7.834101382488477,-0.6912442396313381
43122,Entity,ambiref_5_ops,23.577235772357724,33.333333333333336,26.016260162601625,-9.756097560975611,-2.439024390243901
43122,Entity,move_contents_0_ops,28.294573643410853,29.844961240310077,50.775193798449614,-1.550387596899224,-22.48062015503876
43122,Entity,move_contents_1_ops,17.620137299771166,17.391304347826086,16.704805491990847,0.2288329519450798,0.9153318077803192
43122,Entity,move_contents_2_ops,23.80952380952381,26.31578947368421,18.045112781954888,-2.5062656641603986,5.764411027568922
43122,Entity,move_contents_3_ops,23.15270935960591,33.004926108374384,21.428571428571427,-9.852216748768473,1.724137931034484
43122,Entity,move_contents_4_ops,27.762039660056658,36.26062322946176,25.21246458923513,-8.498583569405099,2.549575070821529
43122,Entity,move_contents_5_ops,36.206896551724135,43.96551724137931,36.206896551724135,-7.758620689655174,0.0
43122,Entity,regular_0_ops,25.53191489361702,27.46615087040619,47.38878143133462,-1.934235976789168,-21.8568665377176
43122,Entity,regular_1_ops,19.559902200489,17.359413202933986,14.669926650366747,2.200488997555013,4.8899755501222515
43122,Entity,regular_2_ops,22.469135802469136,24.444444444444443,18.271604938271604,-1.9753086419753068,4.197530864197532
43122,Entity,regular_3_ops,27.058823529411764,31.529411764705884,25.176470588235293,-4.4705882352941195,1.882352941176471
43122,Entity,regular_4_ops,29.38144329896907,35.56701030927835,22.68041237113402,-6.185567010309281,6.701030927835049
43122,Entity,regular_5_ops,25.53191489361702,30.851063829787233,31.914893617021278,-5.319148936170212,-6.382978723404257
43122,GlobalPIQA,global_piqa_nonparallel,42.0,51.0,,-9.0,
43122,GlobalPIQA,global_piqa_parallel,22.330097087378643,26.21359223300971,,-3.8834951456310662,
43122,SuperGLUE,boolq,69.96941896024464,68.56269113149847,68.19571865443424,1.4067278287461704,1.7737003058103937
43122,SuperGLUE,mnli,59.75957620211899,60.26894865525673,60.53382233088834,-0.5093724531377362,-0.7742461287693487
43122,SuperGLUE,mrpc,87.67123287671232,88.59060402684564,89.75265017667844,-0.9193711501333155,-2.0814172999661196
43122,SuperGLUE,multirc,67.78052805280528,67.53300330033002,69.01815181518151,0.24752475247525751,-1.2376237623762307
43122,SuperGLUE,qqp,72.2841488758738,72.67659170098194,72.15256008359457,-0.392442825108148,0.13158879227923137
43122,SuperGLUE,rte,66.18705035971223,66.18705035971223,66.18705035971223,0.0,0.0
43122,SuperGLUE,wsc,61.53846153846154,63.46153846153846,63.46153846153846,-1.9230769230769198,-1.9230769230769198
