seed,task,legal40k,legal16k,inherited16k_non_submission,delta_40_minus_16,delta_40_minus_inherited
43022,BLiMP,67.94936507303161,66.3350104082468,66.87232315173485,1.6143546647848126,1.0770419212967681
43022,Supplement,60.96556978072759,59.28059307749794,63.27576417952158,1.6849767032296512,-2.310194398793989
43022,EWoK,51.47398439480199,49.83762097731724,53.536575594886855,1.6363634174847448,-2.062591200084867
43022,Entity,27.20367425262572,26.19560049841891,27.745741097952372,1.0080737542068121,-0.5420668453266515
43022,COMPS,51.67466312375749,51.8109824000351,51.968828052457084,-0.13631927627761087,-0.294164928699594
43022,SuperGLUE,68.51023725569027,69.17430600796813,71.03604952825312,-0.6640687522778563,-2.5258122725628454
43022,GlobalPIQA,34.66504854368932,36.10679611650485,35.62135922330097,-1.4417475728155296,-0.9563106796116472
43022,Reading,7.822657545982009,7.594698114753101,8.241572282566393,0.22795943122890794,-0.4189147365843837
43022,AoA,0.0,0.0,0.0,0.0,0.0
43022,Overall,41.140577774478444,40.703956400082454,42.0331347900748,0.43662137439599036,-0.8925570155963527
43122,BLiMP,67.63999951046728,66.47890253779987,65.66440014112493,1.1610969726674085,1.9755993693423477
43122,Supplement,59.30758381050629,55.767586890202026,61.95235293529443,3.5399969203042616,-2.644769124788141
43122,EWoK,50.00227375509101,49.42614323036989,51.89171801728321,0.5761305247211226,-1.8894442621921996
43122,Entity,24.750408483172976,28.58689694490618,26.285338959270966,-3.836488461733204,-1.5349304760979905
43122,COMPS,52.63840232811745,52.24680579271018,51.5391941620175,0.3915965354072739,1.0992081660999489
43122,SuperGLUE,69.31291669513269,69.61148966230907,69.90021312600398,-0.2985729671763835,-0.5872964308712909
43122,GlobalPIQA,32.16504854368932,38.60679611650485,35.13592233009709,-6.44174757281553,-2.970873786407765
43122,Reading,7.964552348007374,8.491325047897558,8.86501663100661,-0.5267726998901834,-0.9004642829992351
43122,AoA,0.0,0.0,0.0,0.0,0.0
43122,Overall,40.42013171935382,41.023994024744404,41.24823958912208,-0.6038623053905852,-0.8281078697682602
mean,BLiMP,67.79468229174944,66.40695647302334,66.2683616464299,1.3877258187260963,1.5263206453195437
mean,Supplement,60.13657679561694,57.52408998384998,62.614058557408,2.6124868117669564,-2.4774817617910614
mean,EWoK,50.7381290749465,49.631882103843566,52.71414680608503,1.1062469711029337,-1.9760177311385334
mean,Entity,25.977041367899346,27.391248721662542,27.015540028611667,-1.4142073537631958,-1.038498660712321
mean,COMPS,52.15653272593747,52.02889409637264,51.75401110723729,0.12763862956482797,0.40252161870017744
mean,SuperGLUE,68.91157697541148,69.3928978351386,70.46813132712855,-0.4813208597271199,-1.5565543517170681
mean,GlobalPIQA,33.41504854368932,37.35679611650485,35.37864077669903,-3.9417475728155296,-1.963592233009706
mean,Reading,7.893604946994692,8.04301158132533,8.553294456786501,-0.14940663433063683,-0.659689509791809
mean,AoA,0.0,0.0,0.0,0.0,0.0
mean,Overall,40.78035474691613,40.86397521241343,41.64068718959844,-0.0836204654972974,-0.8603324426823065
