n,compact_correct,breadth_correct,both_correct,both_wrong,compact_only_correct,breadth_only_correct,breadth_better_rank,same_rank,breadth_worse_rank,breadth_lower_margin,breadth_higher_margin,mean_margin_delta_breadth_minus_compact,compact_small_wrong_le_0p50,breadth_small_wrong_le_0p50,category,compact_accuracy,breadth_accuracy,oracle_union_accuracy,categories
73,22,24,18,45,4,6,22,38,13,32,23,-0.14400588005368165,8,16,physical_object_interaction,30.136986301369863,32.87671232876713,38.35616438356164,
36,12,15,11,20,1,4,9,22,5,16,9,-0.14893184098578885,4,6,officialcat:object_properties_interactions,33.333333333333336,41.666666666666664,44.44444444444444,
22,3,4,1,16,2,3,9,9,4,12,9,-0.14368597515167528,5,4,officialcat:spatial,13.636363636363637,18.181818181818183,27.272727272727273,
21,4,5,4,16,0,1,8,9,4,10,7,-0.15341383108767503,2,5,"officialcat:object_properties_interactions, affordances",19.047619047619047,23.80952380952381,23.80952380952381,
13,3,4,2,8,1,2,4,5,4,6,5,-0.3579031858688746,2,4,temporal_arithmetic_or_order,23.076923076923077,30.76923076923077,38.46153846153846,
12,2,2,1,9,1,1,5,4,3,5,6,0.04997202568741707,1,2,direction_spatial,16.666666666666668,16.666666666666668,25.0,
8,2,2,2,6,0,0,3,4,1,5,1,-0.5712781179518925,0,2,tool_affordance,25.0,25.0,25.0,
7,1,0,0,6,1,0,2,4,1,3,4,-0.24905674086798135,2,4,officialcat:counting,14.285714285714286,0.0,14.285714285714286,
7,0,1,0,6,0,1,3,2,2,5,2,-0.9250841004507883,2,4,"officialcat:time, counting",0.0,14.285714285714286,14.285714285714286,
4,1,3,1,1,0,2,2,2,0,2,1,-0.43217888275782257,1,0,officialcat:time,25.0,75.0,75.0,
3,2,1,1,1,1,0,1,1,1,0,2,0.12495103809568613,0,1,"officialcat:object_properties_interactions, spatial",66.66666666666667,33.333333333333336,66.66666666666667,
2,1,1,1,1,0,0,0,1,1,1,0,-0.1695626576741538,0,0,officialcat:object_properties,50.0,50.0,50.0,
1,1,0,0,0,1,0,0,0,1,0,1,1.3015969594319658,0,0,"officialcat:spatial, counting",100.0,0.0,100.0,
