n,compact_correct,breadth_correct,both_correct,both_wrong,compact_only_correct,breadth_only_correct,breadth_better_rank,same_rank,breadth_worse_rank,breadth_lower_margin,breadth_higher_margin,mean_margin_delta_breadth_minus_compact,compact_small_wrong_le_0p50,breadth_small_wrong_le_0p50,category,compact_accuracy,breadth_accuracy,oracle_union_accuracy,categories
42,22,17,14,17,8,3,3,31,8,14,14,0.008406194439750932,13,19,other,52.38095238095238,40.476190476190474,59.523809523809526,
35,17,16,14,16,3,2,2,30,3,11,10,-0.04707501436176175,11,12,physical_object_interaction,48.57142857142857,45.714285714285715,54.285714285714285,
23,17,15,13,4,4,2,2,17,4,4,6,-0.006348622438018018,6,8,tool_affordance,73.91304347826087,65.21739130434783,82.6086956521739,
9,4,3,3,5,1,0,0,8,1,4,2,-0.010134518504374955,5,6,direction_spatial,44.44444444444444,33.333333333333336,44.44444444444444,
3,0,0,0,3,0,0,0,3,0,2,1,-0.04730066723293739,2,2,temporal_arithmetic_or_order,0.0,0.0,0.0,
