frame_id,base_id,condition,family,object,alt_a,alt_b,delta1,delta2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias
IF_00001,BASE_0001,no_context,empty_full,glass,empty,full,1.0468406677246094,1.0468406677246094,0.0,-1.0468406677246094,False,True,False
IF_00002,BASE_0001,explicit_final,empty_full,glass,empty,full,6.727974236011505,-7.645593777298927,14.373568013310432,6.727974236011505,True,False,False
IF_00003,BASE_0001,last_event,empty_full,glass,empty,full,2.4091224670410156,-1.3186354637145996,3.7277579307556152,1.3186354637145996,True,False,False
IF_00004,BASE_0001,consistent_prior,empty_full,glass,empty,full,7.306511089205742,-5.1013549864292145,12.407866075634956,5.1013549864292145,True,False,False
IF_00005,BASE_0001,distractor_event,empty_full,glass,empty,full,1.9872713088989258,0.536280632019043,1.4509906768798828,-0.536280632019043,False,True,False
IF_00006,BASE_0001,contradict_bare,empty_full,glass,empty,full,-3.9843464493751526,6.727307051420212,-10.711653500795364,-6.727307051420212,False,False,False
IF_00007,BASE_0001,contradict_temporal,empty_full,glass,empty,full,-4.12141889333725,6.925541117787361,-11.046960011124611,-6.925541117787361,False,False,False
IF_00008,BASE_0001,contradict_reinforced,empty_full,glass,empty,full,-4.465720772743225,6.670811086893082,-11.136531859636307,-6.670811086893082,False,False,False
IF_00009,BASE_0001,explicit_override,empty_full,glass,empty,full,5.072353482246399,-3.7796372175216675,8.851990699768066,3.7796372175216675,True,False,False
IF_00010,BASE_0001,reported_event,empty_full,glass,empty,full,2.2518224716186523,-1.4360527992248535,3.687875270843506,1.4360527992248535,True,False,False
IF_00011,BASE_0002,no_context,empty_full,glass,empty,full,1.0468406677246094,1.0468406677246094,0.0,-1.0468406677246094,False,True,False
IF_00012,BASE_0002,explicit_final,empty_full,glass,empty,full,6.727974236011505,-7.645593777298927,14.373568013310432,6.727974236011505,True,False,False
IF_00013,BASE_0002,last_event,empty_full,glass,empty,full,2.619619846343994,-1.6264398097991943,4.2460596561431885,1.6264398097991943,True,False,False
IF_00014,BASE_0002,consistent_prior,empty_full,glass,empty,full,7.30119651556015,-5.126463800668716,12.427660316228867,5.126463800668716,True,False,False
IF_00015,BASE_0002,distractor_event,empty_full,glass,empty,full,1.9599618911743164,0.5993828773498535,1.360579013824463,-0.5993828773498535,False,True,False
IF_00016,BASE_0002,contradict_bare,empty_full,glass,empty,full,-4.141806721687317,6.5846148282289505,-10.726421549916267,-6.5846148282289505,False,False,False
IF_00017,BASE_0002,contradict_temporal,empty_full,glass,empty,full,-4.223328709602356,6.937391713261604,-11.16072042286396,-6.937391713261604,False,False,False
IF_00018,BASE_0002,contradict_reinforced,empty_full,glass,empty,full,-4.536205768585205,6.647135242819786,-11.183341011404991,-6.647135242819786,False,False,False
IF_00019,BASE_0002,explicit_override,empty_full,glass,empty,full,5.072353482246399,-3.7796372175216675,8.851990699768066,3.7796372175216675,True,False,False
IF_00020,BASE_0002,reported_event,empty_full,glass,empty,full,2.7247610092163086,-1.1594398021697998,3.8842008113861084,1.1594398021697998,True,False,False
IF_00021,BASE_0003,no_context,empty_full,glass,empty,full,1.0468406677246094,1.0468406677246094,0.0,-1.0468406677246094,False,True,False
IF_00022,BASE_0003,explicit_final,empty_full,glass,empty,full,6.727974236011505,-7.645593777298927,14.373568013310432,6.727974236011505,True,False,False
IF_00023,BASE_0003,last_event,empty_full,glass,empty,full,1.6547808647155762,-2.1933155059814453,3.8480963706970215,1.6547808647155762,True,False,False
IF_00024,BASE_0003,consistent_prior,empty_full,glass,empty,full,6.959601238369942,-5.477758228778839,12.43735946714878,5.477758228778839,True,False,False
IF_00025,BASE_0003,distractor_event,empty_full,glass,empty,full,1.6890316009521484,0.4125022888183594,1.276529312133789,-0.4125022888183594,False,True,False
IF_00026,BASE_0003,contradict_bare,empty_full,glass,empty,full,-4.490055799484253,6.359972685575485,-10.850028485059738,-6.359972685575485,False,False,False
IF_00027,BASE_0003,contradict_temporal,empty_full,glass,empty,full,-4.439302384853363,6.61541648209095,-11.054718866944313,-6.61541648209095,False,False,False
IF_00028,BASE_0003,contradict_reinforced,empty_full,glass,empty,full,-4.687051057815552,6.322029381990433,-11.009080439805984,-6.322029381990433,False,False,False
IF_00029,BASE_0003,explicit_override,empty_full,glass,empty,full,5.072353482246399,-3.7796372175216675,8.851990699768066,3.7796372175216675,True,False,False
IF_00030,BASE_0003,reported_event,empty_full,glass,empty,full,0.6167507171630859,-2.598093271255493,3.214843988418579,0.6167507171630859,True,False,False
IF_00031,BASE_0004,no_context,empty_full,glass,empty,full,1.0468406677246094,1.0468406677246094,0.0,-1.0468406677246094,False,True,False
IF_00032,BASE_0004,explicit_final,empty_full,glass,empty,full,6.727974236011505,-7.645593777298927,14.373568013310432,6.727974236011505,True,False,False
IF_00033,BASE_0004,last_event,empty_full,glass,empty,full,2.23590087890625,-1.7634906768798828,3.999391555786133,1.7634906768798828,True,False,False
IF_00034,BASE_0004,consistent_prior,empty_full,glass,empty,full,7.244222849607468,-5.14671266078949,12.390935510396957,5.14671266078949,True,False,False
IF_00035,BASE_0004,distractor_event,empty_full,glass,empty,full,2.321157932281494,0.9701318740844727,1.3510260581970215,-0.9701318740844727,False,True,False
IF_00036,BASE_0004,contradict_bare,empty_full,glass,empty,full,-4.167207837104797,6.6498864740133286,-10.817094311118126,-6.6498864740133286,False,False,False
IF_00037,BASE_0004,contradict_temporal,empty_full,glass,empty,full,-4.252976477146149,6.866468444466591,-11.11944492161274,-6.866468444466591,False,False,False
IF_00038,BASE_0004,contradict_reinforced,empty_full,glass,empty,full,-4.575044810771942,6.588357239961624,-11.163402050733566,-6.588357239961624,False,False,False
IF_00039,BASE_0004,explicit_override,empty_full,glass,empty,full,5.072353482246399,-3.7796372175216675,8.851990699768066,3.7796372175216675,True,False,False
IF_00040,BASE_0004,reported_event,empty_full,glass,empty,full,2.049830436706543,-2.1572751998901367,4.20710563659668,2.049830436706543,True,False,False
IF_00041,BASE_0005,no_context,empty_full,glass,empty,full,1.0468406677246094,1.0468406677246094,0.0,-1.0468406677246094,False,True,False
IF_00042,BASE_0005,explicit_final,empty_full,glass,empty,full,6.727974236011505,-7.645593777298927,14.373568013310432,6.727974236011505,True,False,False
IF_00043,BASE_0005,last_event,empty_full,glass,empty,full,2.1421279907226562,-1.7835643291473389,3.925692319869995,1.7835643291473389,True,False,False
IF_00044,BASE_0005,consistent_prior,empty_full,glass,empty,full,7.198809161782265,-5.311195999383926,12.510005161166191,5.311195999383926,True,False,False
IF_00045,BASE_0005,distractor_event,empty_full,glass,empty,full,1.7026195526123047,0.23572635650634766,1.466893196105957,-0.23572635650634766,False,True,False
IF_00046,BASE_0005,contradict_bare,empty_full,glass,empty,full,-4.295431554317474,6.584844797849655,-10.88027635216713,-6.584844797849655,False,False,False
IF_00047,BASE_0005,contradict_temporal,empty_full,glass,empty,full,-4.386266589164734,6.874690741300583,-11.260957330465317,-6.874690741300583,False,False,False
IF_00048,BASE_0005,contradict_reinforced,empty_full,glass,empty,full,-4.638587415218353,6.613308638334274,-11.251896053552628,-6.613308638334274,False,False,False
IF_00049,BASE_0005,explicit_override,empty_full,glass,empty,full,5.072353482246399,-3.7796372175216675,8.851990699768066,3.7796372175216675,True,False,False
IF_00050,BASE_0005,reported_event,empty_full,glass,empty,full,1.6759233474731445,-1.818037509918213,3.4939608573913574,1.6759233474731445,True,False,False
IF_00051,BASE_0006,no_context,empty_full,glass,empty,full,1.0468406677246094,1.0468406677246094,0.0,-1.0468406677246094,False,True,False
IF_00052,BASE_0006,explicit_final,empty_full,glass,empty,full,6.727974236011505,-7.645593777298927,14.373568013310432,6.727974236011505,True,False,False
IF_00053,BASE_0006,last_event,empty_full,glass,empty,full,2.4355735778808594,-1.4216620922088623,3.8572356700897217,1.4216620922088623,True,False,False
IF_00054,BASE_0006,consistent_prior,empty_full,glass,empty,full,7.258781135082245,-5.192834913730621,12.451616048812866,5.192834913730621,True,False,False
IF_00055,BASE_0006,distractor_event,empty_full,glass,empty,full,2.05157470703125,0.9812164306640625,1.0703582763671875,-0.9812164306640625,False,True,False
IF_00056,BASE_0006,contradict_bare,empty_full,glass,empty,full,-4.124928295612335,6.588294446468353,-10.713222742080688,-6.588294446468353,False,False,False
IF_00057,BASE_0006,contradict_temporal,empty_full,glass,empty,full,-4.223802447319031,6.829389318823814,-11.053191766142845,-6.829389318823814,False,False,False
IF_00058,BASE_0006,contradict_reinforced,empty_full,glass,empty,full,-4.611219227313995,6.5141123831272125,-11.125331610441208,-6.5141123831272125,False,False,False
IF_00059,BASE_0006,explicit_override,empty_full,glass,empty,full,5.072353482246399,-3.7796372175216675,8.851990699768066,3.7796372175216675,True,False,False
IF_00060,BASE_0006,reported_event,empty_full,glass,empty,full,2.1423048973083496,-2.189694404602051,4.3319993019104,2.1423048973083496,True,False,False
IF_00061,BASE_0007,no_context,empty_full,glass,empty,full,1.0468406677246094,1.0468406677246094,0.0,-1.0468406677246094,False,True,False
IF_00062,BASE_0007,explicit_final,empty_full,glass,empty,full,6.727974236011505,-7.645593777298927,14.373568013310432,6.727974236011505,True,False,False
IF_00063,BASE_0007,last_event,empty_full,glass,empty,full,2.5841379165649414,-1.344290018081665,3.9284279346466064,1.344290018081665,True,False,False
IF_00064,BASE_0007,consistent_prior,empty_full,glass,empty,full,7.191498667001724,-4.981426119804382,12.172924786806107,4.981426119804382,True,False,False
IF_00065,BASE_0007,distractor_event,empty_full,glass,empty,full,2.1180009841918945,0.8463821411132812,1.2716188430786133,-0.8463821411132812,False,True,False
IF_00066,BASE_0007,contradict_bare,empty_full,glass,empty,full,-3.9526594281196594,6.4662768840789795,-10.418936312198639,-6.4662768840789795,False,False,False
IF_00067,BASE_0007,contradict_temporal,empty_full,glass,empty,full,-4.118840217590332,6.7956811636686325,-10.914521381258965,-6.7956811636686325,False,False,False
IF_00068,BASE_0007,contradict_reinforced,empty_full,glass,empty,full,-4.453480839729309,6.518702641129494,-10.972183480858803,-6.518702641129494,False,False,False
IF_00069,BASE_0007,explicit_override,empty_full,glass,empty,full,5.072353482246399,-3.7796372175216675,8.851990699768066,3.7796372175216675,True,False,False
IF_00070,BASE_0007,reported_event,empty_full,glass,empty,full,2.3926000595092773,-0.9196276664733887,3.312227725982666,0.9196276664733887,True,False,False
IF_00071,BASE_0008,no_context,empty_full,glass,empty,full,1.0468406677246094,1.0468406677246094,0.0,-1.0468406677246094,False,True,False
IF_00072,BASE_0008,explicit_final,empty_full,glass,empty,full,6.727974236011505,-7.645593777298927,14.373568013310432,6.727974236011505,True,False,False
