group_level,window,n_groups,pearson_net_pct,weighted_pearson_net_pct,cosine_net_pct,ref_nonzero_groups,sign_agreement_ref_nonzero,ref_mover_threshold_abs_net_pct,ref_mover_groups,sign_agreement_ref_movers,other_label,reference_label,reference_rise_window,reference_fall_window,other_rise_window,other_fall_window,ref_pattern_mover_groups,same_signed_pattern_on_ref_movers,same_signed_pattern_fraction
column_official_subtask_mean,rise,6,-0.07722593934386675,-0.2488422560576817,-0.01626634535034639,6,0.3333333333333333,0.25,3,0.3333333333333333,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_84M->chck_86M,chck_86M->chck_88M,,,
column_official_subtask_mean,fall,6,0.915931809172768,0.7738662094579307,0.9338145294682316,6,0.6666666666666666,0.25,2,1.0,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_84M->chck_86M,chck_86M->chck_88M,,,
column_official_subtask_mean,rise+fall_pattern,6,0.6981834132915712,0.2661546299956903,0.7068157302854027,,,0.25,,,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_84M->chck_86M,chck_86M->chck_88M,3,1,0.3333333333333333
column,rise,6,-0.20524225074340408,-0.25409852280826306,-0.10432885615626827,6,0.5,0.25,1,0.0,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_84M->chck_86M,chck_86M->chck_88M,,,
column,fall,6,0.9384160427369476,0.5918578758534355,0.9171092046306946,6,0.3333333333333333,0.25,3,0.3333333333333333,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_84M->chck_86M,chck_86M->chck_88M,,,
column,rise+fall_pattern,6,0.7174484212486485,0.12979786981560643,0.7193809227389858,,,0.25,,,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_84M->chck_86M,chck_86M->chck_88M,3,0,0.0
column_subtask,rise,107,-0.36762718836253616,-0.3766812995700694,-0.3695519002275424,102,0.4411764705882353,0.25,87,0.4482758620689655,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_84M->chck_86M,chck_86M->chck_88M,,,
column_subtask,fall,107,0.1907537607816082,0.14747146238210362,0.18998098494492577,101,0.5247524752475248,0.25,87,0.5057471264367817,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_84M->chck_86M,chck_86M->chck_88M,,,
column_subtask,rise+fall_pattern,107,-0.20295970967528623,-0.2410527353742764,-0.20204031100060027,,,0.25,,,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_84M->chck_86M,chck_86M->chck_88M,103,37,0.3592233009708738
column_subtask_subgroup,rise,127,-0.7149851896229117,-0.3661241384228927,-0.7188989319142254,115,0.4782608695652174,0.25,93,0.46236559139784944,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_84M->chck_86M,chck_86M->chck_88M,,,
column_subtask_subgroup,fall,127,-0.006585726675564625,0.036018687504975805,-0.0011389713031949888,113,0.504424778761062,0.25,94,0.4787234042553192,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_84M->chck_86M,chck_86M->chck_88M,,,
column_subtask_subgroup,rise+fall_pattern,127,-0.22522443020802485,-0.20306307920390013,-0.22720608310356946,,,0.25,,,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_84M->chck_86M,chck_86M->chck_88M,115,41,0.3565217391304348
