source_label,route,sentences,words,sentence_fraction,word_fraction,sentences_scanned,words_scanned
compact_experience_aligned_10m_rows,affordance_action_consequence,7089,181415,0.012657708006727922,0.022459992886193582,560054,8077251
compact_experience_aligned_10m_rows,algorithmic_time_count_candidate,5478,178547,0.009781199670031819,0.022104921587802584,560054,8077251
compact_experience_aligned_10m_rows,broad_related_only,221518,3739795,0.39552971677731075,0.46300344015556777,560054,8077251
compact_experience_aligned_10m_rows,explicit_contrast_pair,2851,81220,0.005090580551161138,0.010055401274517779,560054,8077251
compact_experience_aligned_10m_rows,physical_causal_consequence,8722,240832,0.015573498269809697,0.029816084705056214,560054,8077251
compact_experience_aligned_10m_rows,spatial_causal_relation,16003,438020,0.028574030361358013,0.05422884592790295,560054,8077251
compact_experience_aligned_10m_rows,temporal_quant_update,15444,449468,0.027575912322740308,0.05564615981353062,560054,8077251
fw_frozen_sources_38167,affordance_action_consequence,1241,32668,0.03238771302555002,0.03718983802589218,38317,878412
fw_frozen_sources_38167,algorithmic_time_count_candidate,1561,43718,0.040739097528512146,0.04976935652063041,38317,878412
fw_frozen_sources_38167,broad_related_only,21614,502830,0.5640838270219485,0.5724307044985725,38317,878412
fw_frozen_sources_38167,explicit_contrast_pair,413,11159,0.010778505624135501,0.012703606052740627,38317,878412
fw_frozen_sources_38167,physical_causal_consequence,1230,32423,0.032100634183260694,0.03691092562487762,38317,878412
fw_frozen_sources_38167,spatial_causal_relation,1562,42853,0.040765195605083904,0.04878462498235452,38317,878412
fw_frozen_sources_38167,temporal_quant_update,3082,83072,0.08043427199415402,0.09457065704931171,38317,878412
fw_compact_pair_sources,affordance_action_consequence,709,17960,0.03098099191610225,0.03625711868957567,22885,495351
fw_compact_pair_sources,algorithmic_time_count_candidate,717,19476,0.03133056587284248,0.039317574810588854,22885,495351
fw_compact_pair_sources,broad_related_only,12676,280061,0.5538999344548831,0.5653788929466177,22885,495351
fw_compact_pair_sources,explicit_contrast_pair,216,5632,0.009438496831986018,0.011369715615795669,22885,495351
fw_compact_pair_sources,physical_causal_consequence,615,15829,0.026873497924404632,0.03195511869361321,22885,495351
fw_compact_pair_sources,spatial_causal_relation,747,19531,0.03264146821061831,0.03942860718964936,22885,495351
fw_compact_pair_sources,temporal_quant_update,1428,36961,0.06239895127812978,0.07461577749918745,22885,495351
fw_compact_rewrites,affordance_action_consequence,457,7622,0.020185512367491165,0.023823812560169036,22640,319932
fw_compact_rewrites,algorithmic_time_count_candidate,520,9350,0.022968197879858657,0.029224960304064615,22640,319932
fw_compact_rewrites,broad_related_only,11981,176673,0.529196113074205,0.5522204718502682,22640,319932
fw_compact_rewrites,explicit_contrast_pair,203,3453,0.00896643109540636,0.010792918495180225,22640,319932
fw_compact_rewrites,physical_causal_consequence,426,6949,0.01881625441696113,0.021720240551117112,22640,319932
fw_compact_rewrites,spatial_causal_relation,379,6591,0.016740282685512368,0.02060125276621282,22640,319932
fw_compact_rewrites,temporal_quant_update,1079,18386,0.047659010600706715,0.05746846204818524,22640,319932
fw_breadth_whole_sentence_companions,affordance_action_consequence,414,12392,0.03391218872870249,0.0387987175633704,12208,319392
fw_breadth_whole_sentence_companions,algorithmic_time_count_candidate,594,17864,0.04865661861074705,0.055931269411882575,12208,319392
fw_breadth_whole_sentence_companions,broad_related_only,6956,183121,0.5697903014416776,0.5733424757038373,12208,319392
fw_breadth_whole_sentence_companions,explicit_contrast_pair,157,4798,0.012860419397116645,0.015022292355475404,12208,319392
fw_breadth_whole_sentence_companions,physical_causal_consequence,413,12243,0.0338302752293578,0.038332206191764355,12208,319392
fw_breadth_whole_sentence_companions,spatial_causal_relation,602,18203,0.04931192660550459,0.056992661056006415,12208,319392
fw_breadth_whole_sentence_companions,temporal_quant_update,1113,32721,0.0911697247706422,0.10244777577397055,12208,319392
