contrast,checkpoint,arm_A,arm_B,BLiMP,Supplement,EWoK,COMPS,Entity,exEntity4,cheap5_noReading,complete_families
childspeech_minus_adultprose,chck_80M,regmax_childspeech,regmax_adultprose,-1.13,-0.02,-0.05,-0.77,-0.59,-0.4925,-0.512,5
regmax_childspeech_minus_clean,chck_80M,regmax_childspeech,clean_maxgeom,-0.47,1.16,0.32,0.09,1.47,0.275,0.514,5
regmax_adultprose_minus_clean,chck_80M,regmax_adultprose,clean_maxgeom,0.66,1.18,0.37,0.86,2.06,0.7675,1.026,5
childspeech_minus_adultprose,chck_100M,regmax_childspeech,regmax_adultprose,-1.45,-1.56,0.94,-0.38,-1.12,-0.6125,-0.714,5
regmax_childspeech_minus_clean,chck_100M,regmax_childspeech,clean_maxgeom,-0.93,0.34,0.7,0.22,1.02,0.0825,0.27,5
regmax_adultprose_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,0.52,1.9,-0.24,0.6,2.14,0.695,0.984,5
