arm,checkpoint,source_root,source_payload,BLiMP,delta_BLiMP_vs_clean,Supplement,delta_Supplement_vs_clean,EWoK,delta_EWoK_vs_clean,COMPS,delta_COMPS_vs_clean,Entity,delta_Entity_vs_clean,exEntity4,cheap5_noReading,delta_exEntity4_vs_clean,delta_cheap5_vs_clean,complete_families
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,67.4,0.52,59.78,1.9,50.12,-0.24,52.18,0.6,26.96,2.14,57.370000000000005,51.288000000000004,0.695,0.984,5
regmax_adultprose,chck_80M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_80M.json,66.99,0.66,59.25,1.18,49.68,0.37,52.28,0.86,26.11,2.06,57.05,50.862,0.7675,1.026,5
regmax_childspeech,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_childspeech_chck_100M.json,65.95,-0.93,58.22,0.34,51.06,0.7,51.8,0.22,25.84,1.02,56.7575,50.574,0.0825,0.27,5
regmax_childspeech,chck_80M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_childspeech_chck_80M.json,65.86,-0.47,59.23,1.16,49.63,0.32,51.51,0.09,25.52,1.47,56.5575,50.35,0.275,0.514,5
