column,group_level,group_id,n_items,rise_gains,rise_losses,rise_unchanged,rise_net,rise_net_pct,rise_gain_pct,rise_loss_pct,rise_churn_pct,fall_gains,fall_losses,fall_unchanged,fall_net,fall_net_pct,fall_gain_pct,fall_loss_pct,fall_churn_pct
BLiMP,column,BLiMP,59875,1015,1154,57706,-139,-0.2321503131524008,1.6951983298538622,1.9273486430062632,3.622546972860125,986,859,58030,127,0.21210855949895616,1.6467640918580377,1.4346555323590815,3.0814196242171192
Supplement,column,Supplement,5218,51,61,5106,-10,-0.19164430816404754,0.9773859716366424,1.16903027980069,2.146416251437332,64,47,5107,17,0.32579532387888077,1.2265235722499042,0.9007282483710234,2.1272518206209274
EWoK,column,EWoK,7618,237,240,7141,-3,-0.03938041480703597,3.111052769755841,3.150433184562877,6.261485954318719,234,206,7178,28,0.36755053819900235,3.0716723549488054,2.704121816749803,5.7757941716986085
Entity,column,Entity,6780,134,123,6523,11,0.16224188790560473,1.9764011799410028,1.8141592920353982,3.7905604719764017,119,109,6552,10,0.14749262536873156,1.7551622418879056,1.607669616519174,3.3628318584070795
COMPS,column,COMPS,91028,3001,2919,85108,82,0.09008217251834601,3.296787801555565,3.2067056290372196,6.503493430592784,2820,2822,85386,-2,-0.0021971261589840488,3.097947884167509,3.100145010326493,6.198092894494002
GlobalPIQA,column,GlobalPIQA,203,5,4,194,1,0.49261083743842365,2.4630541871921183,1.9704433497536946,4.433497536945813,2,6,195,-4,-1.9704433497536946,0.9852216748768473,2.955665024630542,3.9408866995073892
