subset,n,item_point_pp,item_p025,item_p50,item_p975,n_clusters,cluster_point_pp,cluster_p025,cluster_p50,cluster_p975
stable_five_item_pool,170519,-0.05747160140512201,-0.33373113721609116,-0.06450894102454185,0.18839542418718325,105,-0.05747160140512201,-1.2450255938099177,-0.011805636888419117,1.0379910895083082
EWoK_plus_Entity_item_pool,14398,-0.9793026809279067,-1.7370468616485595,-0.9723572731018066,-0.07605222724378141,29,-0.9793026809279066,-2.2422452695528055,-0.8840904733933288,0.1922268618953827
BLiMP,59875,-0.6964509394572025,-1.006304833292961,-0.7031315565109253,-0.3063465639948846,67,-0.6964509394572025,-3.1654881262367756,-0.6420527085195451,1.6184423088350681
Supplement,5218,3.2387888079724028,2.040532821416855,3.2387890815734863,4.475373876094817,5,3.238788807972403,-2.8332827337875526,3.1354105428179504,4.825349956050031
EWoK,7618,-1.9690207403517985,-3.3342084884643555,-1.9493305683135986,-0.504397490620614,11,-1.9690207403517983,-4.734564801530368,-1.900879080265572,-0.4191437550526388
Entity,6780,0.1327433628318584,-0.8716814011335372,0.1622418910264969,1.0766961574554443,18,0.13274336283185842,-0.7045111104729729,0.15138502844286802,0.8464044059075052
COMPS,91028,0.31968185613217914,-0.05080854278057813,0.30045701563358307,0.6730621382594106,4,0.3196818561321791,-1.153209556706966,0.33350626250648485,1.7523028209556708
GlobalPIQA_item_pool,203,-0.49261083743842365,-5.418719291687012,-0.4926108419895172,5.418719291687012,2,-0.49261083743842365,-2.0,-0.49261083743842365,0.970873786407767
