family,seed,relation,arm,checkpoint,sentence_uid,source,sentence_words,isolation,row_context,context_gain
compact_experience,43022,DUP,DUP43022,chck_100M,r2704_s02,simple_wiki,12,2.123042583465576,0.6147997975349426,1.5082427859306335
compact_experience,43022,DUP,DUP43022,chck_100M,r2944_s05,simple_wiki,10,3.4429023265838623,3.7211053371429443,-0.27820301055908203
compact_experience,43022,DUP,DUP43022,chck_100M,r2945_s00,simple_wiki,11,4.894112586975098,4.105831146240234,0.7882814407348633
compact_experience,43022,DUP,DUP43022,chck_100M,r2992_s02,switchboard,9,1.1860263347625732,1.319428563117981,-0.13340222835540771
compact_experience,43022,DUP,DUP43022,chck_100M,r2994_s06,switchboard,32,4.1908721923828125,4.219147205352783,-0.028275012969970703
compact_experience,43022,DUP,DUP43022,chck_100M,r2997_s03,switchboard,12,1.8611979484558105,1.7084124088287354,0.1527855396270752
compact_experience,43022,DUP,DUP43022,chck_100M,r2999_s05,switchboard,20,3.3665037155151367,2.725229263305664,0.6412744522094727
compact_experience,43022,OFF,OFF43022,chck_100M,r0155_s04,bnc_spoken,26,4.1903462409973145,3.2795920372009277,0.9107542037963867
compact_experience,43022,OFF,OFF43022,chck_100M,r0165_s03,bnc_spoken,32,2.2641658782958984,1.8809852600097656,0.3831806182861328
compact_experience,43022,OFF,OFF43022,chck_100M,r0172_s02,bnc_spoken,45,4.734636306762695,3.851074695587158,0.8835616111755371
compact_experience,43022,OFF,OFF43022,chck_100M,r0179_s06,bnc_spoken,13,5.085953712463379,4.508910179138184,0.5770435333251953
compact_experience,43022,OFF,OFF43022,chck_100M,r0451_s00,childes,16,3.1224067211151123,3.850304126739502,-0.7278974056243896
compact_experience,43022,OFF,OFF43022,chck_100M,r0617_s02,childes,12,2.2044668197631836,1.3558775186538696,0.848589301109314
compact_experience,43022,OFF,OFF43022,chck_100M,r0893_s01,childes,9,4.691032886505127,2.297274589538574,2.3937582969665527
compact_experience,43022,OFF,OFF43022,chck_100M,r1149_s01,childes,13,2.5988125801086426,2.7841696739196777,-0.18535709381103516
compact_experience,43022,OFF,OFF43022,chck_100M,r1254_s05,gutenberg,9,10.442705154418945,7.959332466125488,2.483372688293457
compact_experience,43022,OFF,OFF43022,chck_100M,r1341_s05,gutenberg,9,2.149488687515259,5.049468517303467,-2.899979829788208
compact_experience,43022,OFF,OFF43022,chck_100M,r1448_s03,gutenberg,15,7.639493942260742,6.702432632446289,0.9370613098144531
compact_experience,43022,OFF,OFF43022,chck_100M,r1783_s00,gutenberg,22,7.011253356933594,7.240536212921143,-0.22928285598754883
compact_experience,43022,OFF,OFF43022,chck_100M,r1959_s02,open_subtitles,10,5.485626220703125,4.684390068054199,0.8012361526489258
compact_experience,43022,OFF,OFF43022,chck_100M,r2124_s00,open_subtitles,8,5.536247253417969,5.59588098526001,-0.059633731842041016
compact_experience,43022,OFF,OFF43022,chck_100M,r2225_s04,open_subtitles,9,2.031271457672119,0.27868369221687317,1.752587765455246
compact_experience,43022,OFF,OFF43022,chck_100M,r2438_s03,open_subtitles,10,3.0886690616607666,3.134673833847046,-0.0460047721862793
compact_experience,43022,OFF,OFF43022,chck_100M,r2624_s04,simple_wiki,8,3.824497699737549,0.37656259536743164,3.447935104370117
compact_experience,43022,OFF,OFF43022,chck_100M,r2704_s02,simple_wiki,12,1.2644156217575073,0.18788695335388184,1.0765286684036255
compact_experience,43022,OFF,OFF43022,chck_100M,r2944_s05,simple_wiki,10,4.690008640289307,3.670647144317627,1.0193614959716797
compact_experience,43022,OFF,OFF43022,chck_100M,r2945_s00,simple_wiki,11,3.4420409202575684,3.6705374717712402,-0.22849655151367188
compact_experience,43022,OFF,OFF43022,chck_100M,r2992_s02,switchboard,9,5.473567962646484,5.253444671630859,0.220123291015625
compact_experience,43022,OFF,OFF43022,chck_100M,r2994_s06,switchboard,32,4.3684587478637695,4.166751384735107,0.2017073631286621
compact_experience,43022,OFF,OFF43022,chck_100M,r2997_s03,switchboard,12,2.2249841690063477,1.927819013595581,0.2971651554107666
compact_experience,43022,OFF,OFF43022,chck_100M,r2999_s05,switchboard,20,3.5183334350585938,2.849661111831665,0.6686723232269287
compact_experience,43022,SEP,SEP43022,chck_100M,r0155_s04,bnc_spoken,26,3.9187984466552734,3.6006252765655518,0.3181731700897217
compact_experience,43022,SEP,SEP43022,chck_100M,r0165_s03,bnc_spoken,32,2.6772825717926025,2.6558144092559814,0.021468162536621094
compact_experience,43022,SEP,SEP43022,chck_100M,r0172_s02,bnc_spoken,45,4.648290157318115,4.4765825271606445,0.1717076301574707
compact_experience,43022,SEP,SEP43022,chck_100M,r0179_s06,bnc_spoken,13,5.033824920654297,4.710187911987305,0.3236370086669922
compact_experience,43022,SEP,SEP43022,chck_100M,r0451_s00,childes,16,4.168308734893799,4.084587574005127,0.08372116088867188
compact_experience,43022,SEP,SEP43022,chck_100M,r0617_s02,childes,12,2.3165476322174072,2.1226119995117188,0.19393563270568848
compact_experience,43022,SEP,SEP43022,chck_100M,r0893_s01,childes,9,4.352079391479492,2.049553155899048,2.3025262355804443
compact_experience,43022,SEP,SEP43022,chck_100M,r1149_s01,childes,13,2.9717023372650146,3.360907793045044,-0.3892054557800293
compact_experience,43022,SEP,SEP43022,chck_100M,r1254_s05,gutenberg,9,8.098804473876953,8.04691219329834,0.05189228057861328
compact_experience,43022,SEP,SEP43022,chck_100M,r1341_s05,gutenberg,9,2.4963536262512207,3.157806158065796,-0.6614525318145752
compact_experience,43022,SEP,SEP43022,chck_100M,r1448_s03,gutenberg,15,5.856313705444336,5.0608296394348145,0.7954840660095215
compact_experience,43022,SEP,SEP43022,chck_100M,r1783_s00,gutenberg,22,7.616748809814453,7.337823867797852,0.27892494201660156
compact_experience,43022,SEP,SEP43022,chck_100M,r1959_s02,open_subtitles,10,5.516223430633545,4.395480632781982,1.1207427978515625
compact_experience,43022,SEP,SEP43022,chck_100M,r2124_s00,open_subtitles,8,5.498938083648682,5.689366817474365,-0.1904287338256836
compact_experience,43022,SEP,SEP43022,chck_100M,r2225_s04,open_subtitles,9,1.9165699481964111,0.44452133774757385,1.4720486104488373
compact_experience,43022,SEP,SEP43022,chck_100M,r2438_s03,open_subtitles,10,2.424577236175537,2.261620283126831,0.16295695304870605
compact_experience,43022,SEP,SEP43022,chck_100M,r2624_s04,simple_wiki,8,3.607647180557251,3.242319345474243,0.3653278350830078
compact_experience,43022,SEP,SEP43022,chck_100M,r2704_s02,simple_wiki,12,2.0113909244537354,0.9209562540054321,1.0904346704483032
compact_experience,43022,SEP,SEP43022,chck_100M,r2944_s05,simple_wiki,10,3.468161106109619,3.4811410903930664,-0.012979984283447266
