sentence_uid,source,row_example_id,axis_row_index,sentence_words,row_words,char_start,char_end,mode,n_target_tokens,n_masked,target_truncated_right,loss,arm,family,relation,seed,checkpoint,description
r0155_s04,bnc_spoken,920000155,155,26,160,802,952,row_context,31,8,False,3.2795920372009277,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0165_s03,bnc_spoken,920000165,165,32,160,567,740,row_context,37,4,False,1.8809852600097656,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0172_s02,bnc_spoken,920000172,172,45,160,144,389,row_context,63,10,False,3.851074695587158,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0179_s06,bnc_spoken,920000179,179,13,160,658,732,row_context,20,4,False,4.508910179138184,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0451_s00,childes,920000451,451,16,160,15,103,row_context,23,4,False,3.850304126739502,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0617_s02,childes,920000617,617,12,160,461,532,row_context,22,2,False,1.3558775186538696,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0893_s01,childes,920000893,893,9,160,290,336,row_context,14,2,False,2.297274589538574,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r1149_s01,childes,920001149,1149,13,160,232,302,row_context,20,4,False,2.7841696739196777,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r1254_s05,gutenberg,920001254,1254,9,160,356,405,row_context,15,2,False,7.959332466125488,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r1341_s05,gutenberg,920001341,1341,9,160,537,579,row_context,11,1,False,5.049468517303467,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r1448_s03,gutenberg,920001448,1448,15,160,231,321,row_context,22,1,False,6.702432632446289,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
