arm,family,relation,seed,checkpoint,n_sentence_records,n_scored_mode_rows,elapsed_sec,device,loaded_class,total_params_loaded,adapter_params_loaded
OFF43022,compact_experience,OFF,43022,chck_100M,24,48,12.68,cpu,DebertaV2ForMaskedLM,34467424,0
ALN43022,compact_experience,ALN,43022,chck_100M,24,48,8.34,cpu,DebertaV2ForMaskedLM,34467424,0
SHUF43022,compact_experience,SHUF,43022,chck_100M,24,48,10.57,cpu,DebertaV2ForMaskedLM,34467424,0
SEP43022,compact_experience,SEP,43022,chck_100M,24,48,11.55,cpu,DebertaV2ForMaskedLM,34467424,0
DUP43022,compact_experience,DUP,43022,chck_100M,24,48,15.92,cpu,DebertaV2ForMaskedLM,34467424,0
