family,seed,checkpoint,contrast,source,n_sentences,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
compact_experience,43022,chck_100M,ALN-minus-OFF,bnc_spoken,4,-0.22399985790252686,0.041418999433517456,0.2654188573360443,0.3623546598011875
compact_experience,43022,chck_100M,ALN-minus-OFF,childes,4,0.19337615370750427,0.6171978116035461,0.42382165789604187,0.3516716691857347
compact_experience,43022,chck_100M,ALN-minus-OFF,gutenberg,4,-2.1136258840560913,-0.09288954734802246,2.020736336708069,1.067293007287427
compact_experience,43022,chck_100M,ALN-minus-OFF,open_subtitles,4,-0.4168546050786972,-0.013080179691314697,0.4037744253873825,0.6033126517661525
compact_experience,43022,chck_100M,ALN-minus-OFF,simple_wiki,4,0.1442532166838646,0.3060823976993561,0.16182918101549149,0.5581639141332863
compact_experience,43022,chck_100M,ALN-minus-OFF,switchboard,4,-1.232256442308426,-1.0888456106185913,0.1434108316898346,0.22714508139986128
compact_experience,43022,chck_100M,SHUF-minus-OFF,bnc_spoken,4,-0.0013150572776794434,-0.059483110904693604,-0.05816805362701416,0.17789744738415508
compact_experience,43022,chck_100M,SHUF-minus-OFF,childes,4,0.11277139186859131,0.34977632761001587,0.23700493574142456,0.18321449192449052
compact_experience,43022,chck_100M,SHUF-minus-OFF,gutenberg,4,-0.24139750003814697,-0.0567549467086792,0.18464255332946777,0.2557446583018976
compact_experience,43022,chck_100M,SHUF-minus-OFF,open_subtitles,4,-0.058949634432792664,-0.15541911125183105,-0.09646947681903839,0.1894749231570629
compact_experience,43022,chck_100M,SHUF-minus-OFF,simple_wiki,4,0.3162034638226032,0.17790734767913818,-0.13829611614346504,0.49924998473173837
compact_experience,43022,chck_100M,SHUF-minus-OFF,switchboard,4,0.35765448212623596,-0.02643495798110962,-0.3840894401073456,0.5260998276365091
compact_experience,43022,chck_100M,ALN-minus-SHUF,bnc_spoken,4,-0.2226848006248474,0.10090211033821106,0.32358691096305847,0.3532117611053644
compact_experience,43022,chck_100M,ALN-minus-SHUF,childes,4,0.08060476183891296,0.2674214839935303,0.1868167221546173,0.4045758768402605
compact_experience,43022,chck_100M,ALN-minus-SHUF,gutenberg,4,-1.8722283840179443,-0.03613460063934326,1.836093783378601,1.1802617013559455
compact_experience,43022,chck_100M,ALN-minus-SHUF,open_subtitles,4,-0.35790497064590454,0.14233893156051636,0.5002439022064209,0.5544765795794315
compact_experience,43022,chck_100M,ALN-minus-SHUF,simple_wiki,4,-0.17195024713873863,0.1281750500202179,0.3001252971589565,0.12017555098745546
compact_experience,43022,chck_100M,ALN-minus-SHUF,switchboard,4,-1.5899109244346619,-1.0624106526374817,0.5275002717971802,0.7159285854572063
compact_experience,43022,chck_100M,DUP-minus-OFF,bnc_spoken,4,0.07027024030685425,0.3344731330871582,0.26420289278030396,0.4954126453099552
compact_experience,43022,chck_100M,DUP-minus-OFF,childes,4,0.002882242202758789,0.5836583375930786,0.5807760953903198,0.4277968833419532
compact_experience,43022,chck_100M,DUP-minus-OFF,gutenberg,4,-1.7136771082878113,0.7969701290130615,2.510647237300873,1.4790358072643528
compact_experience,43022,chck_100M,DUP-minus-OFF,open_subtitles,4,0.10518000274896622,0.01580411195755005,-0.08937589079141617,0.2695959117456036
compact_experience,43022,chck_100M,DUP-minus-OFF,simple_wiki,4,0.29377587139606476,0.09233096241950989,-0.20144490897655487,0.5520308528089066
compact_experience,43022,chck_100M,DUP-minus-OFF,switchboard,4,-1.0563646852970123,-1.2451860308647156,-0.18882134556770325,0.06883210296600642
compact_experience,43022,chck_100M,ALN-minus-DUP,bnc_spoken,4,-0.2942700982093811,-0.29305413365364075,0.0012159645557403564,0.13447028437919212
compact_experience,43022,chck_100M,ALN-minus-DUP,childes,4,0.19049391150474548,0.03353947401046753,-0.15695443749427795,0.7408071934663121
compact_experience,43022,chck_100M,ALN-minus-DUP,gutenberg,4,-0.39994877576828003,-0.889859676361084,-0.48991090059280396,0.6710844845877083
compact_experience,43022,chck_100M,ALN-minus-DUP,open_subtitles,4,-0.5220346078276634,-0.028884291648864746,0.4931503161787987,0.6286224912579521
compact_experience,43022,chck_100M,ALN-minus-DUP,simple_wiki,4,-0.14952265471220016,0.2137514352798462,0.36327408999204636,0.2514971882494246
compact_experience,43022,chck_100M,ALN-minus-DUP,switchboard,4,-0.17589175701141357,0.15634042024612427,0.33223217725753784,0.2613359579872582
compact_experience,43022,chck_100M,SEP-minus-OFF,bnc_spoken,4,0.4806619882583618,0.0007734894752502441,-0.4798884987831116,0.10478837965418145
compact_experience,43022,chck_100M,SEP-minus-OFF,childes,4,0.3325086534023285,0.29797977209091187,-0.034528881311416626,0.30719220261734753
compact_experience,43022,chck_100M,SEP-minus-OFF,gutenberg,4,-0.8370994925498962,-0.7936801314353943,0.04341936111450195,0.9658277863708217
compact_experience,43022,chck_100M,SEP-minus-OFF,open_subtitles,4,-0.22565987706184387,-0.19637632369995117,0.0292835533618927,0.14086901214350417
compact_experience,43022,chck_100M,SEP-minus-OFF,simple_wiki,4,1.069088727235794,0.45681729912757874,-0.6122714281082153,0.9915411709555565
compact_experience,43022,chck_100M,SEP-minus-OFF,switchboard,4,0.1568531095981598,-0.04057091474533081,-0.1974240243434906,0.19954802121926493
compact_experience,43022,chck_100M,ALN-minus-SEP,bnc_spoken,4,-0.7046618461608887,0.04064550995826721,0.7453073561191559,0.33083555138179127
compact_experience,43022,chck_100M,ALN-minus-SEP,childes,4,-0.13913249969482422,0.3192180395126343,0.4583505392074585,0.4498474793945087
