domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5013574660633484,799,0.36153846153846153,0.7250453720508166,1102,0.006781630509067327
social-relations,1548,0.5077519379844961,510,0.32945736434108525,0.6692913385826772,762,0.14084785035811365
physical-relations,818,0.5012224938875306,311,0.3801955990220049,0.7622549019607843,408,-0.009590644389390945
material-dynamics,770,0.5038961038961038,263,0.34155844155844156,0.6884816753926701,382,-0.17469394207000732
spatial-relations,490,0.463265306122449,209,0.42653061224489797,0.7946768060836502,263,-0.09408093988895416
physical-interactions,556,0.4748201438848921,191,0.3435251798561151,0.6541095890410958,292,0.02386571280658245
social-properties,328,0.4725609756097561,122,0.3719512195121951,0.7052023121387283,173,-0.2780967652797699
social-interactions,294,0.5102040816326531,95,0.3231292517006803,0.6597222222222222,144,0.24385754112154245
quantitative-properties,314,0.4872611464968153,82,0.2611464968152866,0.5093167701863354,161,0.27327921334654093
material-properties,170,0.4764705882352941,64,0.3764705882352941,0.7191011235955056,89,-0.21825996786355972
physical-dynamics,120,0.5,35,0.2916666666666667,0.5833333333333334,60,0.256357588339597
