arm_key,basin,data_arm,seed,checkpoint,words,predictions,group,numops_group,split_group,official_style_entity_score,micro_accuracy,micro_n,subtask_count,n_rows,macro_score_pp,n_scored,pred_option0_frac_micro,pred_not_in_options_frac_micro
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular_nonzero_ops,nonzero,regular,,0.23300406740267288,,,5,25.13163942187004,1721,0.23300406740267288,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,split_move_contents,all,move_contents,,0.2918724741805119,,,6,29.371705148810737,2227,0.2918724741805119,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents_zero_ops,zero,move_contents,,0.4728682170542636,,,1,47.286821705426355,516,0.4728682170542636,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_80M,80000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_80M/Entity/chck_80M/full_second_basin_max_view_seed43122_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents_nonzero_ops,nonzero,move_contents,,0.23728813559322035,,,5,25.78868183748761,1711,0.23728813559322035,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,all_18_subtasks,all,all,27.435210921875424,0.271976401179941,6780,18,,,,,
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_0,0,all,,0.391304347826087,,,3,39.07654409579082,1541,0.391304347826087,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_1,1,all,,0.1554160125588697,,,3,15.547479120642421,1274,0.1554160125588697,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_2,2,all,,0.20788824979457682,,,3,20.783167376486833,1217,0.20788824979457682,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_3,3,all,,0.2524193548387097,,,3,25.205135017500805,1240,0.2524193548387097,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_4,4,all,,0.3131914893617021,,,3,31.248222648435185,1175,0.3131914893617021,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,numops_5,5,all,,0.32732732732732733,,,3,32.75071727239649,333,0.32732732732732733,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,zero_ops,zero,all,,0.391304347826087,,,3,39.07654409579082,1541,0.391304347826087,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,nonzero_ops,nonzero,all,,0.2368772666539416,,,15,25.106944287092347,5239,0.2368772666539416,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,split_ambiref,all,ambiref,,0.24967602591792656,,,6,25.31169625991602,2315,0.24967602591792656,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref_zero_ops,zero,ambiref,,0.28937007874015747,,,1,28.937007874015748,508,0.28937007874015747,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref_nonzero_ops,nonzero,ambiref,,0.23851687880464859,,,5,24.586633937096074,1807,0.23851687880464859,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,split_regular,all,regular,,0.27390527256478997,,,6,27.361991580730187,2238,0.27390527256478997,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular_zero_ops,zero,regular,,0.41005802707930367,,,1,41.005802707930364,517,0.41005802707930367,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular_nonzero_ops,nonzero,regular,,0.23300406740267288,,,5,24.633229355290148,1721,0.23300406740267288,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,split_move_contents,all,move_contents,,0.29321957790749886,,,6,29.631944924980075,2227,0.29321957790749886,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents_zero_ops,zero,move_contents,,0.4728682170542636,,,1,47.286821705426355,516,0.4728682170542636,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents_nonzero_ops,nonzero,move_contents,,0.23904149620105203,,,5,26.10096956889082,1711,0.23904149620105203,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_100M,100000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_100M/Entity/chck_100M/full_second_basin_max_view_seed43122_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,all_18_subtasks,all,all,27.42396758028862,0.27300884955752214,6780,18,,,,,
