label,family_set,net,rms,centered_to_step107_mean_l2,columns,vector_json,PC1_variance_fraction_step107,PC1_centered_projection,PC1_centered_direction_cosine,PC1_top_contributions,PC2_variance_fraction_step107,PC2_centered_projection,PC2_centered_direction_cosine,PC2_top_contributions,PC3_variance_fraction_step107,PC3_centered_projection,PC3_centered_direction_cosine,PC3_top_contributions
seed43022_common10_80_VminusR,stable6_noGlobalPIQA,-0.06250000000000039,0.535581848709109,1.539183635925889,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": -0.20375000000000032, ""COMPS"": 0.28999999999999915, ""EWoK"": -0.8825000000000012, ""Entity"": 0.5587499999999999, ""Reading"": 0.4287500000000003, ""Supplement"": -0.5662500000000001}",0.42894516587954784,0.05418969023056445,0.03922137725349874,"[[""Entity"", 0.11794658934112895], [""BLiMP"", -0.07031256084253651], [""EWoK"", -0.04936991512053027], [""Reading"", 0.025565551784012038]]",0.28037617760605554,-0.6716919603512516,-0.6680917223641191,"[[""Entity"", -0.6345536706002427], [""Reading"", -0.05888819580013388], [""BLiMP"", 0.03508045152495116], [""EWoK"", -0.004829594685120333]]",0.17449611776844226,0.9316470127948671,0.6854386522651468,"[[""Entity"", 0.9215786594781871], [""Reading"", -0.04314135429911349], [""COMPS"", 0.026715352990724323], [""BLiMP"", 0.017000195789529257]]"
seed43022_common10_80_VminusR_exEntity,stable5_exEntity_noGlobalPIQA,-0.18675000000000044,0.5308268903324326,1.0354102587025737,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": -0.20375000000000032, ""COMPS"": 0.28999999999999915, ""EWoK"": -0.8825000000000012, ""Reading"": 0.4287500000000003, ""Supplement"": -0.5662500000000001}",0.42894516587954784,-0.0637568991105645,-0.06905915365081,"[[""BLiMP"", -0.07031256084253651], [""EWoK"", -0.04936991512053027], [""Reading"", 0.025565551784012038], [""COMPS"", 0.016867493476113205]]",0.28037617760605554,-0.03713828975100891,-0.10521542451577046,"[[""Reading"", -0.05888819580013388], [""BLiMP"", 0.03508045152495116], [""EWoK"", -0.004829594685120333], [""COMPS"", -0.004674121881869815]]",0.17449611776844226,0.010068353316679981,0.02750541761675606,"[[""Reading"", -0.04314135429911349], [""COMPS"", 0.026715352990724323], [""BLiMP"", 0.017000195789529257], [""EWoK"", 0.015742752851882466]]"
seed43122_common10_80_VminusR,stable6_noGlobalPIQA,0.019062500000000315,0.6576838007514202,2.3049646872129017,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": -0.8275000000000006, ""COMPS"": -0.20999999999999996, ""EWoK"": 0.9425000000000008, ""Entity"": 0.8712500000000005, ""Reading"": -0.33312500000000034, ""Supplement"": -0.32874999999999854}",0.42894516587954784,0.2378075104865228,0.11493648174181666,"[[""BLiMP"", -0.41504583665941536], [""EWoK"", 0.3330351450048371], [""Supplement"", 0.17151531265843747], [""Entity"", 0.15031068191251523]]",0.28037617760605554,-0.626648214841357,-0.41621325675655124,"[[""Entity"", -0.8086727685032957], [""BLiMP"", 0.20707531028730725], [""Supplement"", -0.04864615304367261], [""EWoK"", 0.03257904661871262]]",0.17449611776844226,1.0705972591594173,0.5259803061260462,"[[""Entity"", 1.1744563154899454], [""EWoK"", -0.10619605008439151], [""BLiMP"", 0.10034992894997083], [""Supplement"", -0.07943131717357925]]"
seed43122_common10_80_VminusR_exEntity,stable5_exEntity_noGlobalPIQA,-0.15137499999999973,0.6060051696355406,1.790643437273745,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": -0.8275000000000006, ""COMPS"": -0.20999999999999996, ""EWoK"": 0.9425000000000008, ""Reading"": -0.33312500000000034, ""Supplement"": -0.32874999999999854}",0.42894516587954784,0.08749682857400758,0.05480115667273136,"[[""BLiMP"", -0.41504583665941536], [""EWoK"", 0.3330351450048371], [""Supplement"", 0.17151531265843747], [""COMPS"", -0.0067158673541493985]]",0.28037617760605554,0.18202455366193868,0.2981884617081787,"[[""BLiMP"", 0.20707531028730725], [""Supplement"", -0.04864615304367261], [""EWoK"", 0.03257904661871262], [""Reading"", -0.010844672562754173]]",0.17449611776844226,-0.10385905633052828,-0.16406181674792686,"[[""EWoK"", -0.10619605008439151], [""BLiMP"", 0.10034992894997083], [""Supplement"", -0.07943131717357925], [""COMPS"", -0.010636836306417603]]"
dose1:V_minus_R:stable6,stable6_noGlobalPIQA,-0.06250000000000039,0.535581848709109,1.539183635925889,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": -0.20375000000000032, ""COMPS"": 0.28999999999999915, ""EWoK"": -0.8825000000000012, ""Entity"": 0.5587499999999999, ""Reading"": 0.4287500000000003, ""Supplement"": -0.5662500000000001}",0.42894516587954784,0.05418969023056445,0.03922137725349874,"[[""Entity"", 0.11794658934112895], [""BLiMP"", -0.07031256084253651], [""EWoK"", -0.04936991512053027], [""Reading"", 0.025565551784012038]]",0.28037617760605554,-0.6716919603512516,-0.6680917223641191,"[[""Entity"", -0.6345536706002427], [""Reading"", -0.05888819580013388], [""BLiMP"", 0.03508045152495116], [""EWoK"", -0.004829594685120333]]",0.17449611776844226,0.9316470127948671,0.6854386522651468,"[[""Entity"", 0.9215786594781871], [""Reading"", -0.04314135429911349], [""COMPS"", 0.026715352990724323], [""BLiMP"", 0.017000195789529257]]"
dose1p82:V_minus_R:stable6,stable6_noGlobalPIQA,0.14135416666666623,0.6939412743074876,2.114749500619374,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 0.5712499999999991, ""COMPS"": 0.017499999999998295, ""EWoK"": -1.165, ""Entity"": 1.0662499999999997, ""Reading"": 0.13187499999999996, ""Supplement"": 0.22625000000000028}",0.42894516587954784,0.9821974195242361,0.5174119639401937,"[[""Supplement"", 0.540789601044386], [""BLiMP"", 0.35801335299807396], [""Entity"", 0.1705058756770602], [""EWoK"", -0.10856412305774436]]",0.28037617760605554,-1.3012255942061297,-0.941998137418438,"[[""Entity"", -0.9173230855948002], [""BLiMP"", -0.17862057539420845], [""Supplement"", -0.15338183681139503], [""Reading"", -0.0401673807568563]]",0.17449611776844226,1.0067936840661826,0.539124643391145,"[[""Entity"", 1.3322519728412818], [""Supplement"", -0.25044778602522555], [""BLiMP"", -0.08656059491081887], [""EWoK"", 0.03461821138859327]]"
dose2p64:V_minus_R:stable6,stable6_noGlobalPIQA,0.39677083333333335,0.9911914455698421,3.1743165904555464,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": -0.20500000000000096, ""COMPS"": 0.09250000000000025, ""EWoK"": -0.6062499999999993, ""Entity"": 2.062499999999999, ""Reading"": -0.06687500000000024, ""Supplement"": 1.1037500000000016}",0.42894516587954784,1.3553852083585296,0.4756736690151887,"[[""Supplement"", 1.1246421921410905], [""Entity"", 0.27368260279463946], [""BLiMP"", -0.07100340909066688], [""Reading"", 0.01199707011891488]]",0.28037617760605554,-1.7848611654589817,-0.8608164935369067,"[[""Entity"", -1.472414769709732], [""Supplement"", -0.3189774449306324], [""BLiMP"", 0.0354251306006274], [""Reading"", -0.02763428773840942]]",0.17449611776844226,1.6237557967589844,0.5792660930495063,"[[""Entity"", 2.138425940206766], [""Supplement"", -0.5208386894798565], [""Reading"", -0.020244814464559602], [""BLiMP"", 0.017167229322917]]"
D1_BminusCold:chck_80M:stable6,stable6_noGlobalPIQA,0.7716666666666671,1.1819827973931507,3.4303774179217905,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 2.5900000000000034, ""COMPS"": 0.8299999999999983, ""EWoK"": 0.970000000000006, ""Entity"": 0.14999999999999858, ""Reading"": 0.14000000000000057, ""Supplement"": -0.05000000000000426}",0.42894516587954784,2.3051273070563534,0.7485996497566034,"[[""BLiMP"", 1.4737332737280544], [""Supplement"", 0.35698415569912445], [""EWoK"", 0.33879741303412453], [""Entity"", 0.07561435625775559]]",0.28037617760605554,-1.2626021383583477,-0.5634832281427127,"[[""BLiMP"", -0.7352772826110532], [""Entity"", -0.4068058905430489], [""Supplement"", -0.10124988610718988], [""Reading"", -0.0406797399054092]]",0.17449611776844226,-0.0016094385766994602,-0.0005313003898059448,"[[""Entity"", 0.5908146854148064], [""BLiMP"", -0.35631975133188776], [""Supplement"", -0.16532472382654415], [""EWoK"", -0.10803348410123981]]"
D1_VminusB:chck_80M:stable6,stable6_noGlobalPIQA,0.4649999999999985,1.5863532603637405,4.666824962368716,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": -0.8700000000000045, ""COMPS"": -1.1799999999999997, ""EWoK"": -0.15000000000000568, ""Entity"": 3.1000000000000014, ""Reading"": 0.0699999999999994, ""Supplement"": 1.8200000000000003}",0.42894516587954784,1.6111949386514668,0.3846123146849223,"[[""Supplement"", 1.6012056318824164], [""BLiMP"", -0.43853467709583815], [""Entity"", 0.38113139013164204], [""EWoK"", 0.10411595147773252]]",0.28037617760605554,-2.2973801267944505,-0.7536465682678536,"[[""Entity"", -2.0504901747478685], [""Supplement"", -0.45414309087411214], [""BLiMP"", 0.2187943988602945], [""Reading"", -0.03626556877941526]]",0.17449611776844226,2.199598489559735,0.5337397318835659,"[[""Entity"", 2.9779797581658043], [""Supplement"", -0.7415423756329947], [""BLiMP"", 0.10602906908515175], [""COMPS"", -0.08310008354287304]]"
D1_VminusCold:chck_80M:stable6,stable6_noGlobalPIQA,1.2366666666666657,1.7074737674900495,5.117946918243598,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 1.7199999999999989, ""COMPS"": -0.3500000000000014, ""EWoK"": 0.8200000000000003, ""Entity"": 3.25, ""Reading"": 0.20999999999999996, ""Supplement"": 1.769999999999996}",0.42894516587954784,3.271131318038343,0.7120308500193443,"[[""Supplement"", 1.5679376779737695], [""BLiMP"", 0.9929028930295598], [""Entity"", 0.3966661545659073], [""EWoK"", 0.3073668601471069]]",0.28037617760605554,-3.085490424023266,-0.9229640894288366,"[[""Entity"", -2.134067341741333], [""BLiMP"", -0.4953806459405113], [""Supplement"", -0.44470744368783], [""Reading"", -0.045093911031403026]]",0.17449611776844226,1.9810188747735848,0.4383292665450409,"[[""Entity"", 3.099361033051447], [""Supplement"", -0.7261354865472595], [""BLiMP"", -0.2400644120940769], [""EWoK"", -0.09801111673661418]]"
