family_set,family,seed43022_delta,seed43122_delta,sign_relation
stable6,BLiMP,-0.20375000000000032,-0.8275000000000006,agree
stable6,Supplement,-0.5662500000000001,-0.32874999999999854,agree
stable6,EWoK,-0.8825000000000012,0.9425000000000008,disagree
stable6,Entity,0.5587499999999999,0.8712500000000005,agree
stable6,COMPS,0.28999999999999915,-0.20999999999999996,disagree
stable6,Reading,0.4287500000000003,-0.33312500000000034,disagree
stable6,__summary__,,,agree=3;disagree=3;zero=0
stable5_exEntity,BLiMP,-0.20375000000000032,-0.8275000000000006,agree
stable5_exEntity,Supplement,-0.5662500000000001,-0.32874999999999854,agree
stable5_exEntity,EWoK,-0.8825000000000012,0.9425000000000008,disagree
stable5_exEntity,COMPS,0.28999999999999915,-0.20999999999999996,disagree
stable5_exEntity,Reading,0.4287500000000003,-0.33312500000000034,disagree
stable5_exEntity,__summary__,,,agree=2;disagree=3;zero=0
