domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,494,0.5040485829959515,151,0.305668016194332,0.6163265306122448,245,-0.00522458553314209
physical-relations,223,0.49327354260089684,72,0.32286995515695066,0.6371681415929203,113,0.004866242408752441
spatial-relations,147,0.5714285714285714,50,0.3401360544217687,0.7936507936507936,63,-0.0322880744934082
social-relations,303,0.594059405940594,48,0.15841584158415842,0.3902439024390244,123,0.07310771942138672
physical-interactions,93,0.5053763440860215,31,0.3333333333333333,0.6739130434782609,46,0.016591966152191162
quantitative-properties,46,0.45652173913043476,18,0.391304347826087,0.72,25,-0.12086217850446701
material-dynamics,65,0.5538461538461539,16,0.24615384615384617,0.5517241379310345,29,0.05659770965576172
social-interactions,38,0.39473684210526316,14,0.3684210526315789,0.6086956521739131,23,0.03851628303527832
social-properties,40,0.5,14,0.35,0.7,20,-0.012758255004882812
physical-dynamics,13,0.5384615384615384,5,0.38461538461538464,0.8333333333333334,6,-0.5507228970527649
material-properties,9,0.4444444444444444,3,0.3333333333333333,0.6,5,-0.30614450573921204
