seed,probe_family,span_len,contrast,n_checkpoints,late_mean_delta_copy_gain_a_minus_b,late_mean_copy_gain_a,late_mean_copy_gain_b,late_mean_delta_repeated_nll_a_minus_b,late_mean_delta_unrepeated_nll_a_minus_b
43022,ALL,1,CminusV,3,-0.15373354324764174,3.679505621525241,3.8332391647728823,0.05329897182379373,-0.10043457142384742
43022,ALL,1,RminusC,3,0.47030786813619035,4.149813489661431,3.679505621525241,-0.23730532069693844,0.23300254743925208
43022,ALL,1,RminusV,3,0.31657432488854864,4.149813489661431,3.8332391647728823,-0.1840063488731447,0.13256797601540468
43022,ALL,1,VminusC,3,0.15373354324764174,3.8332391647728823,3.679505621525241,-0.05329897182379373,0.10043457142384742
43022,ALL,1,VminusR,3,-0.31657432488854864,3.8332391647728823,4.149813489661431,0.1840063488731447,-0.13256797601540468
43022,ALL,4,CminusV,3,-0.03520360578235652,6.539486982475755,6.574690588258112,0.15863959089736168,0.12343598511500413
43022,ALL,4,RminusC,3,0.053160139905661374,6.5926471223814165,6.539486982475755,0.17751531401427187,0.2306754539199337
43022,ALL,4,RminusV,3,0.017956534123304852,6.5926471223814165,6.574690588258112,0.3361549049116335,0.3541114390349378
43022,ALL,4,VminusC,3,0.03520360578235652,6.574690588258112,6.539486982475755,-0.15863959089736168,-0.12343598511500413
43022,ALL,4,VminusR,3,-0.017956534123304852,6.574690588258112,6.5926471223814165,-0.3361549049116335,-0.3541114390349378
43022,ALL,8,CminusV,3,0.015089936367411147,6.875597613232288,6.860507676864877,0.08254719508338892,0.09763713145079933
43022,ALL,8,RminusC,3,0.28122331409274687,7.156820927325035,6.875597613232288,-0.15935191961260062,0.12187139448014683
43022,ALL,8,RminusV,3,0.296313250460158,7.156820927325035,6.860507676864877,-0.07680472452921168,0.21950852593094616
43022,ALL,8,VminusC,3,-0.015089936367411147,6.860507676864877,6.875597613232288,-0.08254719508338892,-0.09763713145079933
43022,ALL,8,VminusR,3,-0.296313250460158,6.860507676864877,7.156820927325035,0.07680472452921168,-0.21950852593094616
43022,ALL,ALL,CminusV,3,-0.05794907088752913,5.698196739077761,5.7561458099652905,0.09816191926818145,0.04021284838065201
43022,ALL,ALL,RminusC,3,0.2682304407115333,5.966427179789294,5.698196739077761,-0.07304730876508907,0.1951831319464444
43022,ALL,ALL,RminusV,3,0.21028136982400417,5.966427179789294,5.7561458099652905,0.025114610503092383,0.2353959803270964
43022,ALL,ALL,VminusC,3,0.05794907088752913,5.7561458099652905,5.698196739077761,-0.09816191926818145,-0.04021284838065201
43022,ALL,ALL,VminusR,3,-0.21028136982400417,5.7561458099652905,5.966427179789294,-0.025114610503092383,-0.2353959803270964
43022,actual_packet_source_repeat,1,CminusV,3,-0.27181283388431243,6.1332023484531915,6.405015182337504,0.015419813963116757,-0.25639301992119606
43022,actual_packet_source_repeat,1,RminusC,3,0.8255575680855879,6.958759916538779,6.1332023484531915,-0.48373843376841114,0.34181913431717703
43022,actual_packet_source_repeat,1,RminusV,3,0.5537447342012755,6.958759916538779,6.405015182337504,-0.4683186198052944,0.08542611439598098
43022,actual_packet_source_repeat,1,VminusC,3,0.27181283388431243,6.405015182337504,6.1332023484531915,-0.015419813963116757,0.25639301992119606
43022,actual_packet_source_repeat,1,VminusR,3,-0.5537447342012755,6.405015182337504,6.958759916538779,0.4683186198052944,-0.08542611439598098
43022,actual_packet_source_repeat,4,CminusV,3,-0.08591529973706595,5.758662341616604,5.84457764135367,0.07540223879083728,-0.010513060946228947
43022,actual_packet_source_repeat,4,RminusC,3,0.6128435009175422,6.371505842534146,5.758662341616604,-0.2564611390838184,0.35638236183372385
43022,actual_packet_source_repeat,4,RminusV,3,0.5269282011804762,6.371505842534146,5.84457764135367,-0.1810589002929811,0.3458693008874949
43022,actual_packet_source_repeat,4,VminusC,3,0.08591529973706595,5.84457764135367,5.758662341616604,-0.07540223879083728,0.010513060946228947
43022,actual_packet_source_repeat,4,VminusR,3,-0.5269282011804762,5.84457764135367,6.371505842534146,0.1810589002929811,-0.3458693008874949
43022,actual_packet_source_repeat,8,CminusV,3,-0.04531233654698911,4.88692477577021,4.932237112317199,0.07706627401786305,0.031753937470873815
43022,actual_packet_source_repeat,8,RminusC,3,0.32464622017541167,5.211570995945622,4.88692477577021,-0.24784922461530018,0.07679699556011155
43022,actual_packet_source_repeat,8,RminusV,3,0.27933388362842254,5.211570995945622,4.932237112317199,-0.17078295059743714,0.10855093303098536
43022,actual_packet_source_repeat,8,VminusC,3,0.04531233654698911,4.932237112317199,4.88692477577021,-0.07706627401786305,-0.031753937470873815
43022,actual_packet_source_repeat,8,VminusR,3,-0.27933388362842254,4.932237112317199,5.211570995945622,0.17078295059743714,-0.10855093303098536
43022,actual_packet_source_repeat,ALL,CminusV,3,-0.13434682338945572,5.592929821946668,5.727276645336124,0.055962775590605696,-0.07838404779885029
43022,actual_packet_source_repeat,ALL,RminusC,3,0.5876824297261809,6.180612251672849,5.592929821946668,-0.3293495991558432,0.2583328305703378
43022,actual_packet_source_repeat,ALL,RminusV,3,0.45333560633672515,6.180612251672849,5.727276645336124,-0.2733868235652375,0.1799487827714875
43022,actual_packet_source_repeat,ALL,VminusC,3,0.13434682338945572,5.727276645336124,5.592929821946668,-0.055962775590605696,0.07838404779885029
