arm,checkpoint,seed,role,probe_family,span_len,pair_id,mask_occurrence,source_pair_id,body_len,seq_len,repeated_nll,unrepeated_nll,copy_gain
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:11:compact:frontier_consolidation_fwcompact_medium_035424,companion,compact:frontier_consolidation_fwcompact_medium_035424,48,50,0.06149433180689812,13.515950202941895,13.454455871134996
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:120:compact:frontier_consolidation_fwcompact_medium_038221,companion,compact:frontier_consolidation_fwcompact_medium_038221,23,25,0.0651685819029808,0.25938746333122253,0.19421888142824173
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:121:compact:frontier_consolidation_fwcompact_medium_006849,companion,compact:frontier_consolidation_fwcompact_medium_006849,65,67,0.05424013361334801,13.741419792175293,13.687179658561945
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:122:compact:frontier_consolidation_fwcompact_medium_029769,companion,compact:frontier_consolidation_fwcompact_medium_029769,40,42,0.07085585594177246,6.118229866027832,6.04737401008606
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:123:compact:frontier_consolidation_fwcompact_medium_038187,companion,compact:frontier_consolidation_fwcompact_medium_038187,21,23,0.06325274705886841,9.665146827697754,9.601894080638885
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:124:compact:frontier_consolidation_fwcompact_medium_009755,companion,compact:frontier_consolidation_fwcompact_medium_009755,73,75,0.04182155430316925,8.82174015045166,8.779918596148491
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:125:compact:frontier_consolidation_fwcompact_medium_000182,companion,compact:frontier_consolidation_fwcompact_medium_000182,42,44,0.059450577944517136,2.2725229263305664,2.2130723483860493
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:126:compact:frontier_consolidation_fwcompact_medium_054982,companion,compact:frontier_consolidation_fwcompact_medium_054982,63,65,0.028225518763065338,15.569767951965332,15.541542433202267
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:127:compact:frontier_consolidation_fwcompact_medium_025376,companion,compact:frontier_consolidation_fwcompact_medium_025376,57,59,0.022779690101742744,13.8926420211792,13.869862331077456
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:128:compact:frontier_consolidation_fwcompact_medium_000312,companion,compact:frontier_consolidation_fwcompact_medium_000312,57,59,0.013073914684355259,10.826236724853516,10.81316281016916
