arm,checkpoint,elapsed_sec,pair_rows,scored_records
D_V_43022,chck_80M,5.06,4800,9600
D_V_43022,chck_90M,3.56,4800,9600
D_V_43022,chck_100M,3.56,4800,9600
D_C_43022,chck_80M,3.56,4800,9600
D_C_43022,chck_90M,3.56,4800,9600
D_C_43022,chck_100M,3.58,4800,9600
D_R_43022,chck_80M,3.58,4800,9600
D_R_43022,chck_90M,3.76,4800,9600
D_R_43022,chck_100M,3.59,4800,9600
D_V_43122,chck_80M,3.59,4800,9600
D_V_43122,chck_90M,3.58,4800,9600
D_V_43122,chck_100M,3.6,4800,9600
D_C_43122,chck_80M,3.6,4800,9600
D_C_43122,chck_90M,3.6,4800,9600
D_C_43122,chck_100M,3.59,4800,9600
D_R_43122,chck_80M,3.6,4800,9600
D_R_43122,chck_90M,3.59,4800,9600
D_R_43122,chck_100M,3.79,4800,9600
