arm,checkpoint,seed,role,probe_family,span_len,n,mean_copy_gain,sd_copy_gain,se_copy_gain,mean_repeated_nll,mean_unrepeated_nll
D_V_43022,chck_90M,43022,V,actual_packet_source_repeat,ALL,2700,5.723986590437083,4.632795233714387,0.08915818584284722,0.30427531966306426,6.028261910100148
D_V_43022,chck_90M,43022,V,random_token_span,1,700,0.5324774140971048,1.0329577306971105,0.03904213243237406,11.822294503109795,12.3547719172069
D_V_43022,chck_90M,43022,V,random_token_span,4,700,7.579283728692681,3.9488910993712523,0.14925405433446834,4.693504683537674,12.272788412230355
D_V_43022,chck_90M,43022,V,random_token_span,8,700,9.354742826959118,3.4930463976918333,0.13202474409003734,2.7749662356171756,12.129709062576294
D_V_43022,chck_90M,43022,V,random_token_span,ALL,2100,5.822167989916301,4.912890622678346,0.10720806266410597,6.430255140754882,12.252423130671183
D_V_43122,chck_100M,43122,V,ALL,1,1600,3.59474765146947,4.791200122254205,0.11978000305635512,5.439587723079176,9.034335374548645
D_V_43122,chck_100M,43122,V,ALL,4,1600,6.453017115696025,4.184289828083897,0.10460724570209742,2.2114964309922787,8.664513546688305
D_V_43122,chck_100M,43122,V,ALL,8,1600,6.7884068595188864,4.274320143251964,0.10685800358129911,1.3504657293510536,8.13887258886994
D_V_43122,chck_100M,43122,V,ALL,ALL,4800,5.612057208894794,4.650958416633239,0.0671308023458239,3.0005166278075026,8.612573836702296
D_V_43122,chck_100M,43122,V,actual_packet_source_repeat,1,900,6.009355453167599,5.180654889606783,0.17268849632022612,0.5564999052998771,6.565855358467476
D_V_43122,chck_100M,43122,V,actual_packet_source_repeat,4,900,5.6322495345999695,4.148135202930559,0.13827117343101863,0.2682293924523967,5.900478927052366
D_V_43122,chck_100M,43122,V,actual_packet_source_repeat,8,900,4.772247658228371,3.726700819776648,0.1242233606592216,0.22112724417367846,4.993374902402049
