source_block,dose_name,rho,dose_multiplier,contrast,family_set,label,n,mean_net,rms_family_delta,centered_rms_family_delta,mean_abs_delta,abs_net_over_rms,centered_over_abs_net,positive_count,negative_count,positive_sum,negative_sum,max_abs_column,max_abs_delta,columns,vector_json
dose_common10_80,dose1,0.042352,1.0,R_minus_C,stable6,dose1:R_minus_C:stable6,6,0.7123958333333339,0.8113816421825393,0.3883714020369407,0.7123958333333339,0.8780033911256077,0.5451623716266454,6,0,4.274375000000004,0,BLiMP,1.2175000000000002,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 1.2175000000000002, ""COMPS"": 0.13125000000000053, ""EWoK"": 0.9337500000000016, ""Entity"": 0.8962500000000002, ""Reading"": 0.25187499999999985, ""Supplement"": 0.8437500000000009}"
dose_common10_80,dose1,0.042352,1.0,R_minus_C,stable5_exEntity,dose1:R_minus_C:stable5_exEntity,5,0.6756250000000007,0.7933192236577915,0.41579592350094075,0.6756250000000007,0.8516432979965708,0.615424123590661,5,0,3.3781250000000034,0,BLiMP,1.2175000000000002,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": 1.2175000000000002, ""COMPS"": 0.13125000000000053, ""EWoK"": 0.9337500000000016, ""Reading"": 0.25187499999999985, ""Supplement"": 0.8437500000000009}"
dose_common10_80,dose1,0.042352,1.0,R_minus_C,stable4_exEntity_noReading,dose1:R_minus_C:stable4_exEntity_noReading,4,0.7815625000000008,0.8779715168358262,0.3999925536416272,0.7815625000000008,0.8901911793411253,0.5117857543595384,4,0,3.1262500000000033,0,BLiMP,1.2175000000000002,BLiMP;Supplement;EWoK;COMPS,"{""BLiMP"": 1.2175000000000002, ""COMPS"": 0.13125000000000053, ""EWoK"": 0.9337500000000016, ""Supplement"": 0.8437500000000009}"
dose_common10_80,dose1,0.042352,1.0,VR_growth_vs_1x,stable6,dose1:VR_growth_vs_1x:stable6,6,0.0,0.0,0.0,0.0,,,0,0,0,0,BLiMP,0.0,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 0.0, ""COMPS"": 0.0, ""EWoK"": 0.0, ""Entity"": 0.0, ""Reading"": 0.0, ""Supplement"": 0.0}"
dose_common10_80,dose1,0.042352,1.0,VR_growth_vs_1x,stable5_exEntity,dose1:VR_growth_vs_1x:stable5_exEntity,5,0.0,0.0,0.0,0.0,,,0,0,0,0,BLiMP,0.0,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": 0.0, ""COMPS"": 0.0, ""EWoK"": 0.0, ""Reading"": 0.0, ""Supplement"": 0.0}"
dose_common10_80,dose1,0.042352,1.0,VR_growth_vs_1x,stable4_exEntity_noReading,dose1:VR_growth_vs_1x:stable4_exEntity_noReading,4,0.0,0.0,0.0,0.0,,,0,0,0,0,BLiMP,0.0,BLiMP;Supplement;EWoK;COMPS,"{""BLiMP"": 0.0, ""COMPS"": 0.0, ""EWoK"": 0.0, ""Supplement"": 0.0}"
dose_common10_80,dose1,0.042352,1.0,V_minus_C,stable6,dose1:V_minus_C:stable6,6,0.6498958333333335,0.8026050116262047,0.47096731362534283,0.6498958333333335,0.8097330865359808,0.724681232698075,6,0,3.899375000000001,0,Entity,1.455,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 1.01375, ""COMPS"": 0.4212499999999997, ""EWoK"": 0.05125000000000046, ""Entity"": 1.455, ""Reading"": 0.6806250000000001, ""Supplement"": 0.27750000000000075}"
dose_common10_80,dose1,0.042352,1.0,V_minus_C,stable5_exEntity,dose1:V_minus_C:stable5_exEntity,5,0.48887500000000017,0.5912738499418015,0.33257480361566755,0.48887500000000017,0.8268165420272173,0.6802859700652875,5,0,2.444375000000001,0,BLiMP,1.01375,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": 1.01375, ""COMPS"": 0.4212499999999997, ""EWoK"": 0.05125000000000046, ""Reading"": 0.6806250000000001, ""Supplement"": 0.27750000000000075}"
dose_common10_80,dose1,0.042352,1.0,V_minus_C,stable4_exEntity_noReading,dose1:V_minus_C:stable4_exEntity_noReading,4,0.4409375000000002,0.5667392340177271,0.35604421139621106,0.4409375000000002,0.7780253660472853,0.8074709259162827,4,0,1.7637500000000008,0,BLiMP,1.01375,BLiMP;Supplement;EWoK;COMPS,"{""BLiMP"": 1.01375, ""COMPS"": 0.4212499999999997, ""EWoK"": 0.05125000000000046, ""Supplement"": 0.27750000000000075}"
dose_common10_80,dose1,0.042352,1.0,V_minus_R,stable6,dose1:V_minus_R:stable6,6,-0.06250000000000039,0.5355818487091091,0.5319226134191579,0.4883333333333335,0.11669551563526952,8.510761814706473,3,3,1.2774999999999994,-1.6525000000000016,EWoK,-0.8825000000000012,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": -0.20375000000000032, ""COMPS"": 0.28999999999999915, ""EWoK"": -0.8825000000000012, ""Entity"": 0.5587499999999999, ""Reading"": 0.4287500000000003, ""Supplement"": -0.5662500000000001}"
dose_common10_80,dose1,0.042352,1.0,V_minus_R,stable5_exEntity,dose1:V_minus_R:stable5_exEntity,5,-0.18675000000000044,0.5308268903324326,0.4968919651191799,0.4742500000000002,0.35180960761623714,2.6607334142927908,2,3,0.7187499999999994,-1.6525000000000016,EWoK,-0.8825000000000012,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": -0.20375000000000032, ""COMPS"": 0.28999999999999915, ""EWoK"": -0.8825000000000012, ""Reading"": 0.4287500000000003, ""Supplement"": -0.5662500000000001}"
