source_block,label,intervention_family,exposure,record_note,source,family_set,n,mean_net,rms_family_delta,centered_rms_family_delta,mean_abs_delta,abs_net_over_rms,centered_over_abs_net,positive_count,negative_count,positive_sum,negative_sum,max_abs_column,max_abs_delta,columns,vector_json
archive,RTD/GDES lambda1:20M:cheap7,objective,20M,weak early movement; route closed after mechanism probe,experiments/archive/frontier_consolidation/data/mlm_rtd_20M_summary/mlm_rtd_20M_summary.json,cheap7,7,0.11071428571428653,0.789495770367751,0.7816942614394352,0.6492857142857125,0.14023417207506417,7.060464296872266,3,4,2.6599999999999966,-1.884999999999991,Supplement,1.4899999999999949,BLiMP;Supplement;EWoK;Entity;COMPS;GlobalPIQA;Reading,"{""BLiMP"": 0.46999999999999886, ""COMPS"": -0.01999999999999602, ""EWoK"": -0.6599999999999966, ""Entity"": 0.7000000000000028, ""GlobalPIQA"": -0.9699999999999989, ""Reading"": -0.23499999999999943, ""Supplement"": 1.4899999999999949}"
archive,RTD/GDES lambda1:20M:stable6_noGlobalPIQA,objective,20M,weak early movement; route closed after mechanism probe,experiments/archive/frontier_consolidation/data/mlm_rtd_20M_summary/mlm_rtd_20M_summary.json,stable6_noGlobalPIQA,6,0.2908333333333341,0.7552289939702597,0.6969840784089348,0.5958333333333314,0.38509291308377247,2.3965068598587953,3,3,2.6599999999999966,-0.914999999999992,Supplement,1.4899999999999949,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 0.46999999999999886, ""COMPS"": -0.01999999999999602, ""EWoK"": -0.6599999999999966, ""Entity"": 0.7000000000000028, ""Reading"": -0.23499999999999943, ""Supplement"": 1.4899999999999949}"
archive,RTD/GDES lambda1:20M:stable5_noGlobalPIQA_noReading,objective,20M,weak early movement; route closed after mechanism probe,experiments/archive/frontier_consolidation/data/mlm_rtd_20M_summary/mlm_rtd_20M_summary.json,stable5_noGlobalPIQA_noReading,5,0.3960000000000008,0.8206095295571437,0.7187377825048549,0.6679999999999978,0.48256812251949976,1.8149944002647813,3,2,2.6599999999999966,-0.6799999999999926,Supplement,1.4899999999999949,BLiMP;Supplement;EWoK;Entity;COMPS,"{""BLiMP"": 0.46999999999999886, ""COMPS"": -0.01999999999999602, ""EWoK"": -0.6599999999999966, ""Entity"": 0.7000000000000028, ""Supplement"": 1.4899999999999949}"
archive,RTD/GDES lambda1:20M:stable5_exEntity,objective,20M,weak early movement; route closed after mechanism probe,experiments/archive/frontier_consolidation/data/mlm_rtd_20M_summary/mlm_rtd_20M_summary.json,stable5_exEntity,5,0.20900000000000035,0.765796970482383,0.7367251862126037,0.5749999999999972,0.2729182904293147,3.52500089096939,2,3,1.9599999999999937,-0.914999999999992,Supplement,1.4899999999999949,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": 0.46999999999999886, ""COMPS"": -0.01999999999999602, ""EWoK"": -0.6599999999999966, ""Reading"": -0.23499999999999943, ""Supplement"": 1.4899999999999949}"
archive,Muon wdmatched lr0.008:20M:cheap7,optimizer,20M,large early gain that reversed at 80M,experiments/archive/frontier_consolidation/data/muon_wdmatched_20M_eval/muon_wdmatched_20M_comparison.json,cheap7,7,1.3600000000000019,2.2579953182287293,1.8024824152104386,1.7714285714285718,0.6023041717672141,1.3253547170664972,5,2,10.960000000000008,-1.4399999999999942,GlobalPIQA,4.410000000000004,BLiMP;Supplement;EWoK;Entity;COMPS;GlobalPIQA;Reading,"{""BLiMP"": 1.4600000000000009, ""COMPS"": 0.19000000000000483, ""EWoK"": -0.02999999999999403, ""Entity"": 2.25, ""GlobalPIQA"": 4.410000000000004, ""Reading"": -1.4100000000000001, ""Supplement"": 2.6499999999999986}"
archive,Muon wdmatched lr0.008:20M:stable6_noGlobalPIQA,optimizer,20M,large early gain that reversed at 80M,experiments/archive/frontier_consolidation/data/muon_wdmatched_20M_eval/muon_wdmatched_20M_comparison.json,stable6_noGlobalPIQA,6,0.8516666666666683,1.645281130992512,1.4076980815817308,1.3316666666666663,0.517642031275775,1.6528744597828509,4,2,6.550000000000004,-1.4399999999999942,Supplement,2.6499999999999986,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 1.4600000000000009, ""COMPS"": 0.19000000000000483, ""EWoK"": -0.02999999999999403, ""Entity"": 2.25, ""Reading"": -1.4100000000000001, ""Supplement"": 2.6499999999999986}"
archive,Muon wdmatched lr0.008:20M:stable5_noGlobalPIQA_noReading,optimizer,20M,large early gain that reversed at 80M,experiments/archive/frontier_consolidation/data/muon_wdmatched_20M_eval/muon_wdmatched_20M_comparison.json,stable5_noGlobalPIQA_noReading,5,1.304000000000002,1.6884075337429645,1.072522260841235,1.3159999999999996,0.7723253858677209,0.822486396350639,4,1,6.550000000000004,-0.02999999999999403,Supplement,2.6499999999999986,BLiMP;Supplement;EWoK;Entity;COMPS,"{""BLiMP"": 1.4600000000000009, ""COMPS"": 0.19000000000000483, ""EWoK"": -0.02999999999999403, ""Entity"": 2.25, ""Supplement"": 2.6499999999999986}"
archive,Muon wdmatched lr0.008:20M:stable5_exEntity,optimizer,20M,large early gain that reversed at 80M,experiments/archive/frontier_consolidation/data/muon_wdmatched_20M_eval/muon_wdmatched_20M_comparison.json,stable5_exEntity,5,0.5720000000000021,1.495272550406781,1.3815411684057763,1.1479999999999997,0.38253895575384733,2.415281762947153,3,2,4.300000000000004,-1.4399999999999942,Supplement,2.6499999999999986,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": 1.4600000000000009, ""COMPS"": 0.19000000000000483, ""EWoK"": -0.02999999999999403, ""Reading"": -1.4100000000000001, ""Supplement"": 2.6499999999999986}"
archive,LAMB lr0.007:20M:cheap7,optimizer,20M,trust-ratio clamp/rank collapse failure,experiments/archive/frontier_consolidation/data/lamb_20M_eval_merged/lamb_20M_eval_merged.json,cheap7,7,-2.497857142857142,3.260986375754602,2.096363956171421,2.497857142857142,0.7659820848773495,0.8392649524277925,0,7,0,-17.484999999999992,BLiMP,-5.949999999999996,BLiMP;Supplement;EWoK;Entity;COMPS;GlobalPIQA;Reading,"{""BLiMP"": -5.949999999999996, ""COMPS"": -0.259999999999998, ""EWoK"": -1.7899999999999991, ""Entity"": -1.509999999999998, ""GlobalPIQA"": -0.9450000000000003, ""Reading"": -1.5299999999999994, ""Supplement"": -5.5}"
archive,LAMB lr0.007:20M:stable6_noGlobalPIQA,optimizer,20M,trust-ratio clamp/rank collapse failure,experiments/archive/frontier_consolidation/data/lamb_20M_eval_merged/lamb_20M_eval_merged.json,stable6_noGlobalPIQA,6,-2.7566666666666655,3.5010760250719097,2.1583146717339945,2.7566666666666655,0.7873769797986736,0.7829436535915341,0,6,0,-16.539999999999992,BLiMP,-5.949999999999996,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": -5.949999999999996, ""COMPS"": -0.259999999999998, ""EWoK"": -1.7899999999999991, ""Entity"": -1.509999999999998, ""Reading"": -1.5299999999999994, ""Supplement"": -5.5}"
