source_block,label,checkpoint,words,family_set,n,mean_net,rms_family_delta,centered_rms_family_delta,mean_abs_delta,abs_net_over_rms,centered_over_abs_net,positive_count,negative_count,positive_sum,negative_sum,max_abs_column,max_abs_delta,columns,vector_json
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_20M:cheap7,chck_20M,20000000,cheap7,7,-0.1128571428571428,1.2539452027216227,1.2488562113929265,0.9542857142857143,0.09000165446798812,11.065814531329734,5,2,2.945,-3.7349999999999994,GlobalPIQA,-2.4849999999999994,BLiMP;Supplement;EWoK;Entity;COMPS;GlobalPIQA;Reading,"{""BLiMP"": -1.25, ""COMPS"": 0.14000000000000057, ""EWoK"": 0.6499999999999986, ""Entity"": 0.03999999999999915, ""GlobalPIQA"": -2.4849999999999994, ""Reading"": 0.5150000000000001, ""Supplement"": 1.6000000000000014}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_20M:stable6_noGlobalPIQA,chck_20M,20000000,stable6_noGlobalPIQA,6,0.2825,0.897350266061141,0.8517225193688379,0.6991666666666667,0.31481575331783745,3.0149469712171255,5,1,2.945,-1.25,Supplement,1.6000000000000014,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": -1.25, ""COMPS"": 0.14000000000000057, ""EWoK"": 0.6499999999999986, ""Entity"": 0.03999999999999915, ""Reading"": 0.5150000000000001, ""Supplement"": 1.6000000000000014}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_20M:stable5_noGlobalPIQA_noReading,chck_20M,20000000,stable5_noGlobalPIQA_noReading,5,0.23599999999999993,0.9556359139337537,0.9260367163347253,0.736,0.24695597618190798,3.923884391248837,4,1,2.4299999999999997,-1.25,Supplement,1.6000000000000014,BLiMP;Supplement;EWoK;Entity;COMPS,"{""BLiMP"": -1.25, ""COMPS"": 0.14000000000000057, ""EWoK"": 0.6499999999999986, ""Entity"": 0.03999999999999915, ""Supplement"": 1.6000000000000014}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_20M:stable5_exEntity,chck_20M,20000000,stable5_exEntity,5,0.3310000000000001,0.9828351845553763,0.925420985281834,0.8310000000000002,0.33678077993284383,2.795833792392247,4,1,2.9050000000000007,-1.25,Supplement,1.6000000000000014,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": -1.25, ""COMPS"": 0.14000000000000057, ""EWoK"": 0.6499999999999986, ""Reading"": 0.5150000000000001, ""Supplement"": 1.6000000000000014}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_50M:cheap7,chck_50M,50000000,cheap7,7,-0.06285714285714192,1.3997117050103065,1.3982996233764409,0.9342857142857158,0.04490720669988187,22.24567582644371,5,2,3.0500000000000087,-3.490000000000002,Supplement,-3.3900000000000006,BLiMP;Supplement;EWoK;Entity;COMPS;GlobalPIQA;Reading,"{""BLiMP"": 0.6000000000000014, ""COMPS"": -0.10000000000000142, ""EWoK"": 0.5800000000000054, ""Entity"": 0.7200000000000024, ""GlobalPIQA"": 0.9849999999999994, ""Reading"": 0.16499999999999992, ""Supplement"": -3.3900000000000006}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_50M:stable6_noGlobalPIQA,chck_50M,50000000,stable6_noGlobalPIQA,6,-0.2374999999999988,1.457402083617742,1.4379202284317918,0.9258333333333352,0.1629612051949639,6.054400961818102,4,2,2.0650000000000093,-3.490000000000002,Supplement,-3.3900000000000006,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 0.6000000000000014, ""COMPS"": -0.10000000000000142, ""EWoK"": 0.5800000000000054, ""Entity"": 0.7200000000000024, ""Reading"": 0.16499999999999992, ""Supplement"": -3.3900000000000006}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_50M:stable5_noGlobalPIQA_noReading,chck_50M,50000000,stable5_noGlobalPIQA_noReading,5,-0.31799999999999856,1.5947977928251604,1.5627718963431623,1.0780000000000023,0.19939831960556348,4.91437703252569,3,2,1.9000000000000092,-3.490000000000002,Supplement,-3.3900000000000006,BLiMP;Supplement;EWoK;Entity;COMPS,"{""BLiMP"": 0.6000000000000014, ""COMPS"": -0.10000000000000142, ""EWoK"": 0.5800000000000054, ""Entity"": 0.7200000000000024, ""Supplement"": -3.3900000000000006}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_50M:stable5_exEntity,chck_50M,50000000,stable5_exEntity,5,-0.42899999999999905,1.5636959423110373,1.503696777944278,0.9670000000000017,0.27435001165633643,3.5051206945088142,3,2,1.3450000000000069,-3.490000000000002,Supplement,-3.3900000000000006,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": 0.6000000000000014, ""COMPS"": -0.10000000000000142, ""EWoK"": 0.5800000000000054, ""Reading"": 0.16499999999999992, ""Supplement"": -3.3900000000000006}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_70M:cheap7,chck_70M,70000000,cheap7,7,-0.6928571428571436,1.1982427609986694,0.9776168441048623,0.8985714285714289,0.5782276892536244,1.4109933832441295,2,5,0.7199999999999989,-5.570000000000004,Entity,-2.5,BLiMP;Supplement;EWoK;Entity;COMPS;GlobalPIQA;Reading,"{""BLiMP"": 0.6700000000000017, ""COMPS"": -0.20000000000000284, ""EWoK"": 0.04999999999999716, ""Entity"": -2.5, ""GlobalPIQA"": -1.4699999999999989, ""Reading"": -0.41000000000000003, ""Supplement"": -0.990000000000002}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_70M:stable6_noGlobalPIQA,chck_70M,70000000,stable6_noGlobalPIQA,6,-0.5633333333333344,1.1467054257015332,0.9987937168849677,0.803333333333334,0.4912624643671651,1.7730065980206495,2,4,0.7199999999999989,-4.100000000000005,Entity,-2.5,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 0.6700000000000017, ""COMPS"": -0.20000000000000284, ""EWoK"": 0.04999999999999716, ""Entity"": -2.5, ""Reading"": -0.41000000000000003, ""Supplement"": -0.990000000000002}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_70M:stable5_noGlobalPIQA_noReading,chck_70M,70000000,stable5_noGlobalPIQA_noReading,5,-0.5940000000000012,1.242698676268709,1.0915420285082935,0.8820000000000008,0.477991979345732,1.837612842606551,2,3,0.7199999999999989,-3.690000000000005,Entity,-2.5,BLiMP;Supplement;EWoK;Entity;COMPS,"{""BLiMP"": 0.6700000000000017, ""COMPS"": -0.20000000000000284, ""EWoK"": 0.04999999999999716, ""Entity"": -2.5, ""Supplement"": -0.990000000000002}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_70M:stable5_exEntity,chck_70M,70000000,stable5_exEntity,5,-0.1760000000000012,0.5726429952422377,0.5449256830064086,0.46400000000000075,0.30734681374309003,3.096168653445482,2,3,0.7199999999999989,-1.600000000000005,Supplement,-0.990000000000002,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": 0.6700000000000017, ""COMPS"": -0.20000000000000284, ""EWoK"": 0.04999999999999716, ""Reading"": -0.41000000000000003, ""Supplement"": -0.990000000000002}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_82M:cheap7,chck_82M,82000000,cheap7,7,0.5499999999999974,1.7207681009197189,1.6305038660312519,0.9099999999999984,0.31962470695849865,2.964552483693199,4,3,5.109999999999985,-1.2600000000000031,GlobalPIQA,4.469999999999999,BLiMP;Supplement;EWoK;Entity;COMPS;GlobalPIQA;Reading,"{""BLiMP"": 0.14999999999999147, ""COMPS"": 0.3299999999999983, ""EWoK"": 0.1599999999999966, ""Entity"": -0.620000000000001, ""GlobalPIQA"": 4.469999999999999, ""Reading"": -0.32999999999999985, ""Supplement"": -0.3100000000000023}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_82M:stable6_noGlobalPIQA,chck_82M,82000000,stable6_noGlobalPIQA,6,-0.10333333333333612,0.3527038417709674,0.3372272560488272,0.31666666666666493,0.29297478818060874,3.2634895746659818,3,3,0.6399999999999864,-1.2600000000000031,Entity,-0.620000000000001,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 0.14999999999999147, ""COMPS"": 0.3299999999999983, ""EWoK"": 0.1599999999999966, ""Entity"": -0.620000000000001, ""Reading"": -0.32999999999999985, ""Supplement"": -0.3100000000000023}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_82M:stable5_noGlobalPIQA_noReading,chck_82M,82000000,stable5_noGlobalPIQA_noReading,5,-0.05800000000000338,0.3570714214271419,0.3523293913371395,0.31399999999999795,0.16243248974725888,6.074644678226188,3,2,0.6399999999999864,-0.9300000000000033,Entity,-0.620000000000001,BLiMP;Supplement;EWoK;Entity;COMPS,"{""BLiMP"": 0.14999999999999147, ""COMPS"": 0.3299999999999983, ""EWoK"": 0.1599999999999966, ""Entity"": -0.620000000000001, ""Supplement"": -0.3100000000000023}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_82M:stable5_exEntity,chck_82M,82000000,stable5_exEntity,5,-3.1530333899354444e-15,0.2690724809414729,0.2690724809414729,0.2559999999999977,1.171815630830443e-14,,3,2,0.6399999999999864,-0.6400000000000021,Reading,-0.32999999999999985,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": 0.14999999999999147, ""COMPS"": 0.3299999999999983, ""EWoK"": 0.1599999999999966, ""Reading"": -0.32999999999999985, ""Supplement"": -0.3100000000000023}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_90M:cheap7,chck_90M,90000000,cheap7,7,0.3285714285714296,1.297847118445445,1.2555667880219175,0.8442857142857163,0.253166512373962,3.8212902244145193,3,4,4.105000000000011,-1.8050000000000037,GlobalPIQA,2.9849999999999994,BLiMP;Supplement;EWoK;Entity;COMPS;GlobalPIQA;Reading,"{""BLiMP"": 0.8500000000000085, ""COMPS"": -0.05000000000000426, ""EWoK"": -0.03999999999999915, ""Entity"": -1.4100000000000001, ""GlobalPIQA"": 2.9849999999999994, ""Reading"": -0.30500000000000005, ""Supplement"": 0.2700000000000031}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_90M:stable6_noGlobalPIQA,chck_90M,90000000,stable6_noGlobalPIQA,6,-0.11416666666666532,0.6928954947657471,0.6834252986895437,0.48750000000000254,0.16476751188180636,5.986206995820892,2,4,1.1200000000000117,-1.8050000000000037,Entity,-1.4100000000000001,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 0.8500000000000085, ""COMPS"": -0.05000000000000426, ""EWoK"": -0.03999999999999915, ""Entity"": -1.4100000000000001, ""Reading"": -0.30500000000000005, ""Supplement"": 0.2700000000000031}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_90M:stable5_noGlobalPIQA_noReading,chck_90M,90000000,stable5_noGlobalPIQA_noReading,5,-0.07599999999999837,0.7466726190238955,0.7427947226522302,0.524000000000003,0.10178490286593217,9.77361477174008,2,3,1.1200000000000117,-1.5000000000000036,Entity,-1.4100000000000001,BLiMP;Supplement;EWoK;Entity;COMPS,"{""BLiMP"": 0.8500000000000085, ""COMPS"": -0.05000000000000426, ""EWoK"": -0.03999999999999915, ""Entity"": -1.4100000000000001, ""Supplement"": 0.2700000000000031}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_90M:stable5_exEntity,chck_90M,90000000,stable5_exEntity,5,0.14500000000000163,0.42249852070747335,0.39683749822818265,0.30300000000000304,0.3431964679005249,2.7368103326081257,2,3,1.1200000000000117,-0.39500000000000346,BLiMP,0.8500000000000085,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": 0.8500000000000085, ""COMPS"": -0.05000000000000426, ""EWoK"": -0.03999999999999915, ""Reading"": -0.30500000000000005, ""Supplement"": 0.2700000000000031}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_100M:cheap7,chck_100M,100000000,cheap7,7,0.4564285714285716,1.6041965055975613,1.5378944657404487,0.9592857142857136,0.2845216093140363,3.369408845127743,4,3,4.954999999999998,-1.7599999999999973,GlobalPIQA,3.9849999999999994,BLiMP;Supplement;EWoK;Entity;COMPS;GlobalPIQA;Reading,"{""BLiMP"": 0.6299999999999955, ""COMPS"": 0.13000000000000256, ""EWoK"": -0.21999999999999886, ""Entity"": -1.2399999999999984, ""GlobalPIQA"": 3.9849999999999994, ""Reading"": -0.30000000000000004, ""Supplement"": 0.21000000000000085}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_100M:stable6_noGlobalPIQA,chck_100M,100000000,stable6_noGlobalPIQA,6,-0.1316666666666664,0.5963639828158626,0.5816475641562401,0.45499999999999935,0.22078239206360775,4.41757643662968,3,3,0.9699999999999989,-1.7599999999999973,Entity,-1.2399999999999984,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 0.6299999999999955, ""COMPS"": 0.13000000000000256, ""EWoK"": -0.21999999999999886, ""Entity"": -1.2399999999999984, ""Reading"": -0.30000000000000004, ""Supplement"": 0.21000000000000085}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_100M:stable5_noGlobalPIQA_noReading,chck_100M,100000000,stable5_noGlobalPIQA_noReading,5,-0.09799999999999968,0.6393590540533529,0.6318037670036467,0.4859999999999992,0.15327850505706897,6.4469772143229465,3,2,0.9699999999999989,-1.4599999999999973,Entity,-1.2399999999999984,BLiMP;Supplement;EWoK;Entity;COMPS,"{""BLiMP"": 0.6299999999999955, ""COMPS"": 0.13000000000000256, ""EWoK"": -0.21999999999999886, ""Entity"": -1.2399999999999984, ""Supplement"": 0.21000000000000085}"
gpt2_causal_compact_minus_repeat,gpt2_causal:chck_100M:stable5_exEntity,chck_100M,100000000,stable5_exEntity,5,0.09,0.3453404117678656,0.33340665860177265,0.29799999999999954,0.26061241874147384,3.7045184289085853,3,2,0.9699999999999989,-0.5199999999999989,BLiMP,0.6299999999999955,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": 0.6299999999999955, ""COMPS"": 0.13000000000000256, ""EWoK"": -0.21999999999999886, ""Reading"": -0.30000000000000004, ""Supplement"": 0.21000000000000085}"
roberta_compact_minus_repeat,roberta:chck_100M:cheap7,chck_100M,,cheap7,7,0.04214285714285675,1.0320247090065235,1.031163895601391,0.7907142857142856,0.040835124173941036,24.468295827829845,5,2,2.9149999999999983,-2.620000000000001,Supplement,-2.210000000000001,BLiMP;Supplement;EWoK;Entity;COMPS;GlobalPIQA;Reading,"{""BLiMP"": 0.490000000000002, ""COMPS"": 0.10999999999999943, ""EWoK"": 1.0499999999999972, ""Entity"": -0.41000000000000014, ""GlobalPIQA"": 0.9849999999999994, ""Reading"": 0.28000000000000025, ""Supplement"": -2.210000000000001}"
roberta_compact_minus_repeat,roberta:chck_100M:stable6_noGlobalPIQA,chck_100M,,stable6_noGlobalPIQA,6,-0.11500000000000037,1.039655391624231,1.0332755360180232,0.7583333333333333,0.11061357535051913,8.985004661026261,4,2,1.9299999999999988,-2.620000000000001,Supplement,-2.210000000000001,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 0.490000000000002, ""COMPS"": 0.10999999999999943, ""EWoK"": 1.0499999999999972, ""Entity"": -0.41000000000000014, ""Reading"": 0.28000000000000025, ""Supplement"": -2.210000000000001}"
roberta_compact_minus_repeat,roberta:chck_100M:stable5_noGlobalPIQA_noReading,chck_100M,,stable5_noGlobalPIQA_noReading,5,-0.19400000000000048,1.1319805652041912,1.1152327111414908,0.8539999999999999,0.1713810342362247,5.748622222378804,3,2,1.6499999999999986,-2.620000000000001,Supplement,-2.210000000000001,BLiMP;Supplement;EWoK;Entity;COMPS,"{""BLiMP"": 0.490000000000002, ""COMPS"": 0.10999999999999943, ""EWoK"": 1.0499999999999972, ""Entity"": -0.41000000000000014, ""Supplement"": -2.210000000000001}"
