source_block,contrast,checkpoint,family_set,label,n,mean_net,rms_family_delta,centered_rms_family_delta,mean_abs_delta,abs_net_over_rms,centered_over_abs_net,positive_count,negative_count,positive_sum,negative_sum,max_abs_column,max_abs_delta,columns,vector_json,official_all18_delta_pp_mean,neutral_zero_nonzero_delta_pp_mean
max_breadth_clean_reference_visible,D1_BminusCold,chck_80M,stable6,D1_BminusCold:chck_80M:stable6,6,0.7716666666666671,1.1819827973931507,0.8953289277628043,0.7883333333333352,0.6528577813218339,1.1602534701029854,5,1,4.680000000000007,-0.05000000000000426,BLiMP,2.5900000000000034,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 2.5900000000000034, ""COMPS"": 0.8299999999999983, ""EWoK"": 0.970000000000006, ""Entity"": 0.14999999999999858, ""Reading"": 0.14000000000000057, ""Supplement"": -0.05000000000000426}",,
max_breadth_clean_reference_visible,D1_BminusCold,chck_80M,stable5_exEntity,D1_BminusCold:chck_80M:stable5_exEntity,5,0.8960000000000008,1.2930583900195711,0.9323003807786436,0.9160000000000025,0.692930811876515,1.0405138178333067,4,1,4.530000000000008,-0.05000000000000426,BLiMP,2.5900000000000034,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": 2.5900000000000034, ""COMPS"": 0.8299999999999983, ""EWoK"": 0.970000000000006, ""Reading"": 0.14000000000000057, ""Supplement"": -0.05000000000000426}",,
max_breadth_clean_reference_visible,D1_BminusCold,chck_80M,stable4_exEntity_noReading,D1_BminusCold:chck_80M:stable4_exEntity_noReading,4,1.0850000000000009,1.4439875345722368,0.9528247477894374,1.110000000000003,0.7513915279894839,0.878179491050172,3,1,4.390000000000008,-0.05000000000000426,BLiMP,2.5900000000000034,BLiMP;Supplement;EWoK;COMPS,"{""BLiMP"": 2.5900000000000034, ""COMPS"": 0.8299999999999983, ""EWoK"": 0.970000000000006, ""Supplement"": -0.05000000000000426}",,
max_breadth_clean_reference_visible,D1_BminusR,chck_80M,stable6,D1_BminusR:chck_80M:stable6,6,0.557500000000001,1.0247377713346955,0.8598146602611505,0.9658333333333324,0.5440416227400997,1.542268448898922,4,2,4.57,-1.2249999999999943,Entity,1.3999999999999986,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 1.1400000000000006, ""COMPS"": 1.3100000000000023, ""EWoK"": -0.779999999999994, ""Entity"": 1.3999999999999986, ""Reading"": -0.4450000000000003, ""Supplement"": 0.7199999999999989}",,
max_breadth_clean_reference_visible,D1_BminusR,chck_80M,stable5_exEntity,D1_BminusR:chck_80M:stable5_exEntity,5,0.38900000000000146,0.9317215249204021,0.8466309703761127,0.8789999999999992,0.4175067223366275,2.1764292297586363,3,2,3.1700000000000017,-1.2249999999999943,COMPS,1.3100000000000023,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": 1.1400000000000006, ""COMPS"": 1.3100000000000023, ""EWoK"": -0.779999999999994, ""Reading"": -0.4450000000000003, ""Supplement"": 0.7199999999999989}",,
max_breadth_clean_reference_visible,D1_BminusR,chck_80M,stable4_exEntity_noReading,D1_BminusR:chck_80M:stable4_exEntity_noReading,4,0.5975000000000019,1.0176566218523806,0.8237831935649069,0.9874999999999989,0.5871332109178514,1.3787166419496306,3,1,3.1700000000000017,-0.779999999999994,COMPS,1.3100000000000023,BLiMP;Supplement;EWoK;COMPS,"{""BLiMP"": 1.1400000000000006, ""COMPS"": 1.3100000000000023, ""EWoK"": -0.779999999999994, ""Supplement"": 0.7199999999999989}",,
max_breadth_clean_reference_visible,D1_RminusCold,chck_10M,stable6,D1_RminusCold:chck_10M:stable6,6,0.4633333333333347,1.4753756583776667,1.4007339346055532,1.306666666666666,0.314044311835007,3.0231667653357173,4,2,5.310000000000002,-2.529999999999994,BLiMP,2.3100000000000023,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 2.3100000000000023, ""COMPS"": 0.17999999999999972, ""EWoK"": -1.4299999999999997, ""Entity"": 1.8900000000000006, ""Reading"": 0.9299999999999997, ""Supplement"": -1.0999999999999943}",,
max_breadth_clean_reference_visible,D1_RminusCold,chck_10M,stable5_exEntity,D1_RminusCold:chck_10M:stable5_exEntity,5,0.17800000000000155,1.3775558064920634,1.3660073206246,1.189999999999999,0.12921436587986757,7.674198430475214,3,2,3.4200000000000017,-2.529999999999994,BLiMP,2.3100000000000023,BLiMP;Supplement;EWoK;COMPS;Reading,"{""BLiMP"": 2.3100000000000023, ""COMPS"": 0.17999999999999972, ""EWoK"": -1.4299999999999997, ""Reading"": 0.9299999999999997, ""Supplement"": -1.0999999999999943}",,
max_breadth_clean_reference_visible,D1_RminusCold,chck_10M,stable4_exEntity_noReading,D1_RminusCold:chck_10M:stable4_exEntity_noReading,4,-0.00999999999999801,1.4682813081967634,1.468247254381904,1.254999999999999,0.006810683990984865,146.82472543821962,2,2,2.490000000000002,-2.529999999999994,BLiMP,2.3100000000000023,BLiMP;Supplement;EWoK;COMPS,"{""BLiMP"": 2.3100000000000023, ""COMPS"": 0.17999999999999972, ""EWoK"": -1.4299999999999997, ""Supplement"": -1.0999999999999943}",,
max_breadth_clean_reference_visible,D1_RminusCold,chck_20M,stable6,D1_RminusCold:chck_20M:stable6,6,0.6724999999999989,1.0295974132316612,0.7796246425898361,0.7958333333333313,0.6531679191861812,1.159293148832472,5,1,4.4049999999999905,-0.36999999999999744,BLiMP,2.1299999999999955,BLiMP;Supplement;EWoK;Entity;COMPS;Reading,"{""BLiMP"": 2.1299999999999955, ""COMPS"": -0.36999999999999744, ""EWoK"": 1.019999999999996, ""Entity"": 0.21000000000000085, ""Reading"": 0.3550000000000004, ""Supplement"": 0.6899999999999977}",,
