family,rank_abs,feature,feature_group,contribution_to_profile_js_child_minus_adult,sign,child_js_contribution,adult_js_contribution
BLiMP,1,punct:transcript_or_markup,punctuation,0.01559117155774248,positive_child_block_farther,0.015715484887741146,0.00012431332999866663
BLiMP,2,open_shape:upper,open_class_abstract_shape,0.01537926122401506,positive_child_block_farther,0.017053715737123026,0.0016744545131079658
BLiMP,3,format:speaker_marker,transcript_or_markup_format,0.015262750855382692,positive_child_block_farther,0.015262750855382692,0.0
BLiMP,4,open_len:8-11,open_class_abstract_shape,0.00786339977012407,positive_child_block_farther,0.009206081581773405,0.0013426818116493346
BLiMP,5,open_len:3-4,open_class_abstract_shape,0.0072342790540014775,positive_child_block_farther,0.008291061994541316,0.0010567829405398388
BLiMP,6,punct:clause_punct,punctuation,0.005587251684335236,positive_child_block_farther,0.02135681197243276,0.015769560288097523
BLiMP,7,punct:quote,punctuation,-0.005519389363858446,negative_adult_block_farther,0.0003076662815442464,0.0058270556454026925
BLiMP,8,punct:other_punct,punctuation,-0.004372213631226379,negative_adult_block_farther,0.0008666263467618744,0.005238839977988253
BLiMP,9,open_has_apostrophe,other,-0.004311123953745526,negative_adult_block_farther,0.00033022306460891494,0.004641347018354441
BLiMP,10,sent_len:6-10,sentence_length,-0.004281559178067069,negative_adult_block_farther,0.0012673608090998131,0.005548919987166882
BLiMP,11,open_len:5-7,open_class_abstract_shape,0.0041878528636252205,positive_child_block_farther,0.005512234066943792,0.0013243812033185715
BLiMP,12,open_suffix:ed,open_class_abstract_shape,0.004071300196900264,positive_child_block_farther,0.004545989938299806,0.00047468974139954195
BLiMP,13,func_cat:conjunction,function_category,-0.0037217288343820605,negative_adult_block_farther,0.0014376101076673635,0.005159338942049424
BLiMP,14,func_word:you,function_word_identity,0.0036571067396184978,positive_child_block_farther,0.005037629290240727,0.0013805225506222296
BLiMP,15,open_shape:title,open_class_abstract_shape,0.003535116603389377,positive_child_block_farther,0.003544920209006126,9.803605616748767e-06
BLiMP,16,tok:number,number_token,-0.003459202175293644,negative_adult_block_farther,0.0007401941960094617,0.004199396371303106
BLiMP,17,func_cat:discourse,function_category,0.003198547976092595,positive_child_block_farther,0.0032375352014017236,3.8987225309128354e-05
BLiMP,18,punct:bracket,punctuation,0.003114150960101648,positive_child_block_farther,0.005010896124036859,0.0018967451639352111
