family,feature_group,contribution_to_profile_js_child_minus_adult,abs_feature_contribution_mass,fraction_of_signed_total,signed_total,sign
BLiMP,function_category,0.002443416193872198,0.014718656024016442,0.042462220874875535,0.05754329715989826,positive_child_block_farther
BLiMP,function_word_identity,-0.000829972917242866,0.04119378804604056,-0.01442345083105998,0.05754329715989826,negative_adult_block_farther
BLiMP,number_token,-0.003459202175293644,0.003459202175293644,-0.060114771763623426,0.05754329715989826,negative_adult_block_farther
BLiMP,open_class_abstract_shape,0.04489183883531493,0.047359198830954435,0.780140190969104,0.05754329715989826,positive_child_block_farther
BLiMP,other,-0.004311123953745526,0.004311123953745526,-0.07491965470393543,0.05754329715989826,negative_adult_block_farther
BLiMP,punctuation,0.010458310506404101,0.03989136992134244,0.18174680671048624,0.05754329715989826,positive_child_block_farther
BLiMP,sentence_length,-0.005934110496360132,0.007429037267577027,-0.10312426971069698,0.05754329715989826,negative_adult_block_farther
BLiMP,token_length,-0.003459202175293644,0.003459202175293644,-0.060114771763623426,0.05754329715989826,negative_adult_block_farther
BLiMP,transcript_or_markup_format,0.017743343342242847,0.017743343342242847,0.3083477002184735,0.05754329715989826,positive_child_block_farther
Supplement,function_category,0.007979298070494648,0.01351211907963069,0.10363470597480284,0.07699445852082303,positive_child_block_farther
Supplement,function_word_identity,0.012321948686227732,0.03825594788842563,0.1600368250254696,0.07699445852082303,positive_child_block_farther
Supplement,number_token,-0.003075983117725629,0.003075983117725629,-0.03995070784079525,0.07699445852082303,negative_adult_block_farther
Supplement,open_class_abstract_shape,0.02184453726692733,0.03975004350132797,0.2837157074235351,0.07699445852082303,positive_child_block_farther
Supplement,other,0.0008430795994407419,0.0008430795994407419,0.010949873739455319,0.07699445852082303,positive_child_block_farther
Supplement,punctuation,0.011361624452808496,0.04996484286378454,0.1475641841124938,0.07699445852082303,positive_child_block_farther
Supplement,sentence_length,0.011163217244291757,0.013185591248906958,0.14498728166615632,0.07699445852082303,positive_child_block_farther
Supplement,token_length,-0.003186607023884895,0.003186607023884895,-0.041387485347703076,0.07699445852082303,negative_adult_block_farther
Supplement,transcript_or_markup_format,0.017743343342242847,0.017743343342242847,0.23044961524658542,0.07699445852082303,positive_child_block_farther
EWoK,function_category,0.00870191686303336,0.012635193757617732,0.17719409593203628,0.0491095192379944,positive_child_block_farther
EWoK,function_word_identity,0.004839803527713239,0.04797064401261978,0.09855123004276621,0.0491095192379944,positive_child_block_farther
EWoK,number_token,-0.003279086033177483,0.003279086033177483,-0.06677088442439004,0.0491095192379944,negative_adult_block_farther
EWoK,open_class_abstract_shape,0.031926348229840695,0.03708249423053493,0.6501050860449137,0.0491095192379944,positive_child_block_farther
EWoK,other,0.0019092603181820392,0.0019092603181820392,0.03887760148759323,0.0491095192379944,positive_child_block_farther
EWoK,punctuation,0.01535164547889152,0.04537528681400089,0.3126001988432105,0.0491095192379944,positive_child_block_farther
EWoK,sentence_length,-0.024721801880022345,0.024721801880022345,-0.5034014232600329,0.0491095192379944,negative_adult_block_farther
EWoK,token_length,-0.003361910608709478,0.003361910608709478,-0.06845741234844913,0.0491095192379944,negative_adult_block_farther
EWoK,transcript_or_markup_format,0.017743343342242847,0.017743343342242847,0.361301507682352,0.0491095192379944,positive_child_block_farther
COMPS,function_category,0.006128911493544055,0.033909118898774626,0.6783014682851306,0.009035674814384609,positive_child_block_farther
COMPS,function_word_identity,-0.007319848393045802,0.05811671105721053,-0.8101053372784901,0.009035674814384609,negative_adult_block_farther
COMPS,number_token,-0.003453216854608861,0.003453216854608861,-0.38217586683303506,0.009035674814384609,negative_adult_block_farther
COMPS,open_class_abstract_shape,0.010442857172569918,0.035747536565367874,1.155736277266763,0.009035674814384609,positive_child_block_farther
COMPS,other,0.005851997247514952,0.005851997247514952,0.6476546984845772,0.009035674814384609,positive_child_block_farther
COMPS,punctuation,0.012624532370774544,0.04298661455062559,1.3971875515790528,0.009035674814384609,positive_child_block_farther
COMPS,sentence_length,-0.029530019714098327,0.03652315612160476,-3.2681587508093077,0.009035674814384609,negative_adult_block_farther
COMPS,token_length,-0.0034528818505087265,0.0034528818505087265,-0.38213879111849064,0.009035674814384609,negative_adult_block_farther
COMPS,transcript_or_markup_format,0.017743343342242847,0.017743343342242847,1.9636987504237988,0.009035674814384609,positive_child_block_farther
Reading,function_category,0.007239057054819814,0.01066740788666012,0.1045649781562098,0.06923022586018594,positive_child_block_farther
Reading,function_word_identity,0.015012885496083733,0.027310657098764665,0.2168544925218508,0.06923022586018594,positive_child_block_farther
Reading,number_token,-0.003459202175293644,0.003459202175293644,-0.04996664581565404,0.06923022586018594,negative_adult_block_farther
Reading,open_class_abstract_shape,0.013327271549359216,0.034227102183024403,0.19250654441420337,0.06923022586018594,positive_child_block_farther
Reading,other,0.0014391826395027463,0.0014391826395027463,0.020788356842995875,0.06923022586018594,positive_child_block_farther
Reading,punctuation,0.015156619474054986,0.0449860096409218,0.21893066627667185,0.06923022586018594,positive_child_block_farther
Reading,sentence_length,0.006230270654709881,0.018162283755228076,0.08999350467658791,0.06923022586018594,positive_child_block_farther
Reading,token_length,-0.003459202175293644,0.003459202175293644,-0.04996664581565404,0.06923022586018594,negative_adult_block_farther
Reading,transcript_or_markup_format,0.017743343342242847,0.017743343342242847,0.2562947487427884,0.06923022586018594,positive_child_block_farther
Entity,function_category,0.015323785094746212,0.024693850337516844,0.18812388300921032,0.08145581969513131,positive_child_block_farther
Entity,function_word_identity,0.012163203138521844,0.06531081839078863,0.14932270258952227,0.08145581969513131,positive_child_block_farther
Entity,number_token,0.009412757637584021,0.009412757637584021,0.1155566007783558,0.08145581969513131,positive_child_block_farther
Entity,open_class_abstract_shape,0.008891816058651133,0.04679089083127863,0.10916121269089143,0.08145581969513131,positive_child_block_farther
Entity,other,0.005860999583872592,0.005860999583872592,0.07195311035858264,0.08145581969513131,positive_child_block_farther
Entity,punctuation,0.013406776854064103,0.0417912458953318,0.16458955178699697,0.08145581969513131,positive_child_block_farther
Entity,sentence_length,-0.002631895371586664,0.00856487685555309,-0.03231071004425697,0.08145581969513131,negative_adult_block_farther
Entity,token_length,0.0012850333570352313,0.0061710323643899365,0.015775832369556757,0.08145581969513131,positive_child_block_farther
Entity,transcript_or_markup_format,0.017743343342242847,0.017743343342242847,0.21782781646114086,0.08145581969513131,positive_child_block_farther
