arm,word,z_mean_subword,child_aoa,control_model_aoa_log10_step,arm_model_aoa_log10_step,delta_model_aoa_log10_step,beneficial_for_childes_enriched_words_if_negative,control_n_points,arm_n_points
schedule,animal,1.380815020153746,24.330089945071023,6.847640268862069,6.909343570376761,0.061703301514691944,0.061703301514691944,12,12
schedule,arm,0.8282679726299127,21.99539913263884,6.8977771461450175,7.3819359679539485,0.484158821808931,0.484158821808931,12,12
schedule,aunt,1.1225761885772838,25.525525066233225,7.138846249987527,7.078749829444379,-0.060096420543147566,-0.060096420543147566,12,12
schedule,bad,1.1735486898611127,25.24613058723793,6.767849409093061,6.788095488479409,0.02024607938634837,0.02024607938634837,12,12
schedule,bed,1.3251556149173058,20.670831293608018,6.847240852363097,6.71378212588419,-0.13345872647890644,-0.13345872647890644,12,12
schedule,better,1.29254573049085,27.4836269032841,6.177050149373433,6.452739580196047,0.2756894308226139,0.2756894308226139,12,12
schedule,bird,1.5964929667754861,18.06848056468084,6.783664071918494,6.6435462207600136,-0.14011785115848063,-0.14011785115848063,12,12
schedule,black,1.3225156103531364,25.804687037784696,6.791021696106416,6.45544989254271,-0.3355718035637061,-0.3355718035637061,12,12
schedule,block,1.298007333179545,21.984059781669306,7.299873438178085,7.464605755594526,0.16473231741644145,0.16473231741644145,12,12
schedule,bottom,1.3979873239356408,22.21268312207221,6.868772978828494,6.873262103083175,0.00448912425468162,0.00448912425468162,12,12
schedule,boy,1.2605058277387915,23.9923879977722,6.948168732459629,6.0447582282929995,-0.9034105041666294,-0.9034105041666294,12,12
schedule,break,1.2624187077865534,25.062903657705817,6.877870534723769,6.469195624521304,-0.40867491020246494,-0.40867491020246494,12,12
schedule,breakfast,1.3770021822723506,24.161838030910175,6.8826596419028965,6.832936345118215,-0.04972329678468146,-0.04972329678468146,12,12
schedule,bring,1.3460162966841402,26.76659041051839,6.786593827713403,6.350842397050344,-0.43575143066305877,-0.43575143066305877,12,12
schedule,brother,1.1140555538550911,27.4731814681999,6.904306659015062,7.074867444916107,0.17056078590104473,0.17056078590104473,12,12
schedule,brown,1.2383096592769487,26.727189326690834,6.878577011297193,6.863281747658839,-0.015295263638354761,-0.015295263638354761,12,12
schedule,build,1.372821229790708,26.870721478274586,6.861371600453652,6.999569221426836,0.1381976209731839,0.1381976209731839,12,12
schedule,butter,1.600373599855386,25.064198626684203,7.08488538028742,6.46892596466523,-0.6159594156221901,-0.6159594156221901,12,12
schedule,buy,1.3834028342837736,27.89149822311601,6.843002116480016,6.952143180686469,0.10914106420645275,0.10914106420645275,12,12
schedule,car,0.9054608714661728,17.496796781553705,6.804825635156404,6.2592672901382755,-0.5455583450181285,-0.5455583450181285,12,12
schedule,careful,1.5583530750166226,26.38063961823633,6.825420552109719,7.2954857778687,0.47006522575898124,0.47006522575898124,12,12
schedule,carry,1.050293348686746,25.336988814569168,6.888600415674404,7.001424177055212,0.11282376138080874,0.11282376138080874,12,12
schedule,cat,1.4470361335700284,18.228507346753123,6.912722798085997,6.022030958095695,-0.8906918399903017,-0.8906918399903017,12,12
schedule,catch,1.2310264887573292,25.372205870213676,6.949783024753164,6.872493278639338,-0.07728974611382622,-0.07728974611382622,12,12
schedule,cold,1.2153338584589553,21.557924255355925,6.937477732324332,6.838410670693111,-0.09906706163122081,-0.09906706163122081,12,12
schedule,comb,0.42133121915036587,25.991290549889374,7.007763559370102,7.369641013108691,0.3618774537385887,0.3618774537385887,12,12
schedule,corn,0.6660211305823711,24.30521021007631,7.2950122589932525,7.354248352036616,0.059236093043363525,0.059236093043363525,12,12
schedule,cover,1.1464974956250897,29.120587673006845,6.9959063286522625,7.076743239064608,0.0808369104123452,0.0808369104123452,12,12
schedule,cry,1.111233041443154,23.357992706748902,6.832514034215693,6.899832920647806,0.06731888643211281,0.06731888643211281,12,12
schedule,cut,1.4486342362331184,26.48415491454615,7.090003207160449,6.176003350081795,-0.9139998570786538,-0.9139998570786538,12,12
schedule,day,0.9934624309444715,28.57030413820359,6.785232320380633,6.835696249109501,0.050463928728867735,0.050463928728867735,12,12
schedule,doctor,1.0748544109078677,25.058857514368704,6.843889458002399,6.91205299744843,0.06816353944603115,0.06816353944603115,12,12
schedule,door,1.2763912981680803,21.094330119099542,6.772640001685516,6.8325602787660245,0.05992027708050873,0.05992027708050873,12,12
schedule,ear,0.7745953470675286,18.557045885439496,6.865182449831633,6.94135013960896,0.07616768977732669,0.07616768977732669,12,12
schedule,eat,1.7239221677599366,20.38286318166485,7.067938649008319,6.012197182986657,-1.0557414660216615,-1.0557414660216615,12,12
schedule,eye,1.2713270902944613,17.56441529060678,6.891881297002771,6.867582430690367,-0.024298866312404854,-0.024298866312404854,12,12
schedule,face,0.9034406602660983,23.708999528999072,6.28000553416274,6.791187573930938,0.5111820397681983,0.5111820397681983,12,12
schedule,fast,1.1600423067961707,25.50491253156236,6.679997035144916,6.893843844629131,0.21384680948421497,0.21384680948421497,12,12
schedule,feed,1.4481526413613117,27.19892571562119,7.029843302177482,7.280065702345503,0.25022240016802133,0.25022240016802133,12,12
schedule,find,1.1171661944305058,25.64249106636554,6.757912365164002,6.851745289250208,0.0938329240862057,0.0938329240862057,12,12
schedule,finger,1.3584148025542493,21.849311819029033,6.8031676373579675,6.981098239072266,0.17793060171429875,0.17793060171429875,12,12
schedule,first,1.014353550610869,28.986200167021508,6.219731679655043,6.756759316288848,0.5370276366338054,0.5370276366338054,12,12
schedule,fix,1.572417582593427,25.022576246429,7.007426441502832,7.454980026561286,0.4475535850584542,0.4475535850584542,12,12
schedule,flag,0.6051533588348051,27.41475309249198,7.036336652190529,7.093604124733674,0.05726747254314546,0.05726747254314546,12,12
schedule,food,1.5308628851629111,23.482138731792105,6.935158284633596,6.240721953666168,-0.6944363309674282,-0.6944363309674282,12,12
schedule,friend,1.0143774698986565,26.671894161677375,6.810561892631578,6.803533606377741,-0.007028286253837557,-0.007028286253837557,12,12
