word,token_ids,z_mean_subword,n_subword_pieces
airplane,4094,1.81631058745617,1
alligator,13313,1.8114010032763581,1
animal,3174,1.380815020153746,1
ankle,13302 242,0.28236719323165116,2
ant,2786,0.1847503524189608,1
apple,3083,1.6708876364229994,1
applesauce,14999,1.852738484589476,1
arm,2419,0.8282679726299127,1
asleep,4415,1.1021547885098009,1
aunt,6068,1.1225761885772838,1
awake,7303,0.943123482971127,1
baby,1057,1.6252120650300352,1
babysitter,3656 896 9137,0.4248084685224279,3
backyard,555 10173,0.7659070265973752,2
bad,1258,1.1735486898611127,1
ball,1268,1.4776152928047397,1
balloon,6398,1.8016977956326647,1
banana,10123,1.8069604654628337,1
basement,12522,1.1984274778574724,1
basket,4204,1.526335313782794,1
bat,1980,0.6059803919561172,1
bath,2547,1.607876078838263,1
bathroom,5073,1.57188129803686,1
bathtub,13003,1.7763442431305954,1
beach,3641,1.522399113983389,1
beads,11198,1.5561394910952608,1
beans,6804,1.6791913843658117,1
bear,1772,1.6913587383760829,1
bed,1260,1.3251556149173058,1
bedroom,5618,1.0037214761361164,1
bee,8638,1.106912466016137,1
belt,8563,1.355600087550549,1
bench,10971,1.2186931927249112,1
better,985,1.29254573049085,1
bib,12406,0.06786771519942753,1
bicycle,6569,1.6565865442664436,1
big,786,1.5819181203952595,1
bird,1845,1.5964929667754861,1
bite,3987,1.6981893588330443,1
black,1134,1.3225156103531364,1
blanket,5103,1.7239558484229154,1
block,2130,1.298007333179545,1
blow,3837,1.1444777538393898,1
blue,1731,1.452534672851563,1
boat,2667,1.3653292509204598,1
book,867,1.5555761841522697,1
boots,5342,1.5664699193918823,1
bottle,3589,1.673400085149342,1
bottom,3372,1.3979873239356408,1
bowl,5126,1.6923346935235966,1
box,1723,1.5570017757454278,1
boy,801,1.2605058277387915,1
bread,3179,1.3948784675035937,1
break,1574,1.2624187077865534,1
breakfast,3367,1.3770021822723506,1
bring,1457,1.3460162966841402,1
broken,2913,1.3856147844432507,1
broom,10709,1.7031828085741954,1
brother,1538,1.1140555538550911,1
brown,3131,1.2383096592769487,1
brush,7113,1.5358886945044614,1
bubbles,11585,1.7719592301921188,1
bucket,14650,1.1557978610468889,1
bug,7152,1.5333582590974193,1
build,1495,1.372821229790708,1
bump,5335,1.6958072418074313,1
bunny,6149,1.7828725132400398,1
bus,1106,1.4772418575655186,1
butter,2097,1.600373599855386,1
butterfly,3618,1.7626122832496045,1
buttocks,389 88 5685,0.2536975405550375,3
button,5321,1.5551934571362749,1
buy,2168,1.3834028342837736,1
cake,2640,1.7344421055076167,1
camera,4992,1.2652754570442966,1
camping,15633,1.149351411763577,1
candy,4964,1.6647398586274693,1
car,719,0.9054608714661728,1
careful,3036,1.5583530750166226,1
carrots,12583,1.745354786319771,1
carry,3440,1.050293348686746,1
cat,1346,1.4470361335700284,1
catch,2982,1.2310264887573292,1
cereal,6798,1.829098146027782,1
chair,1875,1.5582454436931725,1
chalk,13577,1.4952803807712092,1
chase,7114,1.0968561996905577,1
cheek,8861,1.148592017363571,1
cheerios,4749 6642,0.2804294827870363,2
cheese,2995,1.794711651468339,1
child,752,0.6212955962692001,1
chin,9679,0.46942502796890234,1
chocolate,3547,1.7522263152103055,1
church,3189,0.7142101937132616,1
circus,5412,1.6035670550153986,1
climb,3520,1.5192599078608253,1
clock,3801,1.2978843699494234,1
close,1613,1.1944583768589847,1
closet,7259,1.6601537560871684,1
cloud,3425,0.68520992913016,1
clown,6537,1.6978849182101996,1
coat,4690,1.227788803717347,1
coffee,2405,1.641129384994618,1
coke,863 282,-0.16536203390211635,2
cold,2109,1.2153338584589553,1
comb,3027,0.42133121915036587,1
cook,1978,1.3006396064718562,1
cookie,6296,1.7999364977927554,1
corn,2268,0.6660211305823711,1
couch,5033,1.7496894960858156,1
country,1497,0.1290939985572301,1
cover,2825,1.1464974956250897,1
cow,3203,1.3879553174948527,1
cowboy,6815,1.7243190198791343,1
cracker,15779,1.649142944514497,1
crayon,9446,1.8438092895870437,1
crib,10003,1.7925086757632083,1
cry,2762,1.111233041443154,1
cup,1902,1.474872598212581,1
cut,1554,1.4486342362331184,1
cute,4571,1.6821306916814887,1
daddy,2490,1.7316690867037376,1
dance,3356,1.2517538031268391,1
dark,1949,0.8909553427142671,1
day,633,0.9934624309444715,1
deer,8476,0.9847132651103414,1
diaper,15092,1.7632897140039698,1
dinner,2486,1.3292949883527851,1
dirty,4796,1.590829659276021,1
dish,5707,1.268893795152244,1
doctor,2501,1.0748544109078677,1
dog,1124,1.6180610873851695,1
doll,1409,1.753890345624276,1
donkey,9343,1.6607244455367625,1
donut,15731,1.7700838867244921,1
door,1234,1.2763912981680803,1
downtown,16088,1.1465823218630165,1
draw,2217,1.5253445293679198,1
drawer,8967,1.5415909597204338,1
drive,2909,1.3355876880010307,1
drop,3542,1.3375655074955084,1
dryer,3677 202,0.510698905216701,2
duck,3792,1.646175777351448,1
dump,6675,1.535680274184173,1
ear,918,0.7745953470675286,1
eat,780,1.7239221677599366,1
egg,1750,1.6870153497194438,1
elephant,4048,1.7470748940449137,1
empty,4857,1.1866663123601975,1
eye,2265,1.2713270902944613,1
face,1266,0.9034406602660983,1
fall,1247,1.5297452050883507,1
farm,3503,1.0453679248819578,1
fast,2250,1.1600423067961707,1
feed,3392,1.4481526413613117,1
find,889,1.1171661944305058,1
fine,1688,0.9428028922890983,1
finger,3481,1.3584148025542493,1
finish,2873,1.6208983059178714,1
fireman,11699,1.7380720894977726,1
firetruck,1398 88 9761,0.2528267905879065,3
first,643,1.014353550610869,1
fit,2771,1.3796200330181352,1
fix,2244,1.572417582593427,1
flag,5329,0.6051533588348051,1
flower,4914,1.2624767283398515,1
food,1269,1.5308628851629111,1
foot,1597,1.08249679883916,1
fork,6165,1.7404071044491431,1
friend,946,1.0143774698986565,1
frog,2041,0.6630581472474686,1
full,1630,1.0228515026185774,1
game,1636,1.1677990420124096,1
garage,7644,1.556741632697401,1
garbage,15907,1.4313004857436562,1
garden,3195,0.9879242779383532,1
gentle,2543,0.3196094245443496,1
get,436,1.4126645789070769,1
giraffe,7129,1.8344045897663528,1
girl,824,1.194740432102286,1
give,877,1.2962414813865564,1
glass,2587,1.3598438680134783,1
glasses,5835,1.5637853078780952,1
gloves,9441,1.3975039890123677,1
glue,14506,1.7583861658543796,1
go,326,1.4224040781648326,1
good,550,1.3212978447543784,1
goose,12412,1.148537350355425,1
grandma,8379,1.5118997625314297,1
grandpa,11630,1.492982044496409,1
grapes,13320,1.503755973049148,1
grass,3472,1.0432740305190022,1
green,1742,1.3676137480807986,1
gum,7831,1.5429499158096494,1
hair,1863,1.438004747270013,1
hamburger,12132,1.8382325154842831,1
hammer,8280,1.5111756346919478,1
hand,749,1.209276188014108,1
happy,1801,1.1304400700669188,1
hard,1165,1.0426323399815243,1
hat,1414,1.310886097251924,1
hate,3752,1.1157903702275271,1
have,328,1.1651002190016646,1
head,878,1.1684433693983534,1
hear,1256,1.2564450002537373,1
heavy,2940,1.0967165296040404,1
helicopter,14436,1.2923391137694622,1
help,882,1.1510833146884905,1
hen,10317,-0.109567911354059,1
hide,4067,1.1019034107176224,1
high,1142,1.0675793837982952,1
hit,2311,1.0327757733111749,1
hold,1130,1.33341485206873,1
home,828,1.1667533626607778,1
horse,2059,1.3093194302006461,1
hose,240 557,0.17035049654701312,2
hot,1563,1.367034676960355,1
house,871,1.3134038214565305,1
hug,7613,1.4510642879999671,1
hungry,1572,1.7777287220227407,1
hurry,4211,1.2379055989204726,1
hurt,2180,1.5135701561024486,1
ice,2196,1.5274182355835249,1
jacket,7021,1.4255739447873454,1
jar,11947,0.4954882621002477,1
jeans,9468 650,-0.18165848031912368,2
jello,372 2701,0.22822956535769603,2
jelly,10276,1.4778657946024718,1
juice,3312,1.8047899731321022,1
jump,2158,1.6161659099444645,1
keys,7183,1.0720857503986652,1
kick,7253,0.9350983847539379,1
kiss,2872,1.429723388904707,1
kitchen,2400,1.607930074931232,1
kitty,3697,1.5858968835126095,1
kleenex,303 242 1422 92,-0.1369210035987934,4
knee,7337,1.467181026664695,1
knife,4533,1.4052093917653439,1
knock,2731,1.3967780092421598,1
ladder,8919,1.3890558001105844,1
lady,2037,1.1395421384086946,1
lamb,8288,1.4144178962176663,1
lamp,9871,0.8433078730565912,1
last,848,1.0590230272613155,1
later,1317,0.9185968853602849,1
leg,1712,0.5554823040909241,1
lick,225 495,-0.019975385778740008,2
light,1213,1.2706291951690176,1
like,409,1.4366920248154664,1
lion,5137,1.5224946150645535,1
lips,5047,1.0040911137579365,1
listen,2072,1.1113565445520333,1
lollipop,6161,1.844970430954217,1
long,737,0.9587337260817598,1
look,490,1.5228097893295116,1
