arm,checkpoint,probe_id,class_label,subtype,pair_id,distance_bin,intervening_words,nll_present,nll_replaced,antecedent_gain,n_tokens_present,n_tokens_replaced,truncated_present,truncated_replaced
D_V_43022,chck_80M,natural_mention:nr:00000,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0045,10_19,13,3.5496010780334473,3.718921422958374,0.16932034492492676,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00001,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0060,00_04,4,5.479369163513184,5.238544464111328,-0.24082469940185547,4,4,False,False
D_V_43022,chck_80M,natural_mention:nr:00002,nonidentical_remention,nonperson_name_to_pronoun,natural_distance_pair:0123,10_19,10,2.6149847507476807,2.5551528930664062,-0.059831857681274414,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00003,nonidentical_remention,explicit_appositive_description,natural_distance_pair:0084,00_04,0,4.48536491394043,5.108222007751465,0.6228570938110352,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00004,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0046,10_19,13,7.541881084442139,7.434040069580078,-0.10784101486206055,2,2,False,False
D_V_43022,chck_80M,natural_mention:nr:00005,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0056,05_09,6,12.06612777709961,12.147496223449707,0.08136844635009766,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00006,nonidentical_remention,explicit_appositive_description,natural_distance_pair:0074,00_04,0,4.757857322692871,4.013943672180176,-0.7439136505126953,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00007,nonidentical_remention,person_name_to_pronoun,natural_distance_pair:0089,20_39,21,1.3364381790161133,0.08236583322286606,-1.2540723457932472,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00008,nonidentical_remention,nonperson_name_to_pronoun,natural_distance_pair:0119,10_19,16,5.0740251541137695,5.302807807922363,0.22878265380859375,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00009,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0027,20_39,28,2.2216684818267822,5.0208563804626465,2.7991878986358643,3,3,False,False
D_V_43022,chck_80M,natural_mention:nr:00010,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0049,10_19,12,0.020250828936696053,0.6693963408470154,0.6491455119103193,3,3,False,False
D_V_43022,chck_80M,natural_mention:nr:00011,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0001,40_79,65,0.06784584373235703,8.171282768249512,8.103436924517155,3,3,False,False
D_V_43022,chck_80M,natural_mention:nr:00012,nonidentical_remention,nonperson_name_to_pronoun,natural_distance_pair:0128,05_09,6,0.7867145538330078,0.5892460942268372,-0.19746845960617065,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00013,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0053,10_19,10,1.9491225481033325,5.594142913818359,3.645020365715027,3,3,False,False
D_V_43022,chck_80M,natural_mention:nr:00014,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0022,20_39,31,5.242550849914551,5.043468475341797,-0.1990823745727539,4,4,False,False
D_V_43022,chck_80M,natural_mention:nr:00015,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0026,20_39,28,8.889666557312012,9.168767929077148,0.2791013717651367,2,2,False,False
D_V_43022,chck_80M,natural_mention:nr:00016,nonidentical_remention,person_name_to_pronoun,natural_distance_pair:0097,10_19,13,2.375617504119873,3.007746934890747,0.632129430770874,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00017,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0043,10_19,14,11.719614028930664,11.67867374420166,-0.040940284729003906,2,2,False,False
D_V_43022,chck_80M,natural_mention:nr:00018,nonidentical_remention,explicit_appositive_description,natural_distance_pair:0070,00_04,0,4.690042495727539,5.503945827484131,0.8139033317565918,2,2,False,False
D_V_43022,chck_80M,natural_mention:nr:00019,nonidentical_remention,person_name_to_pronoun,natural_distance_pair:0117,05_09,5,0.5362410545349121,0.6403837203979492,0.10414266586303711,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00020,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0035,10_19,19,7.817916393280029,7.703141212463379,-0.11477518081665039,2,2,False,False
D_V_43022,chck_80M,natural_mention:nr:00021,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0009,40_79,52,7.729551315307617,8.349248886108398,0.6196975708007812,2,2,False,False
D_V_43022,chck_80M,natural_mention:nr:00022,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0058,00_04,4,0.5887613296508789,0.7615631222724915,0.17280179262161255,3,3,False,False
D_V_43022,chck_80M,natural_mention:nr:00023,nonidentical_remention,person_name_to_pronoun,natural_distance_pair:0112,05_09,7,0.01906183362007141,0.01996995508670807,0.0009081214666366577,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00024,nonidentical_remention,nonperson_name_to_pronoun,natural_distance_pair:0122,10_19,10,0.5980995893478394,0.5309653878211975,-0.06713420152664185,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00025,nonidentical_remention,person_name_to_pronoun,natural_distance_pair:0100,10_19,12,0.47063830494880676,0.5337860584259033,0.06314775347709656,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00026,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0008,40_79,52,9.746265411376953,9.946244239807129,0.19997882843017578,1,1,False,False
D_V_43022,chck_80M,natural_mention:nr:00027,nonidentical_remention,full_name_to_acronym,natural_distance_pair:0063,00_04,1,5.595298767089844,6.292395114898682,0.6970963478088379,3,3,False,False
D_V_43022,chck_80M,natural_mention:nr:00028,nonidentical_remention,full_name_to_surname_or_final_token,natural_distance_pair:0005,40_79,53,0.278864324092865,8.79868221282959,8.519817888736725,2,2,False,False
D_V_43022,chck_80M,natural_mention:nr:00029,nonidentical_remention,explicit_appositive_description,natural_distance_pair:0079,00_04,0,7.232168197631836,7.524816989898682,0.2926487922668457,3,3,False,False
