arm,checkpoint,group,n,mean_gain,sd_gain,se_gain,mean_nll_present,mean_nll_replaced
D_C_43022,chck_100M,ALL,258,1.7276699261581019,2.7562866512028497,0.17159891155848925,4.211377659235005,5.939047585393107
D_C_43022,chck_100M,nonidentical_remention,129,0.9465236737457818,2.2903079883405404,0.2016503744099245,4.076678129014119,5.023201802759901
D_C_43022,chck_100M,verbatim_remention,129,2.508816178570422,2.9627961201461597,0.2608596529240728,4.346077189455892,6.854893368026314
D_C_43022,chck_80M,ALL,258,1.7349237071841146,2.702144712794711,0.16822818170481132,4.2361314091759255,5.97105511636004
D_C_43022,chck_80M,nonidentical_remention,129,0.96964291610228,2.277430351417433,0.2005165616998963,4.047554582675067,5.017197498777347
D_C_43022,chck_80M,verbatim_remention,129,2.5002044982659495,2.879768480329971,0.25354947685144874,4.424708235676783,6.924912733942732
D_C_43022,chck_90M,ALL,258,1.7539703938388085,2.7820389781824426,0.1732021814062999,4.201445569334797,5.955415963173606
D_C_43022,chck_90M,nonidentical_remention,129,0.9814721311536408,2.344800899362684,0.20644820769970132,4.067714776352856,5.049186907506497
D_C_43022,chck_90M,verbatim_remention,129,2.526468656523976,2.9730499178496594,0.2617624494722054,4.335176362316738,6.861645018840714
D_C_43122,chck_100M,ALL,258,1.7615936915642878,2.9405187266058674,0.18306869957909405,4.234706127965578,5.996299819529865
D_C_43122,chck_100M,nonidentical_remention,129,0.9949582224466311,2.5304764310802725,0.2227960267180256,4.13181012922306,5.12676835166969
D_C_43122,chck_100M,verbatim_remention,129,2.5282291606819447,3.1261635570651527,0.275243353714015,4.337602126708095,6.86583128739004
D_C_43122,chck_80M,ALL,258,1.72924709974521,2.9305299519128782,0.18244682562981818,4.329607803089356,6.058854902834566
D_C_43122,chck_80M,nonidentical_remention,129,0.9582901339212707,2.508136794426626,0.22082913138415677,4.2451577555720315,5.203447889493302
D_C_43122,chck_80M,verbatim_remention,129,2.5002040655691493,3.1231904879083663,0.27498158957064883,4.414057850606682,6.914261916175831
D_C_43122,chck_90M,ALL,258,1.7610857690532886,2.943468923500022,0.18325237081506626,4.230211343024243,5.9912971120775325
D_C_43122,chck_90M,nonidentical_remention,129,0.982643217844672,2.5158411215792236,0.22150745956657014,4.1400149844067045,5.122658202251376
D_C_43122,chck_90M,verbatim_remention,129,2.5395283202619052,3.137648115185227,0.27625451267457185,4.320407701641783,6.859936021903689
D_R_43022,chck_100M,ALL,258,1.7456407788021908,3.2219761930481243,0.20059147605461922,4.275157549431143,6.020798328233334
D_R_43022,chck_100M,nonidentical_remention,129,0.8137150709625594,2.36900601157084,0.20857934899783973,4.1673670583909965,4.981082129353556
D_R_43022,chck_100M,verbatim_remention,129,2.6775664866418225,3.6715981725687685,0.32326619387016764,4.382948040471289,7.060514527113112
D_R_43022,chck_80M,ALL,258,1.6427700922593416,3.1694408397896923,0.19732076782347296,4.421601610678761,6.064371702938103
D_R_43022,chck_80M,nonidentical_remention,129,0.7425688991734628,2.273899865625894,0.2002057197584033,4.1977176883784955,4.940286587551958
D_R_43022,chck_80M,verbatim_remention,129,2.5429712853452204,3.655842300687232,0.3218789667023627,4.645485532979026,7.188456818324247
D_R_43022,chck_90M,ALL,258,1.7291938605169628,3.217261458139863,0.20029794948030902,4.288237455589769,6.017431316106732
D_R_43022,chck_90M,nonidentical_remention,129,0.7937458326729635,2.3470806349150064,0.2066489272230238,4.186362255750903,4.980108088423866
D_R_43022,chck_90M,verbatim_remention,129,2.664641888360962,3.6755709201164124,0.32361597478806026,4.390112655428635,7.054754543789597
D_V_43022,chck_100M,ALL,258,1.7585653222433126,2.914653132945257,0.18145837805573656,3.939246107788049,5.697811430031361
D_V_43022,chck_100M,nonidentical_remention,129,0.9330202707183338,2.241091544677772,0.19731710816702366,3.9765988001455517,4.909619070863886
D_V_43022,chck_100M,verbatim_remention,129,2.5841103737682913,3.265055151926198,0.28747207677165687,3.9018934154305462,6.486003789198837
D_V_43022,chck_80M,ALL,258,1.7391297405643402,2.9242781001502753,0.18205760234013618,3.982450350137182,5.721580090701522
D_V_43022,chck_80M,nonidentical_remention,129,0.9098154737563559,2.198678882203026,0.19358288145546637,4.007210088994845,4.917025562751201
D_V_43022,chck_80M,verbatim_remention,129,2.568444007372325,3.308950472338788,0.2913368442357287,3.957690611279519,6.526134618651843
D_V_43022,chck_90M,ALL,258,1.7544278540944522,2.8969651884075347,0.18035717472876928,3.9524308858266055,5.706858739921058
D_V_43022,chck_90M,nonidentical_remention,129,0.9090305994257561,2.186018859392221,0.19246822859967874,4.002256626645897,4.911287226071654
D_V_43022,chck_90M,verbatim_remention,129,2.5998251087631483,3.260543154847914,0.28707481757996545,3.902605145007314,6.502430253770462
