tokenizer,stage_length,pairaware_active_token_ratio_vs_prefix,full_pool_greedy_chunks_per_epoch,changed_row_greedy_chunks,changed_row_pair_atomic_chunks,pairaware_chunks_per_epoch,pairaware_chunk_delta_vs_greedy,greedy_steps_per_epoch_inverse_batch,pairaware_steps_per_epoch_inverse_batch,pairaware_step_delta_vs_greedy,pairaware_step_ratio_vs_prefix,pairaware_step_ratio_vs_greedy,prefix_pair_full_fraction,greedy_pair_full_fraction,pair_atomic_pair_full_fraction,pair_atomic_pair_overlong_fraction
legal16k,64,3.5393288691032883,264588,11067,13078,266599,2011,259,261,2,1.0316205533596838,1.0077220077220077,0.18403948992184285,0.3865076100370218,0.7967091731797614,0.20329082682023858
legal16k,128,1.7715495871362799,144471,6062,6623,145032,561,283,284,1,1.1225296442687747,1.0035335689045937,0.4955985191279309,0.7563142739613328,0.9979432332373509,0.0020567667626491155
legal16k,256,1.0258572064862606,79882,3057,3057,79882,0,313,313,0,1.2371541501976284,1.0,0.995475113122172,0.9957219251336898,1.0,0.0
minfreq50_supportfloor,64,3.4956634860334925,261722,10844,12787,263665,1943,256,258,2,1.0197628458498025,1.0078125,0.19243109831345126,0.40156314273961335,0.8158782394076511,0.18412176059234883
minfreq50_supportfloor,128,1.749919835413102,143340,6030,6475,143785,445,280,281,1,1.1106719367588933,1.0035714285714286,0.5127108185931716,0.7588646647470176,0.9986836692719046,0.0013163307280954339
minfreq50_supportfloor,256,1.023365946663667,78857,3031,3031,78857,0,309,309,0,1.2213438735177866,1.0,0.9977786918963389,0.9978609625668449,1.0,0.0
