target,from_m,to_m,from_cheap7,to_cheap7,delta_to_100M,source_file
original_packet_local,60,100,41.612142857142864,41.43071428571428,-0.18142857142858304,experiments/archive/representation_and_objectives/data/semantic_view_noaoa_eval/original_packet_local_trajectory_summary.json
original_packet_local,70,100,41.36142857142857,41.43071428571428,0.06928571428571217,experiments/archive/representation_and_objectives/data/semantic_view_noaoa_eval/original_packet_local_trajectory_summary.json
original_packet_local,80,100,41.58,41.43071428571428,-0.14928571428571757,experiments/archive/representation_and_objectives/data/semantic_view_noaoa_eval/original_packet_local_trajectory_summary.json
original_packet_local,90,100,41.49714285714286,41.43071428571428,-0.06642857142858105,experiments/archive/representation_and_objectives/data/semantic_view_noaoa_eval/original_packet_local_trajectory_summary.json
semantic_view_treatment,60,100,41.74857142857143,41.60285714285715,-0.14571428571428413,experiments/archive/representation_and_objectives/data/semantic_view_noaoa_eval/semantic_view_treatment_trajectory_summary.json
semantic_view_treatment,70,100,41.24142857142857,41.60285714285715,0.36142857142857565,experiments/archive/representation_and_objectives/data/semantic_view_noaoa_eval/semantic_view_treatment_trajectory_summary.json
semantic_view_treatment,80,100,41.84285714285714,41.60285714285715,-0.23999999999999488,experiments/archive/representation_and_objectives/data/semantic_view_noaoa_eval/semantic_view_treatment_trajectory_summary.json
semantic_view_treatment,90,100,41.708571428571425,41.60285714285715,-0.10571428571427788,experiments/archive/representation_and_objectives/data/semantic_view_noaoa_eval/semantic_view_treatment_trajectory_summary.json
qwen_wwm_to_token_postswitch,80,100,43.152142857142856,43.144285714285715,-0.007857142857140786,experiments/archive/representation_and_objectives/data/wwm_to_token_postswitch_fullzeroshot_reading/qwen_wwm_to_token_postswitch_trajectory_summary.json
qwen_wwm_to_token_postswitch,90,100,43.17928571428571,43.144285714285715,-0.03499999999999659,experiments/archive/representation_and_objectives/data/wwm_to_token_postswitch_fullzeroshot_reading/qwen_wwm_to_token_postswitch_trajectory_summary.json
