contrast,checkpoint,pair_key,from_arm,to_arm,from_state,to_state,family,template_id,actor_entity,from_affected_correct,from_unaffected_correct,to_affected_correct,to_unaffected_correct,from_affected_margin,from_unaffected_margin,to_affected_margin,to_unaffected_margin
VminusR,chck_80M,Q_balloon_drawer_dark_lit_dark_held0_balloon,repeat,view,unaffected_only,both_correct,dark_lit,held0,balloon,False,True,True,True,-3.4111459255218506,4.951131343841553,0.06052815914154053,0.45816802978515625
VminusR,chck_80M,Q_balloon_drawer_dark_lit_dark_held0_drawer,repeat,view,unaffected_only,unaffected_only,dark_lit,held0,drawer,False,True,False,True,-4.422076463699341,4.6272196769714355,-0.35448479652404785,0.2855590581893921
VminusR,chck_80M,Q_balloon_drawer_dark_lit_lit_held0_balloon,repeat,view,unaffected_only,unaffected_only,dark_lit,held0,balloon,False,True,False,True,-4.146943807601929,4.320268630981445,-1.269174575805664,1.677926927804947
VminusR,chck_80M,Q_balloon_drawer_dark_lit_lit_held0_drawer,repeat,view,unaffected_only,unaffected_only,dark_lit,held0,drawer,False,True,False,True,-3.6004738807678223,4.574328899383545,-1.7233972549438477,1.6883184313774109
VminusR,chck_80M,Q_balloon_drawer_open_closed_closed_held0_balloon,repeat,view,unaffected_only,affected_only,open_closed,held0,balloon,False,True,True,False,-2.204245090484619,2.3364481925964355,1.0613539814949036,-0.6150716543197632
VminusR,chck_80M,Q_balloon_drawer_open_closed_closed_held0_drawer,repeat,view,unaffected_only,affected_only,open_closed,held0,drawer,False,True,True,False,-1.598085880279541,2.180812358856201,0.5309298038482666,-0.8105692267417908
VminusR,chck_80M,Q_balloon_drawer_open_closed_open_held0_balloon,repeat,view,unaffected_only,unaffected_only,open_closed,held0,balloon,False,True,False,True,-1.0276339054107666,1.235511064529419,-1.3510363698005676,1.275059461593628
VminusR,chck_80M,Q_balloon_drawer_open_closed_open_held0_drawer,repeat,view,unaffected_only,unaffected_only,open_closed,held0,drawer,False,True,False,True,-1.1417441368103027,1.2440237998962402,-1.270381599664688,1.427607923746109
VminusR,chck_80M,Q_balloon_gate_dark_lit_dark_held1_balloon,repeat,view,unaffected_only,affected_only,dark_lit,held1,balloon,False,True,True,False,-2.265743374824524,2.3222230672836304,0.7331840395927429,-0.6826899647712708
VminusR,chck_80M,Q_balloon_gate_dark_lit_dark_held1_gate,repeat,view,unaffected_only,affected_only,dark_lit,held1,gate,False,True,True,False,-2.2172963619232178,2.202718496322632,0.75323486328125,-0.6768921613693237
