contrast,group,quantity,n,mean,mean_scaled,min_scaled,max_scaled,checkpoints
VminusR,all_18_subtasks,delta_accuracy_pp,3,2.472959685349066,2.472959685349066,2.050147492625369,3.03834808259587,chck_80M;chck_90M;chck_100M
VminusR,all_18_subtasks,gain_wrong_to_correct_frac,3,0.1084070796460177,10.84070796460177,10.575221238938052,11.253687315634219,chck_80M;chck_90M;chck_100M
VminusR,all_18_subtasks,loss_correct_to_wrong_frac,3,0.08367748279252703,8.367748279252703,8.215339233038348,8.64306784660767,chck_80M;chck_90M;chck_100M
VminusR,all_18_subtasks,both_correct_frac,3,0.16956735496558506,16.956735496558505,16.48967551622419,17.1976401179941,chck_80M;chck_90M;chck_100M
VminusR,all_18_subtasks,both_wrong_frac,3,0.6383480825958703,63.83480825958703,63.48082595870207,64.04129793510324,chck_80M;chck_90M;chck_100M
VminusR,all_18_subtasks,delta_pred_option0_frac,3,0.02472959685349066,2.472959685349066,2.050147492625369,3.03834808259587,chck_80M;chck_90M;chck_100M
VminusR,all_18_subtasks,delta_pred_option1_frac,3,-0.006538839724680432,-0.6538839724680432,-1.2094395280235988,-0.25073746312684364,chck_80M;chck_90M;chck_100M
VminusR,all_18_subtasks,delta_pred_option2_frac,3,-0.060717797443461154,-6.071779744346116,-6.622418879056047,-5.678466076696165,chck_80M;chck_90M;chck_100M
VminusR,all_18_subtasks,delta_pred_option3_frac,3,0.02295968534906588,2.295968534906588,2.1533923303834808,2.433628318584071,chck_80M;chck_90M;chck_100M
VminusR,all_18_subtasks,delta_pred_option4_frac,3,0.019567354965585055,1.9567354965585055,1.5781710914454277,2.359882005899705,chck_80M;chck_90M;chck_100M
VminusR,zero_ops,delta_accuracy_pp,3,-9.690677049534933,-9.690677049534933,-10.447761194029852,-9.020116807268007,chck_80M;chck_90M;chck_100M
VminusR,zero_ops,gain_wrong_to_correct_frac,3,0.07311269738265196,7.311269738265196,7.1382219338092145,7.397793640493186,chck_80M;chck_90M;chck_100M
