arm,checkpoint,group,n,accuracy_frac,accuracy_pp,pred_not_in_options_frac,pred_option0_frac,pred_option1_frac,pred_option2_frac,pred_option3_frac,pred_option4_frac,pred_index_counts_json
breadth,chck_100M,all_18_subtasks,6780,0.2529498525073746,25.29498525073746,0.0,0.2529498525073746,0.2859882005899705,0.2693215339233038,0.09601769911504425,0.09572271386430678,"{""0"": 1715, ""1"": 1939, ""2"": 1826, ""3"": 651, ""4"": 649}"
breadth,chck_100M,zero_ops,1541,0.3491239454899416,34.91239454899416,0.0,0.3491239454899416,0.3017521090201168,0.23166774821544453,0.055807916937053864,0.06164828033744322,"{""0"": 538, ""1"": 465, ""2"": 357, ""3"": 86, ""4"": 95}"
breadth,chck_100M,nonzero_ops,5239,0.22466119488451994,22.466119488451994,0.0,0.22466119488451994,0.2813514029394923,0.2803970223325062,0.10784500858942546,0.10574537125405611,"{""0"": 1177, ""1"": 1474, ""2"": 1469, ""3"": 565, ""4"": 554}"
breadth,chck_100M,numops_0,1541,0.3491239454899416,34.91239454899416,0.0,0.3491239454899416,0.3017521090201168,0.23166774821544453,0.055807916937053864,0.06164828033744322,"{""0"": 538, ""1"": 465, ""2"": 357, ""3"": 86, ""4"": 95}"
breadth,chck_100M,numops_1,1274,0.14756671899529042,14.756671899529042,0.0,0.14756671899529042,0.32967032967032966,0.31868131868131866,0.0989010989010989,0.10518053375196232,"{""0"": 188, ""1"": 420, ""2"": 406, ""3"": 126, ""4"": 134}"
breadth,chck_100M,numops_2,1217,0.21281840591618734,21.281840591618735,0.0,0.21281840591618734,0.31470829909613807,0.27115858668857845,0.1076417419884963,0.09367296631059983,"{""0"": 259, ""1"": 383, ""2"": 330, ""3"": 131, ""4"": 114}"
breadth,chck_100M,numops_3,1240,0.2508064516129032,25.080645161290324,0.0,0.2508064516129032,0.25483870967741934,0.27338709677419354,0.10967741935483871,0.11129032258064517,"{""0"": 311, ""1"": 316, ""2"": 339, ""3"": 136, ""4"": 138}"
breadth,chck_100M,numops_4,1175,0.27489361702127657,27.48936170212766,0.0,0.27489361702127657,0.2451063829787234,0.26468085106382977,0.1046808510638298,0.11063829787234042,"{""0"": 323, ""1"": 288, ""2"": 311, ""3"": 123, ""4"": 130}"
breadth,chck_100M,numops_5,333,0.2882882882882883,28.82882882882883,0.0,0.2882882882882883,0.2012012012012012,0.24924924924924924,0.14714714714714713,0.11411411411411411,"{""0"": 96, ""1"": 67, ""2"": 83, ""3"": 49, ""4"": 38}"
breadth,chck_100M,split_ambiref,2315,0.23542116630669546,23.542116630669547,0.0,0.23542116630669546,0.26652267818574515,0.24578833693304536,0.1183585313174946,0.13390928725701945,"{""0"": 545, ""1"": 617, ""2"": 569, ""3"": 274, ""4"": 310}"
breadth,chck_100M,ambiref_zero_ops,508,0.25984251968503935,25.984251968503937,0.0,0.25984251968503935,0.31299212598425197,0.23622047244094488,0.08464566929133858,0.1062992125984252,"{""0"": 132, ""1"": 159, ""2"": 120, ""3"": 43, ""4"": 54}"
breadth,chck_100M,ambiref_nonzero_ops,1807,0.2285556170448257,22.855561704482568,0.0,0.2285556170448257,0.25345877144438295,0.2484781405644715,0.12783619258439402,0.14167127836192583,"{""0"": 413, ""1"": 458, ""2"": 449, ""3"": 231, ""4"": 256}"
breadth,chck_100M,ambiref_numops_0,508,0.25984251968503935,25.984251968503937,0.0,0.25984251968503935,0.31299212598425197,0.23622047244094488,0.08464566929133858,0.1062992125984252,"{""0"": 132, ""1"": 159, ""2"": 120, ""3"": 43, ""4"": 54}"
breadth,chck_100M,ambiref_numops_1,428,0.1425233644859813,14.25233644859813,0.0,0.1425233644859813,0.35046728971962615,0.24766355140186916,0.1191588785046729,0.14018691588785046,"{""0"": 61, ""1"": 150, ""2"": 106, ""3"": 51, ""4"": 60}"
breadth,chck_100M,ambiref_numops_2,413,0.22276029055690072,22.276029055690074,0.0,0.22276029055690072,0.26150121065375304,0.24455205811138014,0.13559322033898305,0.13559322033898305,"{""0"": 92, ""1"": 108, ""2"": 101, ""3"": 56, ""4"": 56}"
breadth,chck_100M,ambiref_numops_3,409,0.24449877750611246,24.449877750611247,0.0,0.24449877750611246,0.23471882640586797,0.2469437652811736,0.11735941320293398,0.15647921760391198,"{""0"": 100, ""1"": 96, ""2"": 101, ""3"": 48, ""4"": 64}"
breadth,chck_100M,ambiref_numops_4,434,0.2834101382488479,28.341013824884794,0.0,0.2834101382488479,0.20046082949308755,0.24423963133640553,0.1336405529953917,0.1382488479262673,"{""0"": 123, ""1"": 87, ""2"": 106, ""3"": 58, ""4"": 60}"
breadth,chck_100M,ambiref_numops_5,123,0.3008130081300813,30.08130081300813,0.0,0.3008130081300813,0.13821138211382114,0.2845528455284553,0.14634146341463414,0.13008130081300814,"{""0"": 37, ""1"": 17, ""2"": 35, ""3"": 18, ""4"": 16}"
breadth,chck_100M,split_regular,2238,0.26005361930294907,26.005361930294907,0.0,0.26005361930294907,0.29267202859696156,0.2935656836461126,0.08534405719392314,0.06836461126005362,"{""0"": 582, ""1"": 655, ""2"": 657, ""3"": 191, ""4"": 153}"
breadth,chck_100M,regular_zero_ops,517,0.3655705996131528,36.55705996131528,0.0,0.3655705996131528,0.29206963249516443,0.27079303675048355,0.0367504835589942,0.03481624758220503,"{""0"": 189, ""1"": 151, ""2"": 140, ""3"": 19, ""4"": 18}"
breadth,chck_100M,regular_nonzero_ops,1721,0.2283556072051133,22.83556072051133,0.0,0.2283556072051133,0.2928529924462522,0.3004067402672865,0.0999418942475305,0.07844276583381755,"{""0"": 393, ""1"": 504, ""2"": 517, ""3"": 172, ""4"": 135}"
breadth,chck_100M,regular_numops_0,517,0.3655705996131528,36.55705996131528,0.0,0.3655705996131528,0.29206963249516443,0.27079303675048355,0.0367504835589942,0.03481624758220503,"{""0"": 189, ""1"": 151, ""2"": 140, ""3"": 19, ""4"": 18}"
breadth,chck_100M,regular_numops_1,409,0.15158924205378974,15.158924205378973,0.0,0.15158924205378974,0.3251833740831296,0.3643031784841076,0.07579462102689487,0.08312958435207823,"{""0"": 62, ""1"": 133, ""2"": 149, ""3"": 31, ""4"": 34}"
breadth,chck_100M,regular_numops_2,405,0.2222222222222222,22.22222222222222,0.0,0.2222222222222222,0.3530864197530864,0.24691358024691357,0.10617283950617284,0.07160493827160494,"{""0"": 90, ""1"": 143, ""2"": 100, ""3"": 43, ""4"": 29}"
breadth,chck_100M,regular_numops_3,425,0.25882352941176473,25.88235294117647,0.0,0.25882352941176473,0.24235294117647058,0.30823529411764705,0.10588235294117647,0.08470588235294117,"{""0"": 110, ""1"": 103, ""2"": 131, ""3"": 45, ""4"": 36}"
breadth,chck_100M,regular_numops_4,388,0.28350515463917525,28.350515463917525,0.0,0.28350515463917525,0.24484536082474226,0.30412371134020616,0.09278350515463918,0.07474226804123711,"{""0"": 110, ""1"": 95, ""2"": 118, ""3"": 36, ""4"": 29}"
breadth,chck_100M,regular_numops_5,94,0.22340425531914893,22.340425531914892,0.0,0.22340425531914893,0.3191489361702128,0.20212765957446807,0.18085106382978725,0.07446808510638298,"{""0"": 21, ""1"": 30, ""2"": 19, ""3"": 17, ""4"": 7}"
breadth,chck_100M,split_move_contents,2227,0.2640323304894477,26.40323304894477,0.0,0.2640323304894477,0.29950606196677143,0.2694207453973956,0.08352043107319264,0.08352043107319264,"{""0"": 588, ""1"": 667, ""2"": 600, ""3"": 186, ""4"": 186}"
breadth,chck_100M,move_contents_zero_ops,516,0.42054263565891475,42.054263565891475,0.0,0.42054263565891475,0.3003875968992248,0.187984496124031,0.046511627906976744,0.044573643410852716,"{""0"": 217, ""1"": 155, ""2"": 97, ""3"": 24, ""4"": 23}"
breadth,chck_100M,move_contents_nonzero_ops,1711,0.21683226183518411,21.68322618351841,0.0,0.21683226183518411,0.2992402104032729,0.2939801285797779,0.09468147282291058,0.09526592635885447,"{""0"": 371, ""1"": 512, ""2"": 503, ""3"": 162, ""4"": 163}"
breadth,chck_100M,move_contents_numops_0,516,0.42054263565891475,42.054263565891475,0.0,0.42054263565891475,0.3003875968992248,0.187984496124031,0.046511627906976744,0.044573643410852716,"{""0"": 217, ""1"": 155, ""2"": 97, ""3"": 24, ""4"": 23}"
breadth,chck_100M,move_contents_numops_1,437,0.14874141876430205,14.874141876430206,0.0,0.14874141876430205,0.3135011441647597,0.34553775743707094,0.10068649885583524,0.09153318077803203,"{""0"": 65, ""1"": 137, ""2"": 151, ""3"": 44, ""4"": 40}"
breadth,chck_100M,move_contents_numops_2,399,0.19298245614035087,19.29824561403509,0.0,0.19298245614035087,0.3308270676691729,0.3233082706766917,0.08020050125313283,0.07268170426065163,"{""0"": 77, ""1"": 132, ""2"": 129, ""3"": 32, ""4"": 29}"
