contrast,checkpoint,macro_group,subtask_count,expected_subtasks,subtasks,n_micro_total,delta_accuracy_pp,gain_wrong_to_correct_macro_pp,loss_correct_to_wrong_macro_pp,both_correct_macro_pp,both_wrong_macro_pp,delta_pred_option0_macro_pp,delta_pred_option1_macro_pp,delta_pred_option2_macro_pp,delta_pred_option3_macro_pp,delta_pred_option4_macro_pp
VminusB,chck_80M,all_18_subtasks,18,18,ambiref_numops_0;ambiref_numops_1;ambiref_numops_2;ambiref_numops_3;ambiref_numops_4;ambiref_numops_5;regular_numops_0;regular_numops_1;regular_numops_2;regular_numops_3;regular_numops_4;regular_numops_5;move_contents_numops_0;move_contents_numops_1;move_contents_numops_2;move_contents_numops_3;move_contents_numops_4;move_contents_numops_5,6780,3.1013472708013743,10.053490403185844,6.952143132384469,17.930501981365037,65.06386448306465,3.101347270801374,-1.882078427989901,-0.7535141178631082,-0.6929938746481518,0.22723914969978698
VminusB,chck_80M,zero_ops,3,3,ambiref_numops_0;regular_numops_0;move_contents_numops_0,1541,3.1773679711474596,11.229627289346693,8.052259318199233,27.33024589145555,53.38786750099852,3.17736797114746,-0.44139848224518247,-0.6480471709737645,-0.4570330546205902,-1.6308892633079224
VminusB,chck_80M,nonzero_ops,15,15,ambiref_numops_1;ambiref_numops_2;ambiref_numops_3;ambiref_numops_4;ambiref_numops_5;regular_numops_1;regular_numops_2;regular_numops_3;regular_numops_4;regular_numops_5;move_contents_numops_1;move_contents_numops_2;move_contents_numops_3;move_contents_numops_4;move_contents_numops_5,5239,3.086143130732157,9.818263025953675,6.732119895221516,16.050553199346933,67.39906387947788,3.086143130732157,-2.170214417138845,-0.7746075072409769,-0.7401860386536642,0.5988648323013288
VminusB,chck_80M,numops_0,3,3,ambiref_numops_0;regular_numops_0;move_contents_numops_0,1541,3.1773679711474596,11.229627289346693,8.052259318199233,27.33024589145555,53.38786750099852,3.17736797114746,-0.44139848224518247,-0.6480471709737645,-0.4570330546205902,-1.6308892633079224
VminusB,chck_80M,numops_1,3,3,ambiref_numops_1;regular_numops_1;move_contents_numops_1,1274,0.013241788300350823,6.061296673349393,6.048054885049042,8.599310745506623,79.29133769609494,0.01324178830035084,1.1493867015790777,-3.440515432851309,1.8298810214710877,0.448005921500793
VminusB,chck_80M,numops_2,3,3,ambiref_numops_2;regular_numops_2;move_contents_numops_2,1217,1.7920927029857545,8.05602623424013,6.2639335312543745,14.596944338246745,71.08309589625875,1.7920927029857547,-0.05964901792040266,0.0925834150137847,-1.6551107838648726,-0.16991631621426445
VminusB,chck_80M,numops_3,3,3,ambiref_numops_3;regular_numops_3;move_contents_numops_3,1240,2.982222414300852,9.849844262804186,6.867621848503334,16.59734123815617,66.68519265053631,2.9822224143008524,-2.353567006433296,0.9656079276833405,-1.1035162905900917,-0.49074704496080535
VminusB,chck_80M,numops_4,3,3,ambiref_numops_4;regular_numops_4;move_contents_numops_4,1175,5.558328736164023,11.68426264342686,6.125933907262837,20.673585905561154,61.51621754374914,5.5583287361640235,-4.027810059274885,-0.7122516995843728,-0.880831771148134,0.06256479384336858
VminusB,chck_80M,numops_5,3,3,ambiref_numops_5;regular_numops_5;move_contents_numops_5,333,5.084830011909804,13.439885315947805,8.355055304038,19.78558376926396,58.41947561075024,5.084830011909804,-5.559432703644718,-0.7784617464663275,-1.8913523691363103,3.144416807337553
VminusB,chck_80M,split_ambiref,6,6,ambiref_numops_0;ambiref_numops_1;ambiref_numops_2;ambiref_numops_3;ambiref_numops_4;ambiref_numops_5,2315,2.842118031041684,10.169782243992508,7.327664212950823,17.315364887455228,65.18718865560145,2.842118031041684,-1.8008511569993118,-1.5369853948093648,0.23546958906549875,0.26024893170149405
VminusB,chck_80M,split_regular,6,6,regular_numops_0;regular_numops_1;regular_numops_2;regular_numops_3;regular_numops_4;regular_numops_5,2238,3.608648414553421,10.415697275402398,6.807048860848976,17.18762761531577,65.58962624843286,3.6086484145534206,-2.8664410838104457,0.07101190717522092,-1.5296833698766317,0.7164641319584356
