contrast,macro_group,quantity,n,mean,median,min,max,checkpoints
VminusB,all_18_subtasks,delta_accuracy_pp,3,2.994111762361637,3.080892764857938,2.8000952514255983,3.1013472708013743,chck_80M;chck_90M;chck_100M
VminusB,all_18_subtasks,gain_wrong_to_correct_macro_pp,3,9.647556569412032,9.566240073273317,9.322939231776935,10.053490403185844,chck_80M;chck_90M;chck_100M
VminusB,all_18_subtasks,loss_correct_to_wrong_macro_pp,3,6.653444807050396,6.522843980351338,6.485347308415379,6.952143132384469,chck_80M;chck_90M;chck_100M
VminusB,all_18_subtasks,both_correct_macro_pp,3,18.441256144395066,18.624211547055427,17.930501981365037,18.769054904764737,chck_80M;chck_90M;chck_100M
VminusB,all_18_subtasks,both_wrong_macro_pp,3,65.25774247914251,65.32420107125589,65.06386448306465,65.38516188310699,chck_80M;chck_90M;chck_100M
VminusB,all_18_subtasks,delta_pred_option0_macro_pp,3,2.994111762361637,3.0808927648579383,2.800095251425599,3.101347270801374,chck_80M;chck_90M;chck_100M
VminusB,all_18_subtasks,delta_pred_option1_macro_pp,3,-1.5300336890707367,-1.4525230141289738,-1.882078427989901,-1.2554996250933352,chck_80M;chck_90M;chck_100M
VminusB,all_18_subtasks,delta_pred_option2_macro_pp,3,-0.9631966216062419,-1.0614583562744062,-1.074617390681211,-0.7535141178631082,chck_80M;chck_90M;chck_100M
VminusB,all_18_subtasks,delta_pred_option3_macro_pp,3,-0.2738738049679136,-0.2030020764753925,-0.6929938746481518,0.07437453621980349,chck_80M;chck_90M;chck_100M
VminusB,all_18_subtasks,delta_pred_option4_macro_pp,3,-0.2270076467167447,-0.3473293828352172,-0.5609327070148039,0.22723914969978698,chck_80M;chck_90M;chck_100M
VminusB,zero_ops,delta_accuracy_pp,3,3.376252994240503,3.249338558513481,3.1773679711474596,3.7020524530605687,chck_80M;chck_90M;chck_100M
VminusB,zero_ops,gain_wrong_to_correct_macro_pp,3,11.467979334514572,11.490827264962622,11.229627289346693,11.683483449234403,chck_80M;chck_90M;chck_100M
VminusB,zero_ops,loss_correct_to_wrong_macro_pp,3,8.09172634027407,8.052259318199233,7.981430996173835,8.241488706449141,chck_80M;chck_90M;chck_100M
VminusB,zero_ops,both_correct_macro_pp,3,27.031571872942205,26.883760835729724,26.88070889164134,27.33024589145555,chck_80M;chck_90M;chck_100M
VminusB,zero_ops,both_wrong_macro_pp,3,53.40872245226915,53.38786750099852,53.38697513694689,53.45132471886204,chck_80M;chck_90M;chck_100M
VminusB,zero_ops,delta_pred_option0_macro_pp,3,3.3762529942405037,3.2493385585134815,3.17736797114746,3.702052453060569,chck_80M;chck_90M;chck_100M
VminusB,zero_ops,delta_pred_option1_macro_pp,3,0.31206571042233594,0.46263714021937713,-0.44139848224518247,0.9149584732928132,chck_80M;chck_90M;chck_100M
VminusB,zero_ops,delta_pred_option2_macro_pp,3,-1.1450172063924515,-1.2292103280621478,-1.5577941201414418,-0.6480471709737645,chck_80M;chck_90M;chck_100M
VminusB,zero_ops,delta_pred_option3_macro_pp,3,-0.4367254593228325,-0.4570330546205902,-0.5905511811023622,-0.2625921422455453,chck_80M;chck_90M;chck_100M
VminusB,zero_ops,delta_pred_option4_macro_pp,3,-2.1065760389475554,-2.343910769419308,-2.344928084115436,-1.6308892633079224,chck_80M;chck_90M;chck_100M
VminusB,nonzero_ops,delta_accuracy_pp,3,2.9176835159858636,3.0472036061268293,2.6197038110986046,3.086143130732157,chck_80M;chck_90M;chck_100M
VminusB,nonzero_ops,gain_wrong_to_correct_macro_pp,3,9.283472016391524,9.181322634935455,8.850830388285443,9.818263025953675,chck_80M;chck_90M;chck_100M
VminusB,nonzero_ops,loss_correct_to_wrong_macro_pp,3,6.36578850040566,6.231126577186838,6.134119028808627,6.732119895221516,chck_80M;chck_90M;chck_100M
VminusB,nonzero_ops,both_correct_macro_pp,3,16.723192998685636,16.972912078138243,16.050553199346933,17.146113718571737,chck_80M;chck_90M;chck_100M
VminusB,nonzero_ops,both_wrong_macro_pp,3,67.62754648451717,67.71164625811767,67.39906387947788,67.77192931595599,chck_80M;chck_90M;chck_100M
VminusB,nonzero_ops,delta_pred_option0_macro_pp,3,2.9176835159858636,3.0472036061268293,2.6197038110986046,3.086143130732157,chck_80M;chck_90M;chck_100M
VminusB,nonzero_ops,delta_pred_option1_macro_pp,3,-1.8984535689693514,-1.835555044998644,-2.170214417138845,-1.6895912447705652,chck_80M;chck_90M;chck_100M
VminusB,nonzero_ops,delta_pred_option2_macro_pp,3,-0.9268325046489999,-0.962191203500999,-1.0436988032050236,-0.7746075072409769,chck_80M;chck_90M;chck_100M
VminusB,nonzero_ops,delta_pred_option3_macro_pp,3,-0.24130347409692984,-0.19108406332136196,-0.7401860386536642,0.20735967968423663,chck_80M;chck_90M;chck_100M
VminusB,nonzero_ops,delta_pred_option4_macro_pp,3,0.14890603172941738,0.05219035742082645,-0.20433709453390314,0.5988648323013288,chck_80M;chck_90M;chck_100M
VminusB,numops_0,delta_accuracy_pp,3,3.376252994240503,3.249338558513481,3.1773679711474596,3.7020524530605687,chck_80M;chck_90M;chck_100M
VminusB,numops_0,gain_wrong_to_correct_macro_pp,3,11.467979334514572,11.490827264962622,11.229627289346693,11.683483449234403,chck_80M;chck_90M;chck_100M
VminusB,numops_0,loss_correct_to_wrong_macro_pp,3,8.09172634027407,8.052259318199233,7.981430996173835,8.241488706449141,chck_80M;chck_90M;chck_100M
VminusB,numops_0,both_correct_macro_pp,3,27.031571872942205,26.883760835729724,26.88070889164134,27.33024589145555,chck_80M;chck_90M;chck_100M
VminusB,numops_0,both_wrong_macro_pp,3,53.40872245226915,53.38786750099852,53.38697513694689,53.45132471886204,chck_80M;chck_90M;chck_100M
VminusB,numops_0,delta_pred_option0_macro_pp,3,3.3762529942405037,3.2493385585134815,3.17736797114746,3.702052453060569,chck_80M;chck_90M;chck_100M
VminusB,numops_0,delta_pred_option1_macro_pp,3,0.31206571042233594,0.46263714021937713,-0.44139848224518247,0.9149584732928132,chck_80M;chck_90M;chck_100M
VminusB,numops_0,delta_pred_option2_macro_pp,3,-1.1450172063924515,-1.2292103280621478,-1.5577941201414418,-0.6480471709737645,chck_80M;chck_90M;chck_100M
