arm,checkpoint,n_pairs,both_correct_count,both_correct_frac,affected_only_count,affected_only_frac,unaffected_only_count,unaffected_only_frac,neither_count,neither_frac,affected_accuracy_from_pairs,unaffected_accuracy_from_pairs,mean_affected_margin,mean_unaffected_margin
breadth,chck_100M,192,8,0.041666666666666664,66,0.34375,112,0.5833333333333334,6,0.03125,0.3854166666666667,0.625,-0.5479211260875066,0.4876546322678526
breadth,chck_80M,192,5,0.026041666666666668,62,0.3229166666666667,113,0.5885416666666666,12,0.0625,0.3489583333333333,0.6145833333333334,-0.663396913461232,0.6164150306722149
breadth,chck_90M,192,9,0.046875,67,0.3489583333333333,110,0.5729166666666666,6,0.03125,0.3958333333333333,0.6197916666666666,-0.5880359533475712,0.5355665009313574
repeat,chck_100M,192,4,0.020833333333333332,42,0.21875,145,0.7552083333333334,1,0.005208333333333333,0.23958333333333334,0.7760416666666666,-1.2930926797368254,1.480935297945204
repeat,chck_80M,192,2,0.010416666666666666,40,0.20833333333333334,146,0.7604166666666666,4,0.020833333333333332,0.21875,0.7708333333333334,-1.2776339727958355,1.4348932141632151
repeat,chck_90M,192,4,0.020833333333333332,42,0.21875,146,0.7604166666666666,0,0.0,0.23958333333333334,0.78125,-1.294953567131112,1.4889973353904982
view,chck_100M,192,6,0.03125,80,0.4166666666666667,106,0.5520833333333334,0,0.0,0.4479166666666667,0.5833333333333334,-0.5122779815768203,0.6336713984298209
view,chck_80M,192,4,0.020833333333333332,83,0.4322916666666667,105,0.546875,0,0.0,0.453125,0.5677083333333334,-0.44231564334283274,0.5382564046885818
view,chck_90M,192,4,0.020833333333333332,80,0.4166666666666667,108,0.5625,0,0.0,0.4375,0.5833333333333334,-0.5238523403143821,0.6534358232359713
