ContextDiff,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
antonym,3374,0.508891523414345,1025,0.30379371665678717,0.6185878092939047,1657,0.04562263935804367
variable swap,2564,0.501170046801872,1005,0.3919656786271451,0.7857701329163409,1279,-0.007614310539793223
material,840,0.5023809523809524,276,0.32857142857142857,0.6602870813397129,418,-0.1409282386302948
other,490,0.5571428571428572,104,0.21224489795918366,0.4792626728110599,217,0.29702964425086975
negation,190,0.6421052631578947,28,0.14736842105263157,0.4117647058823529,68,0.4713783770566806
number,80,0.5625,23,0.2875,0.6571428571428571,35,0.09760161343729123
variable_swap,30,0.43333333333333335,8,0.26666666666666666,0.47058823529411764,17,0.31482697487808764
active-passive,30,0.6333333333333333,6,0.2,0.5454545454545454,11,0.8367233276367188
game,20,0.6,1,0.05,0.125,8,0.5383871477097273
