tokenizer,schedule,charged_words_total,fixed_seq256_active_tokens_total,sequence_active_tokens_total,active_token_ratio_vs_fixed_seq256,active_token_delta_vs_fixed_seq256,expected_masked_token_delta_vs_fixed_seq256,fixed_seq256_optimizer_steps_total,sequence_optimizer_steps_total,optimizer_step_ratio_vs_fixed_seq256,optimizer_step_delta_vs_fixed_seq256,raw_untruncated_token_ratio_vs_fixed_seq256,active_token_ratio_vs_flawed_prefix_sequence,optimizer_step_ratio_vs_flawed_prefix_sequence,pair_full_fraction_epoch_mean,pair_overlong_fraction_epoch_mean
legal16k,64x3_128x4_256x3,100000000,142948930,146645190,1.0258572064862606,3696260,554439.0,2530,2858,1.1296442687747035,328,1.0258572064862606,1.6583989403450095,1.1296442687747035,0.9381900452488688,0.06180995475113123
legal16k,64x7_256x3,100000000,142948930,146645190,1.0258572064862606,3696260,554439.0,2530,2766,1.093280632411067,236,1.0258572064862606,2.0399172243573855,1.093280632411067,0.857696421225833,0.14230357877416702
minfreq50_supportfloor,64x3_128x4_256x3,100000000,141529040,144836000,1.023365946663667,3306960,496044.0,2530,2825,1.116600790513834,295,1.023365946663667,1.6459475235754912,1.116600790513834,0.9442369395310571,0.05576306046894282
minfreq50_supportfloor,64x7_256x3,100000000,141529040,144836000,1.023365946663667,3306960,496044.0,2530,2733,1.0802371541501976,203,1.023365946663667,2.0267598177248343,1.0802371541501976,0.8711147675853559,0.12888523241464417
